OccGroup,Score,AusStudy,n
2531 General Practitioners and Resident Medical officers,75,N,131
2531 General Practitioners and Resident Medical officers,75,Y,89
2531 General Practitioners and Resident Medical officers,70,N,145
2531 General Practitioners and Resident Medical officers,70,Y,28
2531 General Practitioners and Resident Medical officers,80,N,102
2531 General Practitioners and Resident Medical officers,80,Y,26
2531 General Practitioners and Resident Medical officers,95,N,1
2531 General Practitioners and Resident Medical officers,95,Y,1
2531 General Practitioners and Resident Medical officers,90,N,8
2531 General Practitioners and Resident Medical officers,90,Y,10
2531 General Practitioners and Resident Medical officers,85,N,29
2531 General Practitioners and Resident Medical officers,85,Y,29
2531 General Practitioners and Resident Medical officers,55,N,14
2531 General Practitioners and Resident Medical officers,60,N,40
2531 General Practitioners and Resident Medical officers,60,Y,6
2531 General Practitioners and Resident Medical officers,50,N,2
2531 General Practitioners and Resident Medical officers,50,Y,2
2531 General Practitioners and Resident Medical officers,40,N,1
2531 General Practitioners and Resident Medical officers,45,N,1
2531 General Practitioners and Resident Medical officers,125,Y,1
2247 Management and Organisation Analysts,65,N,78
2247 Management and Organisation Analysts,65,Y,12
2247 Management and Organisation Analysts,75,N,107
2247 Management and Organisation Analysts,75,Y,29
2247 Management and Organisation Analysts,70,N,71
2247 Management and Organisation Analysts,70,Y,24
2247 Management and Organisation Analysts,80,N,72
2247 Management and Organisation Analysts,80,Y,28
2247 Management and Organisation Analysts,95,N,2
2247 Management and Organisation Analysts,95,Y,8
2247 Management and Organisation Analysts,90,N,13
2247 Management and Organisation Analysts,90,Y,23
2247 Management and Organisation Analysts,85,N,34
2247 Management and Organisation Analysts,85,Y,30
2247 Management and Organisation Analysts,55,N,10
2247 Management and Organisation Analysts,55,Y,3
2247 Management and Organisation Analysts,60,N,23
2247 Management and Organisation Analysts,60,Y,2
2247 Management and Organisation Analysts,50,N,3
2247 Management and Organisation Analysts,105,Y,1
2247 Management and Organisation Analysts,45,N,3
2347 Veterinarians,65,N,11
2347 Veterinarians,65,Y,11
2347 Veterinarians,75,N,18
2347 Veterinarians,75,Y,37
2347 Veterinarians,70,N,10
2347 Veterinarians,70,Y,19
2347 Veterinarians,80,N,8
2347 Veterinarians,80,Y,22
2347 Veterinarians,95,Y,1
2347 Veterinarians,90,N,1
2347 Veterinarians,90,Y,12
2347 Veterinarians,85,N,10
2347 Veterinarians,85,Y,22
2347 Veterinarians,55,N,7
2347 Veterinarians,60,N,5
2347 Veterinarians,60,Y,3
2414 Secondary School Teachers,65,N,422
2414 Secondary School Teachers,65,Y,196
2414 Secondary School Teachers,75,N,353
2414 Secondary School Teachers,75,Y,304
2414 Secondary School Teachers,70,N,385
2414 Secondary School Teachers,70,Y,280
2414 Secondary School Teachers,80,N,98
2414 Secondary School Teachers,80,Y,159
2414 Secondary School Teachers,95,N,1
2414 Secondary School Teachers,95,Y,2
2414 Secondary School Teachers,90,N,7
2414 Secondary School Teachers,90,Y,16
2414 Secondary School Teachers,85,N,17
2414 Secondary School Teachers,85,Y,53
2414 Secondary School Teachers,55,N,67
2414 Secondary School Teachers,55,Y,24
2414 Secondary School Teachers,60,N,129
2414 Secondary School Teachers,60,Y,89
2414 Secondary School Teachers,50,N,22
2414 Secondary School Teachers,50,Y,11
2414 Secondary School Teachers,100,Y,1
2414 Secondary School Teachers,40,N,3
2414 Secondary School Teachers,45,N,7
2414 Secondary School Teachers,45,Y,2
1341 Child Care Centre Managers,65,N,5
1341 Child Care Centre Managers,65,Y,7
1341 Child Care Centre Managers,75,Y,6
1341 Child Care Centre Managers,70,N,2
1341 Child Care Centre Managers,70,Y,7
1341 Child Care Centre Managers,95,Y,1
1341 Child Care Centre Managers,85,Y,1
1341 Child Care Centre Managers,55,N,1
1341 Child Care Centre Managers,55,Y,1
1341 Child Care Centre Managers,60,N,2
1341 Child Care Centre Managers,60,Y,5
1341 Child Care Centre Managers,50,N,2
1341 Child Care Centre Managers,50,Y,6
"2241 Actuaries, Mathematicians and Statisticians",65,N,55
"2241 Actuaries, Mathematicians and Statisticians",65,Y,28
"2241 Actuaries, Mathematicians and Statisticians",75,N,74
"2241 Actuaries, Mathematicians and Statisticians",75,Y,88
"2241 Actuaries, Mathematicians and Statisticians",70,N,62
"2241 Actuaries, Mathematicians and Statisticians",70,Y,41
"2241 Actuaries, Mathematicians and Statisticians",80,N,61
"2241 Actuaries, Mathematicians and Statisticians",80,Y,106
"2241 Actuaries, Mathematicians and Statisticians",95,N,1
"2241 Actuaries, Mathematicians and Statisticians",95,Y,30
"2241 Actuaries, Mathematicians and Statisticians",90,N,18
"2241 Actuaries, Mathematicians and Statisticians",90,Y,97
"2241 Actuaries, Mathematicians and Statisticians",85,N,47
"2241 Actuaries, Mathematicians and Statisticians",85,Y,123
"2241 Actuaries, Mathematicians and Statisticians",55,N,9
"2241 Actuaries, Mathematicians and Statisticians",55,Y,2
"2241 Actuaries, Mathematicians and Statisticians",60,N,24
"2241 Actuaries, Mathematicians and Statisticians",60,Y,10
"2241 Actuaries, Mathematicians and Statisticians",50,N,1
"2241 Actuaries, Mathematicians and Statisticians",100,Y,5
"2241 Actuaries, Mathematicians and Statisticians",105,Y,3
"2241 Actuaries, Mathematicians and Statisticians",45,N,2
"2241 Actuaries, Mathematicians and Statisticians",45,Y,1
3331 Glaziers,65,N,5
3331 Glaziers,75,N,6
3331 Glaziers,75,Y,2
3331 Glaziers,70,N,1
3331 Glaziers,80,Y,1
3331 Glaziers,55,N,1
3331 Glaziers,60,Y,1
2421 University Lecturers and Tutors,65,N,366
2421 University Lecturers and Tutors,65,Y,65
2421 University Lecturers and Tutors,75,N,244
2421 University Lecturers and Tutors,75,Y,138
2421 University Lecturers and Tutors,70,N,317
2421 University Lecturers and Tutors,70,Y,119
2421 University Lecturers and Tutors,80,N,139
2421 University Lecturers and Tutors,80,Y,148
2421 University Lecturers and Tutors,95,N,7
2421 University Lecturers and Tutors,95,Y,93
2421 University Lecturers and Tutors,90,N,51
2421 University Lecturers and Tutors,90,Y,161
2421 University Lecturers and Tutors,85,N,82
2421 University Lecturers and Tutors,85,Y,171
2421 University Lecturers and Tutors,55,N,57
2421 University Lecturers and Tutors,55,Y,17
2421 University Lecturers and Tutors,60,N,148
2421 University Lecturers and Tutors,60,Y,28
2421 University Lecturers and Tutors,50,N,32
2421 University Lecturers and Tutors,50,Y,5
2421 University Lecturers and Tutors,110,Y,1
2421 University Lecturers and Tutors,100,Y,51
2421 University Lecturers and Tutors,105,Y,12
2421 University Lecturers and Tutors,40,N,2
2421 University Lecturers and Tutors,45,N,6
2633 Telecommunications Engineering Professionals,65,N,136
2633 Telecommunications Engineering Professionals,65,Y,82
2633 Telecommunications Engineering Professionals,75,N,90
2633 Telecommunications Engineering Professionals,75,Y,201
2633 Telecommunications Engineering Professionals,70,N,97
2633 Telecommunications Engineering Professionals,70,Y,107
2633 Telecommunications Engineering Professionals,80,N,86
2633 Telecommunications Engineering Professionals,80,Y,129
2633 Telecommunications Engineering Professionals,95,N,3
2633 Telecommunications Engineering Professionals,95,Y,26
2633 Telecommunications Engineering Professionals,90,N,15
2633 Telecommunications Engineering Professionals,90,Y,94
2633 Telecommunications Engineering Professionals,85,N,42
2633 Telecommunications Engineering Professionals,85,Y,139
2633 Telecommunications Engineering Professionals,55,N,45
2633 Telecommunications Engineering Professionals,55,Y,25
2633 Telecommunications Engineering Professionals,60,N,66
2633 Telecommunications Engineering Professionals,60,Y,52
2633 Telecommunications Engineering Professionals,50,N,18
2633 Telecommunications Engineering Professionals,50,Y,6
2633 Telecommunications Engineering Professionals,100,Y,5
2633 Telecommunications Engineering Professionals,40,N,3
2633 Telecommunications Engineering Professionals,40,Y,2
2633 Telecommunications Engineering Professionals,45,N,6
2633 Telecommunications Engineering Professionals,45,Y,2
2633 Telecommunications Engineering Professionals,35,N,1
1332 Engineering Managers,65,N,74
1332 Engineering Managers,65,Y,1
1332 Engineering Managers,75,N,53
1332 Engineering Managers,75,Y,3
1332 Engineering Managers,70,N,66
1332 Engineering Managers,70,Y,3
1332 Engineering Managers,80,N,19
1332 Engineering Managers,80,Y,2
1332 Engineering Managers,90,N,1
1332 Engineering Managers,85,N,3
1332 Engineering Managers,85,Y,3
1332 Engineering Managers,55,N,29
1332 Engineering Managers,55,Y,1
1332 Engineering Managers,60,N,23
1332 Engineering Managers,60,Y,3
1332 Engineering Managers,50,N,2
1332 Engineering Managers,40,N,2
1332 Engineering Managers,45,N,4
3122 Civil Engineering Draftspersons and Technicians,65,N,764
3122 Civil Engineering Draftspersons and Technicians,65,Y,820
3122 Civil Engineering Draftspersons and Technicians,75,N,567
3122 Civil Engineering Draftspersons and Technicians,75,Y,845
3122 Civil Engineering Draftspersons and Technicians,70,N,703
3122 Civil Engineering Draftspersons and Technicians,70,Y,1026
3122 Civil Engineering Draftspersons and Technicians,80,N,343
3122 Civil Engineering Draftspersons and Technicians,80,Y,552
3122 Civil Engineering Draftspersons and Technicians,95,N,2
3122 Civil Engineering Draftspersons and Technicians,95,Y,24
3122 Civil Engineering Draftspersons and Technicians,90,N,49
3122 Civil Engineering Draftspersons and Technicians,90,Y,121
3122 Civil Engineering Draftspersons and Technicians,85,N,158
3122 Civil Engineering Draftspersons and Technicians,85,Y,478
3122 Civil Engineering Draftspersons and Technicians,55,N,171
3122 Civil Engineering Draftspersons and Technicians,55,Y,221
3122 Civil Engineering Draftspersons and Technicians,60,N,327
3122 Civil Engineering Draftspersons and Technicians,60,Y,383
3122 Civil Engineering Draftspersons and Technicians,50,N,86
3122 Civil Engineering Draftspersons and Technicians,50,Y,83
3122 Civil Engineering Draftspersons and Technicians,100,Y,2
3122 Civil Engineering Draftspersons and Technicians,105,Y,1
3122 Civil Engineering Draftspersons and Technicians,40,N,17
3122 Civil Engineering Draftspersons and Technicians,40,Y,11
3122 Civil Engineering Draftspersons and Technicians,45,N,28
3122 Civil Engineering Draftspersons and Technicians,45,Y,16
3122 Civil Engineering Draftspersons and Technicians,25,N,1
3122 Civil Engineering Draftspersons and Technicians,35,N,4
3122 Civil Engineering Draftspersons and Technicians,35,Y,1
1399 Other Specialist Managers,65,N,29
1399 Other Specialist Managers,65,Y,6
1399 Other Specialist Managers,75,N,30
1399 Other Specialist Managers,75,Y,18
1399 Other Specialist Managers,70,N,28
1399 Other Specialist Managers,70,Y,14
1399 Other Specialist Managers,80,N,11
1399 Other Specialist Managers,80,Y,6
1399 Other Specialist Managers,90,N,2
1399 Other Specialist Managers,90,Y,1
1399 Other Specialist Managers,85,N,3
1399 Other Specialist Managers,85,Y,7
1399 Other Specialist Managers,55,N,16
1399 Other Specialist Managers,55,Y,3
1399 Other Specialist Managers,60,N,22
1399 Other Specialist Managers,60,Y,3
1399 Other Specialist Managers,50,N,3
1399 Other Specialist Managers,50,Y,1
1399 Other Specialist Managers,40,N,1
1399 Other Specialist Managers,45,N,1
2322 Cartographers and Surveyors,65,N,62
2322 Cartographers and Surveyors,65,Y,15
2322 Cartographers and Surveyors,75,N,29
2322 Cartographers and Surveyors,75,Y,22
2322 Cartographers and Surveyors,70,N,45
2322 Cartographers and Surveyors,70,Y,24
2322 Cartographers and Surveyors,80,N,7
2322 Cartographers and Surveyors,80,Y,16
2322 Cartographers and Surveyors,90,N,2
2322 Cartographers and Surveyors,90,Y,3
2322 Cartographers and Surveyors,85,N,12
2322 Cartographers and Surveyors,85,Y,13
2322 Cartographers and Surveyors,55,N,16
2322 Cartographers and Surveyors,55,Y,4
2322 Cartographers and Surveyors,60,N,38
2322 Cartographers and Surveyors,60,Y,6
2322 Cartographers and Surveyors,50,N,4
2322 Cartographers and Surveyors,40,N,1
3233 Precision Metal Trades Workers,65,Y,3
3233 Precision Metal Trades Workers,75,Y,2
3233 Precision Metal Trades Workers,70,Y,3
3233 Precision Metal Trades Workers,55,Y,2
3233 Precision Metal Trades Workers,60,Y,1
3233 Precision Metal Trades Workers,45,N,1
2245 Land Economists and Valuers,65,N,12
2245 Land Economists and Valuers,65,Y,8
2245 Land Economists and Valuers,75,N,15
2245 Land Economists and Valuers,75,Y,20
2245 Land Economists and Valuers,70,N,5
2245 Land Economists and Valuers,70,Y,10
2245 Land Economists and Valuers,80,N,8
2245 Land Economists and Valuers,80,Y,8
2245 Land Economists and Valuers,90,N,1
2245 Land Economists and Valuers,85,Y,5
2245 Land Economists and Valuers,55,N,2
2245 Land Economists and Valuers,60,N,3
2245 Land Economists and Valuers,60,Y,1
2245 Land Economists and Valuers,50,N,1
2245 Land Economists and Valuers,40,N,1
2245 Land Economists and Valuers,45,N,1
2245 Land Economists and Valuers,30,N,1
2336 Mining Engineers,65,N,111
2336 Mining Engineers,65,Y,82
2336 Mining Engineers,75,N,54
2336 Mining Engineers,75,Y,97
2336 Mining Engineers,70,N,92
2336 Mining Engineers,70,Y,66
2336 Mining Engineers,80,N,28
2336 Mining Engineers,80,Y,68
2336 Mining Engineers,95,Y,4
2336 Mining Engineers,90,N,2
2336 Mining Engineers,90,Y,12
2336 Mining Engineers,85,N,9
2336 Mining Engineers,85,Y,30
2336 Mining Engineers,55,N,32
2336 Mining Engineers,55,Y,2
2336 Mining Engineers,60,N,35
2336 Mining Engineers,60,Y,19
2336 Mining Engineers,50,N,18
2336 Mining Engineers,50,Y,1
2336 Mining Engineers,40,N,1
2336 Mining Engineers,45,N,5
2336 Mining Engineers,45,Y,1
2612 Multimedia Specialists and Web Developers,65,N,24
2612 Multimedia Specialists and Web Developers,65,Y,21
2612 Multimedia Specialists and Web Developers,75,N,15
2612 Multimedia Specialists and Web Developers,75,Y,45
2612 Multimedia Specialists and Web Developers,70,N,31
2612 Multimedia Specialists and Web Developers,70,Y,37
2612 Multimedia Specialists and Web Developers,80,N,14
2612 Multimedia Specialists and Web Developers,80,Y,38
2612 Multimedia Specialists and Web Developers,95,N,1
2612 Multimedia Specialists and Web Developers,95,Y,43
2612 Multimedia Specialists and Web Developers,90,N,2
2612 Multimedia Specialists and Web Developers,90,Y,114
2612 Multimedia Specialists and Web Developers,85,N,13
2612 Multimedia Specialists and Web Developers,85,Y,62
2612 Multimedia Specialists and Web Developers,55,N,5
2612 Multimedia Specialists and Web Developers,55,Y,1
2612 Multimedia Specialists and Web Developers,60,N,7
2612 Multimedia Specialists and Web Developers,60,Y,3
2612 Multimedia Specialists and Web Developers,50,N,11
2612 Multimedia Specialists and Web Developers,50,Y,1
2612 Multimedia Specialists and Web Developers,100,Y,8
2612 Multimedia Specialists and Web Developers,40,N,1
3223 Structural Steel and Welding Trades Workers,65,N,64
3223 Structural Steel and Welding Trades Workers,65,Y,146
3223 Structural Steel and Welding Trades Workers,75,N,15
3223 Structural Steel and Welding Trades Workers,75,Y,117
3223 Structural Steel and Welding Trades Workers,70,N,36
3223 Structural Steel and Welding Trades Workers,70,Y,128
3223 Structural Steel and Welding Trades Workers,80,N,8
3223 Structural Steel and Welding Trades Workers,80,Y,66
3223 Structural Steel and Welding Trades Workers,90,Y,7
3223 Structural Steel and Welding Trades Workers,85,N,1
3223 Structural Steel and Welding Trades Workers,85,Y,9
3223 Structural Steel and Welding Trades Workers,55,N,16
3223 Structural Steel and Welding Trades Workers,55,Y,26
3223 Structural Steel and Welding Trades Workers,60,N,34
3223 Structural Steel and Welding Trades Workers,60,Y,52
3223 Structural Steel and Welding Trades Workers,50,N,10
3223 Structural Steel and Welding Trades Workers,50,Y,7
3223 Structural Steel and Welding Trades Workers,40,N,2
3223 Structural Steel and Welding Trades Workers,40,Y,1
3223 Structural Steel and Welding Trades Workers,45,N,8
3223 Structural Steel and Welding Trades Workers,45,Y,2
3223 Structural Steel and Welding Trades Workers,30,N,2
2349 Other Natural and Physical Science Professionals,65,N,58
2349 Other Natural and Physical Science Professionals,65,Y,5
2349 Other Natural and Physical Science Professionals,75,N,37
2349 Other Natural and Physical Science Professionals,75,Y,15
2349 Other Natural and Physical Science Professionals,70,N,41
2349 Other Natural and Physical Science Professionals,70,Y,8
2349 Other Natural and Physical Science Professionals,80,N,8
2349 Other Natural and Physical Science Professionals,80,Y,10
2349 Other Natural and Physical Science Professionals,95,Y,3
2349 Other Natural and Physical Science Professionals,90,Y,3
2349 Other Natural and Physical Science Professionals,85,N,3
2349 Other Natural and Physical Science Professionals,85,Y,17
2349 Other Natural and Physical Science Professionals,55,N,6
2349 Other Natural and Physical Science Professionals,60,N,9
2349 Other Natural and Physical Science Professionals,60,Y,2
2349 Other Natural and Physical Science Professionals,50,N,3
2349 Other Natural and Physical Science Professionals,50,Y,3
2349 Other Natural and Physical Science Professionals,100,Y,3
2349 Other Natural and Physical Science Professionals,105,Y,2
2349 Other Natural and Physical Science Professionals,40,N,1
1331 Construction Managers,65,N,442
1331 Construction Managers,65,Y,67
1331 Construction Managers,75,N,394
1331 Construction Managers,75,Y,137
1331 Construction Managers,70,N,429
1331 Construction Managers,70,Y,107
1331 Construction Managers,80,N,188
1331 Construction Managers,80,Y,88
1331 Construction Managers,95,N,1
1331 Construction Managers,95,Y,12
1331 Construction Managers,90,N,8
1331 Construction Managers,90,Y,24
1331 Construction Managers,85,N,50
1331 Construction Managers,85,Y,40
1331 Construction Managers,55,N,87
1331 Construction Managers,55,Y,9
1331 Construction Managers,60,N,122
1331 Construction Managers,60,Y,31
1331 Construction Managers,50,N,20
1331 Construction Managers,50,Y,1
1331 Construction Managers,100,N,1
1331 Construction Managers,40,N,8
1331 Construction Managers,45,N,10
1331 Construction Managers,45,Y,2
1331 Construction Managers,35,N,2
2343 Environmental Scientists,65,N,79
2343 Environmental Scientists,65,Y,30
2343 Environmental Scientists,75,N,43
2343 Environmental Scientists,75,Y,74
2343 Environmental Scientists,70,N,80
2343 Environmental Scientists,70,Y,47
2343 Environmental Scientists,80,N,27
2343 Environmental Scientists,80,Y,48
2343 Environmental Scientists,95,Y,4
2343 Environmental Scientists,90,Y,26
2343 Environmental Scientists,85,N,12
2343 Environmental Scientists,85,Y,55
2343 Environmental Scientists,55,N,9
2343 Environmental Scientists,55,Y,3
2343 Environmental Scientists,60,N,23
2343 Environmental Scientists,60,Y,16
2343 Environmental Scientists,50,N,3
2343 Environmental Scientists,100,Y,2
2343 Environmental Scientists,40,N,2
2343 Environmental Scientists,45,Y,2
2711 Barristers,65,N,1
2711 Barristers,75,Y,1
2711 Barristers,70,Y,1
2711 Barristers,80,N,1
2711 Barristers,80,Y,3
2711 Barristers,85,Y,1
2711 Barristers,55,N,1
3132 Telecommunications Technical Specialists,65,N,19
3132 Telecommunications Technical Specialists,65,Y,150
3132 Telecommunications Technical Specialists,75,N,4
3132 Telecommunications Technical Specialists,75,Y,133
3132 Telecommunications Technical Specialists,70,N,11
3132 Telecommunications Technical Specialists,70,Y,151
3132 Telecommunications Technical Specialists,80,N,6
3132 Telecommunications Technical Specialists,80,Y,77
3132 Telecommunications Technical Specialists,90,Y,32
3132 Telecommunications Technical Specialists,85,N,1
3132 Telecommunications Technical Specialists,85,Y,46
3132 Telecommunications Technical Specialists,55,N,6
3132 Telecommunications Technical Specialists,55,Y,49
3132 Telecommunications Technical Specialists,60,N,7
3132 Telecommunications Technical Specialists,60,Y,88
3132 Telecommunications Technical Specialists,50,N,4
3132 Telecommunications Technical Specialists,50,Y,29
3132 Telecommunications Technical Specialists,40,N,2
3132 Telecommunications Technical Specialists,40,Y,2
3132 Telecommunications Technical Specialists,45,N,3
3132 Telecommunications Technical Specialists,45,Y,5
3132 Telecommunications Technical Specialists,35,N,1
3312 Carpenters and Joiners,65,N,57
3312 Carpenters and Joiners,65,Y,458
3312 Carpenters and Joiners,75,N,4
3312 Carpenters and Joiners,75,Y,78
3312 Carpenters and Joiners,70,N,23
3312 Carpenters and Joiners,70,Y,199
3312 Carpenters and Joiners,80,N,4
3312 Carpenters and Joiners,80,Y,22
3312 Carpenters and Joiners,90,Y,4
3312 Carpenters and Joiners,85,Y,6
3312 Carpenters and Joiners,55,N,21
3312 Carpenters and Joiners,55,Y,100
3312 Carpenters and Joiners,60,N,22
3312 Carpenters and Joiners,60,Y,219
3312 Carpenters and Joiners,50,N,8
3312 Carpenters and Joiners,50,Y,22
3312 Carpenters and Joiners,100,Y,1
3312 Carpenters and Joiners,40,N,3
3312 Carpenters and Joiners,45,N,5
3312 Carpenters and Joiners,45,Y,6
3312 Carpenters and Joiners,30,N,1
2725 Social Workers,65,N,85
2725 Social Workers,65,Y,165
2725 Social Workers,75,N,41
2725 Social Workers,75,Y,375
2725 Social Workers,70,N,76
2725 Social Workers,70,Y,361
2725 Social Workers,80,N,10
2725 Social Workers,80,Y,148
2725 Social Workers,90,Y,7
2725 Social Workers,85,N,2
2725 Social Workers,85,Y,54
2725 Social Workers,55,N,18
2725 Social Workers,55,Y,9
2725 Social Workers,60,N,14
2725 Social Workers,60,Y,32
2725 Social Workers,50,N,4
2725 Social Workers,50,Y,3
2725 Social Workers,40,N,1
2725 Social Workers,45,N,1
2725 Social Workers,45,Y,2
3322 Painting Trades Workers,65,N,24
3322 Painting Trades Workers,65,Y,400
3322 Painting Trades Workers,75,N,6
3322 Painting Trades Workers,75,Y,180
3322 Painting Trades Workers,70,N,16
3322 Painting Trades Workers,70,Y,327
3322 Painting Trades Workers,80,N,2
3322 Painting Trades Workers,80,Y,88
3322 Painting Trades Workers,90,Y,5
3322 Painting Trades Workers,85,Y,22
3322 Painting Trades Workers,55,N,7
3322 Painting Trades Workers,55,Y,64
3322 Painting Trades Workers,60,N,16
3322 Painting Trades Workers,60,Y,157
3322 Painting Trades Workers,50,N,6
3322 Painting Trades Workers,50,Y,19
3322 Painting Trades Workers,40,N,1
3322 Painting Trades Workers,40,Y,4
3322 Painting Trades Workers,45,Y,6
3322 Painting Trades Workers,35,N,1
3423 Electronics Trades Workers,65,N,97
3423 Electronics Trades Workers,65,Y,13
3423 Electronics Trades Workers,75,N,42
3423 Electronics Trades Workers,75,Y,21
3423 Electronics Trades Workers,70,N,57
3423 Electronics Trades Workers,70,Y,27
3423 Electronics Trades Workers,80,N,12
3423 Electronics Trades Workers,80,Y,8
3423 Electronics Trades Workers,90,Y,1
3423 Electronics Trades Workers,85,N,3
3423 Electronics Trades Workers,85,Y,1
3423 Electronics Trades Workers,55,N,44
3423 Electronics Trades Workers,55,Y,3
3423 Electronics Trades Workers,60,N,37
3423 Electronics Trades Workers,60,Y,5
3423 Electronics Trades Workers,50,N,6
3423 Electronics Trades Workers,45,N,5
2521 Chiropractors and Osteopaths,65,N,5
2521 Chiropractors and Osteopaths,65,Y,6
2521 Chiropractors and Osteopaths,75,N,6
2521 Chiropractors and Osteopaths,75,Y,74
2521 Chiropractors and Osteopaths,70,N,7
2521 Chiropractors and Osteopaths,70,Y,16
2521 Chiropractors and Osteopaths,80,N,4
2521 Chiropractors and Osteopaths,80,Y,10
2521 Chiropractors and Osteopaths,85,Y,5
2521 Chiropractors and Osteopaths,55,N,1
2521 Chiropractors and Osteopaths,60,N,1
2521 Chiropractors and Osteopaths,60,Y,4
2521 Chiropractors and Osteopaths,50,N,1
2521 Chiropractors and Osteopaths,50,Y,1
3941 Cabinetmakers,65,N,18
3941 Cabinetmakers,65,Y,26
3941 Cabinetmakers,75,N,5
3941 Cabinetmakers,75,Y,18
3941 Cabinetmakers,70,N,15
3941 Cabinetmakers,70,Y,31
3941 Cabinetmakers,80,N,1
3941 Cabinetmakers,80,Y,6
3941 Cabinetmakers,85,Y,5
3941 Cabinetmakers,55,N,3
3941 Cabinetmakers,55,Y,2
3941 Cabinetmakers,60,N,7
3941 Cabinetmakers,60,Y,6
3941 Cabinetmakers,50,N,7
3941 Cabinetmakers,50,Y,1
3941 Cabinetmakers,45,N,2
2243 Economists,65,N,32
2243 Economists,65,Y,8
2243 Economists,75,N,18
2243 Economists,75,Y,13
2243 Economists,70,N,22
2243 Economists,70,Y,10
2243 Economists,80,N,13
2243 Economists,80,Y,27
2243 Economists,90,N,3
2243 Economists,90,Y,6
2243 Economists,85,N,7
2243 Economists,85,Y,11
2243 Economists,55,N,5
2243 Economists,55,Y,1
2243 Economists,60,N,9
2243 Economists,60,Y,4
2243 Economists,100,Y,1
2243 Economists,105,Y,1
2243 Economists,45,N,1
3311 Bricklayers and Stonemasons,65,N,16
3311 Bricklayers and Stonemasons,65,Y,60
3311 Bricklayers and Stonemasons,75,N,4
3311 Bricklayers and Stonemasons,75,Y,14
3311 Bricklayers and Stonemasons,70,N,6
3311 Bricklayers and Stonemasons,70,Y,25
3311 Bricklayers and Stonemasons,80,Y,3
3311 Bricklayers and Stonemasons,85,Y,1
3311 Bricklayers and Stonemasons,55,N,5
3311 Bricklayers and Stonemasons,55,Y,20
3311 Bricklayers and Stonemasons,60,N,4
3311 Bricklayers and Stonemasons,60,Y,33
3311 Bricklayers and Stonemasons,50,N,9
3311 Bricklayers and Stonemasons,50,Y,7
3311 Bricklayers and Stonemasons,40,N,1
3311 Bricklayers and Stonemasons,45,N,1
3311 Bricklayers and Stonemasons,45,Y,2
1342 Health and Welfare Services Managers,65,N,25
1342 Health and Welfare Services Managers,65,Y,1
1342 Health and Welfare Services Managers,75,N,5
1342 Health and Welfare Services Managers,75,Y,5
1342 Health and Welfare Services Managers,70,N,12
1342 Health and Welfare Services Managers,70,Y,7
1342 Health and Welfare Services Managers,80,N,6
1342 Health and Welfare Services Managers,80,Y,3
1342 Health and Welfare Services Managers,55,N,2
1342 Health and Welfare Services Managers,55,Y,4
1342 Health and Welfare Services Managers,60,N,12
1342 Health and Welfare Services Managers,60,Y,2
1342 Health and Welfare Services Managers,50,N,8
2539 Other Medical Practitioners,65,N,83
2539 Other Medical Practitioners,65,Y,17
2539 Other Medical Practitioners,75,N,135
2539 Other Medical Practitioners,75,Y,45
2539 Other Medical Practitioners,70,N,120
2539 Other Medical Practitioners,70,Y,21
2539 Other Medical Practitioners,80,N,89
2539 Other Medical Practitioners,80,Y,19
2539 Other Medical Practitioners,90,N,9
2539 Other Medical Practitioners,90,Y,14
2539 Other Medical Practitioners,85,N,30
2539 Other Medical Practitioners,85,Y,32
2539 Other Medical Practitioners,55,N,11
2539 Other Medical Practitioners,60,N,24
2539 Other Medical Practitioners,60,Y,2
2539 Other Medical Practitioners,50,N,3
2539 Other Medical Practitioners,50,Y,3
3411 Electricians,65,N,83
3411 Electricians,65,Y,22
3411 Electricians,75,N,10
3411 Electricians,75,Y,6
3411 Electricians,70,N,24
3411 Electricians,70,Y,14
3411 Electricians,80,N,1
3411 Electricians,80,Y,5
3411 Electricians,85,Y,1
3411 Electricians,55,N,29
3411 Electricians,55,Y,8
3411 Electricians,60,N,57
3411 Electricians,60,Y,7
3411 Electricians,50,N,38
3411 Electricians,50,Y,3
3411 Electricians,40,N,1
3411 Electricians,45,N,7
3411 Electricians,35,N,2
3411 Electricians,20,Y,1
2525 Physiotherapists,65,N,82
2525 Physiotherapists,65,Y,31
2525 Physiotherapists,75,N,68
2525 Physiotherapists,75,Y,115
2525 Physiotherapists,70,N,87
2525 Physiotherapists,70,Y,81
2525 Physiotherapists,80,N,23
2525 Physiotherapists,80,Y,54
2525 Physiotherapists,95,N,1
2525 Physiotherapists,95,Y,1
2525 Physiotherapists,90,Y,6
2525 Physiotherapists,85,N,10
2525 Physiotherapists,85,Y,23
2525 Physiotherapists,55,N,23
2525 Physiotherapists,55,Y,3
2525 Physiotherapists,60,N,16
2525 Physiotherapists,60,Y,5
2525 Physiotherapists,50,N,7
2525 Physiotherapists,40,N,2
2525 Physiotherapists,45,N,2
2512 Medical Imaging Professionals,65,N,24
2512 Medical Imaging Professionals,65,Y,10
2512 Medical Imaging Professionals,75,N,34
2512 Medical Imaging Professionals,75,Y,45
2512 Medical Imaging Professionals,70,N,32
2512 Medical Imaging Professionals,70,Y,26
2512 Medical Imaging Professionals,80,N,4
2512 Medical Imaging Professionals,80,Y,11
2512 Medical Imaging Professionals,90,N,2
