OccGroup,Score,pool_n,pm,n,im,state,round
2245 Land Economists and Valuers,60,1.0,2025-12-25 04:56:09.999999879,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,65,3.0,2025-12-15 04:57:30.999999957,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,70,1.0,2024-12-15 06:33:21.000000049,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,75,8.0,2025-07-02 05:20:51.999999933,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,80,3.0,2026-04-25 04:55:10.000000315,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,85,6.0,2025-10-24 04:54:40.000000213,0.0,,UNTOUCHED,2024-11
2245 Land Economists and Valuers,90,0.0,,2.0,2024-07-29 14:36:34.000000107,PARTIAL,2024-11
2245 Land Economists and Valuers,95,0.0,,1.0,2024-09-14 04:51:40.000000259,PARTIAL,2024-11
2247 Management and Organisation Analysts,65,5.0,2025-12-06 04:58:34.999999824,0.0,,UNTOUCHED,2024-11
2247 Management and Organisation Analysts,70,5.0,2025-08-05 04:55:15.999999827,0.0,,UNTOUCHED,2024-11
2247 Management and Organisation Analysts,75,18.0,2026-03-09 04:56:41.000000208,0.0,,UNTOUCHED,2024-11
2247 Management and Organisation Analysts,80,11.0,2025-09-17 04:54:54.999999944,0.0,,UNTOUCHED,2024-11
2247 Management and Organisation Analysts,85,18.0,2026-01-13 04:57:53.000000066,1.0,2024-10-09 06:03:52.000000165,PARTIAL,2024-11
2247 Management and Organisation Analysts,90,10.0,2025-06-17 04:53:32.000000035,28.0,2025-06-17 04:53:32.000000035,CLEARED,2024-11
2247 Management and Organisation Analysts,95,2.0,2024-10-23 20:45:21.000000087,4.0,2024-11-03 05:08:50.999999864,CLEARED,2024-11
2321 Architects and Landscape Architects,60,6.0,2026-07-03 04:57:08.000000233,0.0,,UNTOUCHED,2024-11
2321 Architects and Landscape Architects,65,22.0,2026-06-30 04:59:01.000000245,0.0,,UNTOUCHED,2024-11
2321 Architects and Landscape Architects,70,36.0,2026-08-28 04:55:18.999999903,24.0,2025-02-14 05:00:18.000000020,PARTIAL,2024-11
2321 Architects and Landscape Architects,75,49.0,2026-08-30 05:07:51.000000300,143.0,2026-08-30 05:07:51.000000300,CLEARED,2024-11
2321 Architects and Landscape Architects,80,31.0,2026-04-10 04:55:34.000000265,70.0,2026-04-10 04:55:34.000000265,CLEARED,2024-11
2321 Architects and Landscape Architects,85,16.0,2025-09-29 04:54:13.999999792,26.0,2025-09-29 04:54:13.999999792,CLEARED,2024-11
2321 Architects and Landscape Architects,90,2.0,2024-10-16 22:41:59.999999832,6.0,2024-11-05 04:56:36.999999905,CLEARED,2024-11
2321 Architects and Landscape Architects,95,1.0,2024-09-11 20:40:31.999999794,1.0,2024-09-11 20:40:31.999999794,CLEARED,2024-11
2321 Architects and Landscape Architects,105,0.0,,1.0,2024-08-23 07:11:01.000000291,PARTIAL,2024-11
2322 Cartographers and Surveyors,60,1.0,2024-10-22 13:34:54.999999805,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,65,9.0,2026-07-10 04:55:47.999999769,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,70,4.0,2025-07-11 04:53:35.999999715,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,75,12.0,2026-07-01 04:59:06.999999766,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,80,10.0,2025-09-09 04:55:10.999999920,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,85,3.0,2025-05-15 04:54:56.999999784,0.0,,UNTOUCHED,2024-11
2322 Cartographers and Surveyors,90,3.0,2024-10-22 15:47:42.999999751,17.0,2024-11-01 04:55:25.000000046,CLEARED,2024-11
2322 Cartographers and Surveyors,95,1.0,2024-10-22 13:48:23.000000094,1.0,2024-10-22 13:48:23.000000094,CLEARED,2024-11
2331 Chemical and Materials Engineers,45,1.0,2025-06-27 04:54:50.000000037,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,55,1.0,2024-09-16 04:51:43.999999931,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,60,5.0,2026-06-16 04:55:07.999999844,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,65,25.0,2026-08-30 05:07:51.000000300,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,70,39.0,2026-07-02 04:56:52.999999872,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,75,32.0,2026-09-02 05:00:32.000000146,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,80,44.0,2026-07-27 05:01:28.000000038,0.0,,UNTOUCHED,2024-11
2331 Chemical and Materials Engineers,85,22.0,2025-11-05 04:55:42.000000248,5.0,2024-08-06 04:52:58.999999866,PARTIAL,2024-11
2331 Chemical and Materials Engineers,90,12.0,2025-01-18 04:58:34.000000219,57.0,2025-05-14 04:54:43.000000289,CLEARED,2024-11
2331 Chemical and Materials Engineers,95,8.0,2024-10-27 05:37:57.000000025,11.0,2024-10-27 05:37:57.000000025,CLEARED,2024-11
2331 Chemical and Materials Engineers,100,1.0,2024-09-20 13:34:06.000000300,3.0,2024-11-05 04:56:36.999999905,CLEARED,2024-11
2332 Civil Engineering Professionals,45,1.0,2026-01-03 04:57:06.999999998,0.0,,UNTOUCHED,2024-11
2332 Civil Engineering Professionals,50,5.0,2026-05-01 05:10:19.999999925,0.0,,UNTOUCHED,2024-11
2332 Civil Engineering Professionals,55,15.0,2026-08-02 05:01:45.000000240,0.0,,UNTOUCHED,2024-11
2332 Civil Engineering Professionals,60,33.0,2026-08-05 04:57:06.999999998,0.0,,UNTOUCHED,2024-11
2332 Civil Engineering Professionals,65,176.0,2026-08-27 04:59:08.000000001,0.0,,UNTOUCHED,2024-11
2332 Civil Engineering Professionals,70,219.0,2026-08-26 04:55:23.000000206,29.0,2025-01-07 05:03:06.000000310,PARTIAL,2024-11
2332 Civil Engineering Professionals,75,259.0,2026-08-24 04:55:15.999999827,164.0,2026-08-24 04:55:15.999999827,CLEARED,2024-11
2332 Civil Engineering Professionals,80,213.0,2026-08-13 04:57:24.999999805,90.0,2026-06-30 04:59:01.000000245,PARTIAL,2024-11
2332 Civil Engineering Professionals,85,128.0,2026-08-20 04:58:58.999999782,48.0,2025-11-11 16:20:12.999999825,PARTIAL,2024-11
2332 Civil Engineering Professionals,90,61.0,2026-07-11 04:55:42.999999853,269.0,2026-07-11 04:55:42.999999853,CLEARED,2024-11
2332 Civil Engineering Professionals,95,8.0,2024-10-29 23:56:34.000000247,20.0,2025-01-07 05:03:06.000000310,CLEARED,2024-11
2332 Civil Engineering Professionals,100,0.0,,1.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-11
2332 Civil Engineering Professionals,105,0.0,,1.0,2024-08-03 21:57:04.999999740,PARTIAL,2024-11
2333 Electrical Engineers,50,2.0,2025-09-11 04:54:13.000000187,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,55,8.0,2026-04-21 04:57:11.999999914,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,60,16.0,2026-06-22 04:54:35.999999910,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,65,78.0,2026-08-22 04:57:27.000000276,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,70,74.0,2026-08-06 04:55:26.999999886,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,75,81.0,2026-08-12 05:05:07.000000313,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,80,82.0,2026-07-18 05:00:43.999999810,0.0,,UNTOUCHED,2024-11
2333 Electrical Engineers,85,40.0,2026-05-30 04:56:19.999999703,6.0,2024-08-18 05:20:12.000000007,PARTIAL,2024-11
2333 Electrical Engineers,90,15.0,2025-10-22 04:55:15.000000222,117.0,2026-01-24 04:57:40.999999780,CLEARED,2024-11
2333 Electrical Engineers,95,6.0,2024-10-25 04:54:59.000000256,10.0,2024-11-03 05:08:50.999999864,CLEARED,2024-11
2334 Electronics Engineers,50,1.0,2024-09-06 00:30:27.999999843,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,55,8.0,2026-07-28 05:01:53.999999829,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,60,11.0,2026-07-19 05:21:30.000000018,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,65,52.0,2026-08-03 04:59:30.000000111,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,70,49.0,2026-07-16 04:59:44.000000237,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,75,54.0,2026-06-27 05:03:56.000000059,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,80,53.0,2026-07-19 05:21:30.000000018,0.0,,UNTOUCHED,2024-11
2334 Electronics Engineers,85,48.0,2026-08-14 04:55:58.999999820,8.0,2024-10-28 04:58:28.999999680,PARTIAL,2024-11
2334 Electronics Engineers,90,17.0,2026-02-23 04:56:51.000000031,77.0,2026-02-23 04:56:51.000000031,CLEARED,2024-11
2334 Electronics Engineers,95,9.0,2025-05-29 04:54:08.000000280,12.0,2025-05-29 04:54:08.000000280,CLEARED,2024-11
2334 Electronics Engineers,100,2.0,2025-06-16 04:53:40.000000018,2.0,2025-06-16 04:53:40.000000018,CLEARED,2024-11
"2335 Industrial, Mechanical and Production Engineers",40,1.0,2026-08-23 05:01:10.000000231,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",50,2.0,2025-12-28 04:58:13.000000344,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",55,16.0,2026-03-05 04:56:11.000000114,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",60,27.0,2026-07-12 05:07:29.000000182,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",65,151.0,2026-08-28 04:55:18.999999903,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",70,168.0,2026-08-25 04:57:32.999999797,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",75,206.0,2026-08-20 04:58:58.999999782,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",80,133.0,2026-07-20 04:55:50.999999836,0.0,,UNTOUCHED,2024-11
"2335 Industrial, Mechanical and Production Engineers",85,112.0,2026-08-25 04:57:32.999999797,23.0,2024-11-07 04:58:15.000000185,PARTIAL,2024-11
"2335 Industrial, Mechanical and Production Engineers",90,66.0,2026-05-20 04:54:34.000000070,327.0,2026-08-12 05:05:07.000000313,CLEARED,2024-11
"2335 Industrial, Mechanical and Production Engineers",95,15.0,2025-12-16 04:56:14.000000182,28.0,2025-12-16 04:56:14.000000182,CLEARED,2024-11
"2335 Industrial, Mechanical and Production Engineers",100,2.0,2025-06-28 04:57:43.999999848,2.0,2025-06-28 04:57:43.999999848,CLEARED,2024-11
2336 Mining Engineers,40,1.0,2026-04-17 04:58:23.999999773,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,55,1.0,2025-12-02 04:54:56.999999784,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,60,2.0,2025-07-30 04:54:07.000000044,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,65,17.0,2026-08-11 05:03:38.000000252,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,70,13.0,2026-05-14 04:54:32.999999834,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,75,9.0,2026-06-18 04:55:59.999999424,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,80,8.0,2026-01-25 04:54:46.999999961,0.0,,UNTOUCHED,2024-11
2336 Mining Engineers,85,6.0,2025-07-13 05:15:55.000000287,2.0,2024-08-03 04:51:53.999999755,PARTIAL,2024-11
2336 Mining Engineers,90,5.0,2024-10-29 04:58:23.000000168,23.0,2025-05-18 04:55:51.999999441,CLEARED,2024-11
2336 Mining Engineers,95,1.0,2024-10-20 09:45:35.000000009,2.0,2024-10-26 04:58:53.000000261,CLEARED,2024-11
2336 Mining Engineers,105,0.0,,1.0,2024-09-01 05:45:05.000000120,PARTIAL,2024-11
2339 Other Engineering Professionals,50,3.0,2026-07-19 05:21:30.000000018,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,55,7.0,2026-02-10 05:00:56.000000096,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,60,23.0,2026-05-19 04:54:53.999999717,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,65,115.0,2026-08-28 04:55:18.999999903,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,70,141.0,2026-08-08 04:56:11.999999719,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,75,148.0,2026-08-31 05:04:37.000000211,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,80,134.0,2026-08-29 05:03:29.000000033,0.0,,UNTOUCHED,2024-11
2339 Other Engineering Professionals,85,126.0,2026-08-25 04:57:32.999999797,19.0,2024-10-08 04:58:31.000000152,PARTIAL,2024-11
2339 Other Engineering Professionals,90,57.0,2026-03-28 04:57:05.000000166,236.0,2026-03-28 04:57:05.000000166,CLEARED,2024-11
2339 Other Engineering Professionals,95,2.0,2026-06-02 04:55:07.000000239,12.0,2026-06-02 04:55:07.000000239,CLEARED,2024-11
2339 Other Engineering Professionals,100,1.0,2024-10-25 13:10:36.999999710,3.0,2024-11-05 20:27:23.999999783,CLEARED,2024-11
2339 Other Engineering Professionals,105,0.0,,1.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-11
2341 Agricultural and Forestry Scientists,50,1.0,2024-09-19 03:02:47.000000063,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,60,4.0,2026-04-15 04:56:52.000000267,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,65,24.0,2026-07-14 05:00:54.999999861,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,70,20.0,2026-08-17 04:55:06.000000003,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,75,11.0,2026-06-25 05:01:32.999999946,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,80,11.0,2025-11-05 04:55:42.000000248,0.0,,UNTOUCHED,2024-11
2341 Agricultural and Forestry Scientists,85,6.0,2025-09-22 05:03:35.999999781,2.0,2024-09-13 04:52:31.000000235,PARTIAL,2024-11
2341 Agricultural and Forestry Scientists,90,4.0,2024-10-08 14:18:47.999999862,23.0,2025-02-11 04:59:49.000000153,CLEARED,2024-11
2341 Agricultural and Forestry Scientists,95,5.0,2025-02-11 04:59:49.000000153,5.0,2025-02-11 04:59:49.000000153,CLEARED,2024-11
2341 Agricultural and Forestry Scientists,100,2.0,2025-02-25 04:56:47.999999964,2.0,2025-02-25 04:56:47.999999964,CLEARED,2024-11
2341 Agricultural and Forestry Scientists,105,1.0,2024-10-01 05:46:26.000000198,1.0,2024-10-01 05:46:26.000000198,CLEARED,2024-11
"2342 Chemists, and Food and Wine Scientists",55,2.0,2025-05-15 04:54:56.999999784,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",60,7.0,2025-01-13 04:58:53.999999866,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",65,32.0,2026-04-12 05:07:00.999999929,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",70,29.0,2026-06-27 05:03:56.000000059,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",75,25.0,2026-06-24 05:03:57.000000294,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",80,16.0,2026-08-23 05:01:10.000000231,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",85,19.0,2026-01-13 04:57:53.000000066,0.0,,UNTOUCHED,2024-11
"2342 Chemists, and Food and Wine Scientists",90,10.0,2025-06-03 04:54:43.000000289,27.0,2025-06-03 04:54:43.000000289,CLEARED,2024-11
"2342 Chemists, and Food and Wine Scientists",100,1.0,2025-02-03 04:57:21.999999738,1.0,2025-02-03 04:57:21.999999738,CLEARED,2024-11
2343 Environmental Scientists,45,1.0,2025-11-10 04:55:12.999999751,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,65,10.0,2026-02-17 04:54:03.999999968,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,70,13.0,2026-08-03 04:59:30.000000111,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,75,12.0,2026-05-05 05:01:29.000000265,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,80,6.0,2025-06-30 04:50:57.999999871,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,85,11.0,2025-10-26 05:11:45.999999911,0.0,,UNTOUCHED,2024-11
2343 Environmental Scientists,90,1.0,2024-09-25 02:20:35.999999966,15.0,2025-08-03 04:58:45.999999883,CLEARED,2024-11
2343 Environmental Scientists,95,3.0,2024-10-17 22:54:32.000000230,3.0,2024-10-17 22:54:32.000000230,CLEARED,2024-11
2343 Environmental Scientists,100,1.0,2024-10-21 13:48:45.000000213,1.0,2024-10-21 13:48:45.000000213,CLEARED,2024-11
2343 Environmental Scientists,110,1.0,2024-10-21 13:46:42.999999983,1.0,2024-10-21 13:46:42.999999983,CLEARED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,60,1.0,2026-08-22 04:57:27.000000276,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,65,3.0,2026-03-17 04:55:28.000000122,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,70,1.0,2024-08-03 12:41:23.999999801,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,75,5.0,2026-06-26 05:01:07.000000155,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,80,2.0,2024-10-12 22:20:25.999999725,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,85,2.0,2025-10-09 04:55:10.000000315,0.0,,UNTOUCHED,2024-11
2344 Geologists Geophysicists and Hydrogeologists,90,2.0,2024-09-28 16:48:15.999999716,3.0,2024-09-28 16:48:15.999999716,CLEARED,2024-11
2345 Life Scientists,55,1.0,2024-10-08 16:41:51.999999849,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,60,3.0,2025-09-13 04:55:28.999999727,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,65,21.0,2025-12-28 04:58:13.000000344,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,70,16.0,2026-02-23 04:56:51.000000031,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,75,14.0,2026-08-09 05:00:56.999999701,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,80,21.0,2026-05-16 14:29:05.999999743,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,85,19.0,2025-11-02 05:35:59.000000098,0.0,,UNTOUCHED,2024-11
2345 Life Scientists,90,15.0,2025-06-14 04:54:00.000000296,53.0,2025-06-14 04:54:00.000000296,CLEARED,2024-11
2345 Life Scientists,95,7.0,2025-08-03 04:58:45.999999883,8.0,2025-08-03 04:58:45.999999883,CLEARED,2024-11
2345 Life Scientists,100,5.0,2024-10-31 15:36:08.000000112,5.0,2024-10-31 15:36:08.000000112,CLEARED,2024-11
2345 Life Scientists,105,2.0,2024-10-21 16:51:27.999999964,2.0,2024-10-21 16:51:27.999999964,CLEARED,2024-11
2346 Medical Laboratory Scientists,65,7.0,2025-04-01 05:21:53.999999968,0.0,,UNTOUCHED,2024-11
2346 Medical Laboratory Scientists,70,5.0,2025-04-28 04:55:44.999999693,0.0,,UNTOUCHED,2024-11
2346 Medical Laboratory Scientists,75,8.0,2026-02-01 04:55:31.000000189,37.0,2026-04-09 04:55:13.999999987,CLEARED,2024-11
2346 Medical Laboratory Scientists,80,6.0,2026-03-28 04:57:05.000000166,13.0,2026-03-28 04:57:05.000000166,CLEARED,2024-11
2346 Medical Laboratory Scientists,85,0.0,,6.0,2024-11-06 19:35:34.999999730,PARTIAL,2024-11
2346 Medical Laboratory Scientists,90,2.0,2025-01-07 05:03:06.000000310,2.0,2025-01-07 05:03:06.000000310,CLEARED,2024-11
2347 Veterinarians,65,1.0,2024-10-01 04:55:45.999999929,0.0,,UNTOUCHED,2024-11
2347 Veterinarians,70,1.0,2025-08-31 04:55:34.999999870,0.0,,UNTOUCHED,2024-11
2347 Veterinarians,75,4.0,2025-10-26 05:11:45.999999911,0.0,,UNTOUCHED,2024-11
2347 Veterinarians,80,4.0,2025-05-16 05:22:11.999999775,0.0,,UNTOUCHED,2024-11
2347 Veterinarians,85,2.0,2025-06-06 05:20:43.000000344,1.0,2023-12-30 04:45:51.999999998,PARTIAL,2024-11
2347 Veterinarians,90,1.0,2024-10-20 19:49:49.999999684,10.0,2025-06-14 04:54:00.000000296,CLEARED,2024-11
2347 Veterinarians,115,0.0,,1.0,2024-11-05 04:56:36.999999905,PARTIAL,2024-11
2349 Other Natural and Physical Science Professionals,65,3.0,2026-07-11 04:55:42.999999853,0.0,,UNTOUCHED,2024-11
2349 Other Natural and Physical Science Professionals,70,4.0,2026-03-20 04:55:42.999999853,0.0,,UNTOUCHED,2024-11
2349 Other Natural and Physical Science Professionals,75,10.0,2026-05-08 04:56:01.999999896,0.0,,UNTOUCHED,2024-11
2349 Other Natural and Physical Science Professionals,80,2.0,2024-10-16 18:11:10.999999697,0.0,,UNTOUCHED,2024-11
2349 Other Natural and Physical Science Professionals,85,4.0,2025-10-17 04:54:59.000000256,0.0,,UNTOUCHED,2024-11
2349 Other Natural and Physical Science Professionals,90,0.0,,10.0,2024-10-27 05:37:57.000000025,PARTIAL,2024-11
2349 Other Natural and Physical Science Professionals,100,1.0,2025-07-08 05:15:30.000000101,1.0,2025-07-08 05:15:30.000000101,CLEARED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,45,1.0,2024-09-20 04:53:25.999999892,0.0,,UNTOUCHED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,50,4.0,2024-11-14 04:56:55.999999947,0.0,,UNTOUCHED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,60,12.0,2025-09-21 05:01:31.999999710,0.0,,UNTOUCHED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,65,137.0,2026-08-14 04:55:58.999999820,0.0,,UNTOUCHED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,70,186.0,2026-08-18 04:56:31.999999989,2.0,2024-02-17 04:46:31.999999923,PARTIAL,2024-11
2411 Early Childhood (Pre-primary School) Teachers,75,158.0,2026-08-07 04:55:50.000000232,341.0,2026-08-07 04:55:50.000000232,CLEARED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,80,160.0,2026-08-16 04:58:10.999999873,203.0,2026-08-16 04:58:10.999999873,CLEARED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,85,30.0,2025-08-20 04:55:26.999999886,41.0,2025-08-20 04:55:26.999999886,CLEARED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,90,1.0,2024-10-10 21:25:15.000000222,2.0,2024-10-10 21:25:15.000000222,CLEARED,2024-11
2411 Early Childhood (Pre-primary School) Teachers,95,1.0,2025-05-28 04:56:44.999999888,1.0,2025-05-28 04:56:44.999999888,CLEARED,2024-11
2414 Secondary School Teachers,55,1.0,2025-01-08 04:55:53.000000307,0.0,,UNTOUCHED,2024-11
2414 Secondary School Teachers,60,6.0,2026-03-17 04:55:28.000000122,0.0,,UNTOUCHED,2024-11
2414 Secondary School Teachers,65,27.0,2026-07-04 05:01:13.000000298,0.0,,UNTOUCHED,2024-11
2414 Secondary School Teachers,70,28.0,2026-08-23 05:01:10.000000231,3.0,2024-10-18 04:56:52.999999872,PARTIAL,2024-11
2414 Secondary School Teachers,75,28.0,2025-10-11 04:56:11.999999719,88.0,2025-12-08 04:56:57.999999788,CLEARED,2024-11
2414 Secondary School Teachers,80,24.0,2025-03-23 04:56:52.000000267,43.0,2025-10-15 04:55:25.000000046,CLEARED,2024-11
2414 Secondary School Teachers,85,7.0,2024-11-01 04:55:25.000000046,9.0,2024-11-01 14:12:08.000000029,CLEARED,2024-11
2414 Secondary School Teachers,95,1.0,2024-10-15 15:21:23.000000057,1.0,2024-10-15 15:21:23.000000057,CLEARED,2024-11
2415 Special Education Teachers,70,1.0,2025-10-26 05:11:45.999999911,0.0,,UNTOUCHED,2024-11
2415 Special Education Teachers,75,0.0,,4.0,2025-10-22 04:55:15.000000222,PARTIAL,2024-11
2415 Special Education Teachers,80,0.0,,1.0,2024-08-26 00:50:34.000000126,PARTIAL,2024-11
2421 University Lecturers and Tutors,45,1.0,2024-10-25 04:54:59.000000256,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,50,1.0,2024-10-09 19:53:46.000000161,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,55,4.0,2025-09-16 04:54:35.999999910,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,60,12.0,2026-07-12 05:07:29.000000182,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,65,45.0,2026-07-31 04:56:47.999999964,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,70,47.0,2026-08-29 05:03:29.000000033,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,75,35.0,2026-04-22 04:54:37.999999742,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,80,36.0,2026-06-08 04:54:29.999999759,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,85,25.0,2026-07-29 04:55:29.999999953,0.0,,UNTOUCHED,2024-11
2421 University Lecturers and Tutors,90,28.0,2025-01-08 04:55:53.000000307,71.0,2025-02-26 06:11:40.999999790,CLEARED,2024-11
2421 University Lecturers and Tutors,95,10.0,2024-10-28 08:01:26.999999803,14.0,2025-06-02 04:54:34.000000070,CLEARED,2024-11
2421 University Lecturers and Tutors,100,4.0,2025-01-08 04:55:53.000000307,4.0,2025-01-08 04:55:53.000000307,CLEARED,2024-11
2512 Medical Imaging Professionals,65,4.0,2026-05-04 05:07:14.999999424,0.0,,UNTOUCHED,2024-11
2512 Medical Imaging Professionals,70,2.0,2024-09-17 05:35:00.000000139,0.0,,UNTOUCHED,2024-11
2512 Medical Imaging Professionals,75,1.0,2024-09-15 23:25:43.000000066,17.0,2025-07-26 04:55:29.999999953,CLEARED,2024-11
2512 Medical Imaging Professionals,80,1.0,2024-10-24 22:34:06.000000300,4.0,2024-11-05 04:27:09.000000256,CLEARED,2024-11
2512 Medical Imaging Professionals,85,3.0,2024-10-08 00:06:01.999999756,5.0,2024-11-05 04:56:36.999999905,CLEARED,2024-11
2514 Optometrists and Orthoptists,70,2.0,2025-04-17 04:54:37.999999742,0.0,,UNTOUCHED,2024-11
2514 Optometrists and Orthoptists,75,2.0,2024-10-02 12:05:12.000000007,2.0,2024-10-02 12:05:12.000000007,CLEARED,2024-11
2514 Optometrists and Orthoptists,80,2.0,2024-10-05 13:09:38.999999977,2.0,2024-10-05 13:09:38.999999977,CLEARED,2024-11
2519 Other Health Diagnostic and Promotion Professionals,75,1.0,2024-05-10 04:48:02.999999825,1.0,2024-05-10 04:48:02.999999825,CLEARED,2024-11
2521 Chiropractors and Osteopaths,65,1.0,2024-10-28 11:29:41.999999979,0.0,,UNTOUCHED,2024-11
2521 Chiropractors and Osteopaths,70,1.0,2024-10-23 17:30:29.999999888,0.0,,UNTOUCHED,2024-11
