StatusMonth,OccGroup,all189,no189
2026-01,1335 Production Managers,0,5
2026-01,2515 Pharmacists,0,26
2026-01,1351 ICT Managers,0,4
2026-01,2247 Management and Organisation Analysts,1,3
2026-01,2347 Veterinarians,4,2
2026-01,2414 Secondary School Teachers,35,47
2026-01,1341 Child Care Centre Managers,0,1
2026-01,3125 Mechanical Engineering Draftspersons and Technicians,0,5
2026-01,2412 Primary School Teachers,0,37
2026-01,"2241 Actuaries, Mathematicians and Statisticians",1,4
2026-01,3331 Glaziers,0,1
2026-01,2421 University Lecturers and Tutors,4,9
2026-01,1411 Cafe and Restaurant Managers,0,32
2026-01,2633 Telecommunications Engineering Professionals,1,4
2026-01,3511 Bakers and Pastrycooks,0,3
2026-01,1332 Engineering Managers,0,5
2026-01,"1499 Other Hospitality, Retail and Service Managers",0,1
2026-01,3122 Civil Engineering Draftspersons and Technicians,29,38
2026-01,1399 Other Specialist Managers,0,1
2026-01,"5111 Contract, Program and Project Administrators",0,10
2026-01,2322 Cartographers and Surveyors,3,7
2026-01,2245 Land Economists and Valuers,1,1
2026-01,2252 ICT Sales Professionals,0,1
2026-01,2336 Mining Engineers,3,3
2026-01,2612 Multimedia Specialists and Web Developers,0,1
2026-01,3223 Structural Steel and Welding Trades Workers,3,6
2026-01,2349 Other Natural and Physical Science Professionals,0,4
2026-01,2326 Urban and Regional Planners,0,12
2026-01,2632 ICT Support and Test Engineers,0,17
2026-01,2325 Interior Designers,0,1
2026-01,1331 Construction Managers,18,32
2026-01,3613 Veterinary Nurses,0,2
2026-01,2343 Environmental Scientists,2,4
2026-01,3132 Telecommunications Technical Specialists,0,3
2026-01,3312 Carpenters and Joiners,19,27
2026-01,1334 Manufacturers,0,4
2026-01,2725 Social Workers,8,16
2026-01,1413 Hotel and Motel Managers,0,20
2026-01,2249 Other Information and Organisation Professionals,0,7
2026-01,3322 Painting Trades Workers,8,14
2026-01,3423 Electronics Trades Workers,1,4
2026-01,2542 Nurse Educators and Researchers,0,1
2026-01,2493 Teachers of English to Speakers of Other Languages,0,3
2026-01,3941 Cabinetmakers,5,4
2026-01,2243 Economists,1,0
2026-01,3311 Bricklayers and Stonemasons,4,10
2026-01,"2726 Welfare, Recreation and Community Arts Workers",0,8
2026-01,1336 Supply and Distribution Managers,0,3
2026-01,1342 Health and Welfare Services Managers,0,5
2026-01,3231 Aircraft Maintenance Engineers,0,1
2026-01,1492 Call or Contact Centre and Customer Service Managers,0,2
2026-01,2221 Financial Brokers,0,1
2026-01,2539 Other Medical Practitioners,7,1
2026-01,1419 Other Accommodation and Hospitality Managers,0,3
2026-01,3111 Agricultural Technicians,0,3
2026-01,2724 Social Professionals,0,1
2026-01,4114 Enrolled and Mothercraft Nurses,0,36
2026-01,3411 Electricians,9,16
2026-01,2525 Physiotherapists,12,7
2026-01,2253 Public Relations Professionals,0,1
2026-01,2512 Medical Imaging Professionals,3,4
2026-01,3131 ICT Support Technicians,0,3
2026-01,"4523 Sports Coaches, Instructors and Officials",0,1
2026-01,3222 Sheetmetal Trades Workers,1,0
2026-01,2513 Occupational and Environmental Health Professionals,0,1
2026-01,2527 Speech Professionals and Audiologists,8,5
2026-01,3129 Other Building and Engineering Technicians,0,12
2026-01,2492 Private Tutors and Teachers,0,1
2026-01,2524 Occupational Therapists,14,11
2026-01,2519 Other Health Diagnostic and Promotion Professionals,0,3
2026-01,3421 Airconditioning and Refrigeration Mechanics,0,1
2026-01,2346 Medical Laboratory Scientists,0,2
2026-01,2415 Special Education Teachers,1,3
2026-01,1493 Conference and Event Organisers,0,11
2026-01,2723 Psychologists,1,9
2026-01,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,6
2026-01,4111 Ambulance Officers and Paramedics,0,3
2026-01,"4112 Dental Hygienists, Technicians and Therapists",0,3
2026-01,2541 Midwives,1,3
2026-01,3341 Plumbers,5,8
2026-01,2511 Dietitians,0,4
2026-01,3424 Telecommunications Trades Workers,0,1
2026-01,2721 Counsellors,0,17
2026-01,3991 Boat Builders and Shipwrights,2,1
2026-01,4113 Diversional Therapists,0,2
2026-01,2533 Internal Medicine Specialists,0,2
2026-01,3611 Animal Attendants and Trainers,0,2
2026-01,3334 Wall and Floor Tilers,5,4
2026-01,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,2
2026-01,2522 Complementary Health Therapists,0,1
2026-01,2543 Nurse Managers,0,2
2026-01,2523 Dental Practitioners,0,6
2026-01,3211 Automotive Electricians,2,0
2026-01,3422 Electrical Distribution Trades Workers,1,0
2026-01,3512 Butchers and Smallgoods Makers,0,1
2026-01,3333 Roof Tilers,0,1
2025-05,2613 Software and Applications Programmers,38,154
2025-05,3212 Motor Mechanics,21,84
2025-05,2332 Civil Engineering Professionals,76,166
2025-05,2411 Early Childhood (Pre-primary School) Teachers,43,111
2025-05,2611 ICT Business and Systems Analysts,24,52
2025-05,2211 Accountants,18,97
2025-05,2344 Geologists Geophysicists and Hydrogeologists,0,3
2025-05,"2621 Database and Systems Administrators, and ICT Security Specialists",3,16
2025-05,4117 Welfare Support Workers,0,113
2025-05,"2212 Auditors, Company Secretaries and Corporate Treasurers",5,15
2025-05,2345 Life Scientists,2,1
2025-05,"2335 Industrial, Mechanical and Production Engineers",15,50
2025-05,2339 Other Engineering Professionals,10,31
2025-05,2341 Agricultural and Forestry Scientists,1,2
2025-05,2544 Registered Nurses,91,158
2025-05,3513 Chefs,55,113
2025-05,2334 Electronics Engineers,6,8
2025-05,3232 Metal Fitters and Machinists,3,24
2025-05,3114 Science Technicians,0,5
2025-05,"2324 Graphic and Web Designers, and Illustrators",0,8
2025-05,2631 Computer Network Professionals,5,32
2025-05,4116 Massage Therapists,0,2
2025-05,"2342 Chemists, and Food and Wine Scientists",4,4
2025-05,2713 Solicitors,1,2
2025-05,1311 Advertising and Sales Managers,0,9
2025-05,1322 Finance Managers,0,9
2025-05,"3121 Architectural, Building and Surveying Technicians",0,83
2025-05,2331 Chemical and Materials Engineers,8,11
2025-05,2251 Advertising and Marketing Professionals,0,20
2025-05,3123 Electrical Engineering Draftspersons and Technicians,3,8
2025-05,2231 Human Resource Professionals,0,7
2025-05,3514 Cooks,0,124
2025-05,2333 Electrical Engineers,6,33
2025-05,2223 Financial Investment Advisers and Managers,0,2
2025-05,2321 Architects and Landscape Architects,10,35
2025-05,3112 Medical Technicians,0,29
2025-05,2531 General Practitioners and Resident Medical officers,33,35
2025-05,1323 Human Resource Managers,0,2
2025-05,3113 Primary Products Inspectors,0,5
2025-05,1335 Production Managers,0,19
2025-05,2515 Pharmacists,0,37
2025-05,1351 ICT Managers,0,10
2025-05,2247 Management and Organisation Analysts,0,8
2025-05,2347 Veterinarians,1,0
2025-05,2414 Secondary School Teachers,25,19
2025-05,1341 Child Care Centre Managers,1,1
2025-05,3125 Mechanical Engineering Draftspersons and Technicians,0,14
2025-05,2412 Primary School Teachers,0,21
2025-05,3331 Glaziers,0,1
2025-05,2421 University Lecturers and Tutors,1,11
2025-05,1411 Cafe and Restaurant Managers,0,94
2025-05,2633 Telecommunications Engineering Professionals,1,3
2025-05,3511 Bakers and Pastrycooks,0,14
2025-05,1332 Engineering Managers,1,12
2025-05,"1499 Other Hospitality, Retail and Service Managers",0,4
2025-05,3122 Civil Engineering Draftspersons and Technicians,52,122
2025-05,1399 Other Specialist Managers,1,1
2025-05,"5111 Contract, Program and Project Administrators",0,22
2025-05,2322 Cartographers and Surveyors,2,7
2025-05,1325 Research and Development Managers,0,1
2025-05,2252 ICT Sales Professionals,0,4
2025-05,2336 Mining Engineers,2,3
2025-05,2612 Multimedia Specialists and Web Developers,0,9
2025-05,3223 Structural Steel and Welding Trades Workers,6,13
2025-05,2349 Other Natural and Physical Science Professionals,2,1
2025-05,2326 Urban and Regional Planners,0,18
2025-05,2632 ICT Support and Test Engineers,0,21
2025-05,2325 Interior Designers,0,3
2025-05,1331 Construction Managers,27,109
2025-05,3613 Veterinary Nurses,0,1
2025-05,2343 Environmental Scientists,4,7
2025-05,3132 Telecommunications Technical Specialists,1,5
2025-05,3312 Carpenters and Joiners,42,55
2025-05,1334 Manufacturers,0,1
2025-05,2725 Social Workers,9,10
2025-05,1413 Hotel and Motel Managers,0,18
2025-05,2249 Other Information and Organisation Professionals,0,12
2025-05,3322 Painting Trades Workers,9,36
2025-05,3423 Electronics Trades Workers,0,4
2025-05,2542 Nurse Educators and Researchers,0,1
2025-05,2521 Chiropractors and Osteopaths,1,2
2025-05,2493 Teachers of English to Speakers of Other Languages,0,9
2025-05,2124 Journalists and Other Writers,0,2
2025-05,3941 Cabinetmakers,1,3
2025-05,2243 Economists,0,1
2025-05,3311 Bricklayers and Stonemasons,3,9
2025-05,"2726 Welfare, Recreation and Community Arts Workers",0,21
2025-05,1336 Supply and Distribution Managers,0,1
2025-05,1342 Health and Welfare Services Managers,0,5
2025-05,"2123 Film, Television, Radio and Stage Directors",0,2
2025-05,1492 Call or Contact Centre and Customer Service Managers,0,2
2025-05,2221 Financial Brokers,0,1
2025-05,2539 Other Medical Practitioners,15,6
2025-05,1419 Other Accommodation and Hospitality Managers,0,2
2025-05,3111 Agricultural Technicians,0,1
2025-05,2724 Social Professionals,0,4
2025-05,4114 Enrolled and Mothercraft Nurses,0,70
2025-05,3411 Electricians,23,40
2025-05,2525 Physiotherapists,10,18
2025-05,2512 Medical Imaging Professionals,3,2
2025-05,3131 ICT Support Technicians,0,5
2025-05,3911 Hairdressers,0,1
2025-05,3222 Sheetmetal Trades Workers,1,0
2025-05,2513 Occupational and Environmental Health Professionals,0,8
2025-05,2527 Speech Professionals and Audiologists,4,10
2025-05,3129 Other Building and Engineering Technicians,0,8
2025-05,2492 Private Tutors and Teachers,0,4
2025-05,2524 Occupational Therapists,17,11
2025-05,2519 Other Health Diagnostic and Promotion Professionals,0,8
2025-05,3421 Airconditioning and Refrigeration Mechanics,4,4
2025-05,4517 Travel Attendants,0,1
2025-05,2346 Medical Laboratory Scientists,1,2
2025-05,2415 Special Education Teachers,1,0
2025-05,1493 Conference and Event Organisers,0,13
2025-05,2723 Psychologists,2,7
2025-05,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,6
2025-05,2541 Midwives,2,4
2025-05,3341 Plumbers,6,11
2025-05,2511 Dietitians,0,2
2025-05,2232 ICT Trainers,0,3
2025-05,3424 Telecommunications Trades Workers,0,1
2025-05,2721 Counsellors,0,3
2025-05,4113 Diversional Therapists,0,4
2025-05,3332 Plasterers,2,2
2025-05,3334 Wall and Floor Tilers,4,13
2025-05,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,5
2025-05,2523 Dental Practitioners,0,1
2025-05,1343 School Principals,0,7
2025-05,2112 Music Professionals,0,1
2025-05,3211 Automotive Electricians,2,3
2025-05,3234 Toolmakers and Engineering Patternmakers,0,4
2025-05,2535 Surgeons,0,1
2025-05,3422 Electrical Distribution Trades Workers,0,1
2025-05,4412 Fire and Emergency Workers,0,2
2025-05,3333 Roof Tilers,0,1
2025-09,2613 Software and Applications Programmers,8,18
2025-09,3212 Motor Mechanics,1,12
2025-09,2332 Civil Engineering Professionals,10,17
2025-09,2411 Early Childhood (Pre-primary School) Teachers,4,9
2025-09,2611 ICT Business and Systems Analysts,9,28
2025-09,2211 Accountants,11,75
2025-09,2344 Geologists Geophysicists and Hydrogeologists,0,2
2025-09,"2621 Database and Systems Administrators, and ICT Security Specialists",2,6
2025-09,4117 Welfare Support Workers,0,18
2025-09,"2212 Auditors, Company Secretaries and Corporate Treasurers",6,9
2025-09,2345 Life Scientists,0,3
2025-09,"2335 Industrial, Mechanical and Production Engineers",2,27
2025-09,2339 Other Engineering Professionals,1,15
2025-09,2341 Agricultural and Forestry Scientists,1,2
2025-09,2544 Registered Nurses,11,18
2025-09,3513 Chefs,6,27
2025-09,2334 Electronics Engineers,1,11
2025-09,3232 Metal Fitters and Machinists,0,1
2025-09,3114 Science Technicians,0,3
2025-09,"2324 Graphic and Web Designers, and Illustrators",0,3
2025-09,2631 Computer Network Professionals,1,9
2025-09,4116 Massage Therapists,0,2
2025-09,"2342 Chemists, and Food and Wine Scientists",0,1
2025-09,2713 Solicitors,0,1
2025-09,1311 Advertising and Sales Managers,0,2
2025-09,1322 Finance Managers,0,1
2025-09,"3121 Architectural, Building and Surveying Technicians",0,6
2025-09,2331 Chemical and Materials Engineers,0,2
2025-09,2251 Advertising and Marketing Professionals,0,4
2025-09,2231 Human Resource Professionals,0,1
2025-09,3514 Cooks,0,12
2025-09,2333 Electrical Engineers,0,11
2025-09,2223 Financial Investment Advisers and Managers,0,2
2025-09,2321 Architects and Landscape Architects,0,1
2025-09,3112 Medical Technicians,0,8
2025-09,2531 General Practitioners and Resident Medical officers,0,2
2025-09,1323 Human Resource Managers,0,1
2025-09,3113 Primary Products Inspectors,0,1
2025-09,1335 Production Managers,0,2
2025-09,2515 Pharmacists,0,9
2025-09,1351 ICT Managers,0,3
2025-09,2247 Management and Organisation Analysts,0,2
2025-09,2347 Veterinarians,0,1
2025-09,2414 Secondary School Teachers,4,6
2025-09,3125 Mechanical Engineering Draftspersons and Technicians,0,3
2025-09,6112 Insurance Agents,0,1
2025-09,2412 Primary School Teachers,0,13
2025-09,"2241 Actuaries, Mathematicians and Statisticians",2,1
2025-09,2421 University Lecturers and Tutors,0,6
2025-09,1411 Cafe and Restaurant Managers,0,14
2025-09,2633 Telecommunications Engineering Professionals,0,1
2025-09,3511 Bakers and Pastrycooks,0,2
2025-09,1332 Engineering Managers,1,7
2025-09,"1499 Other Hospitality, Retail and Service Managers",0,1
2025-09,3122 Civil Engineering Draftspersons and Technicians,3,8
2025-09,"5111 Contract, Program and Project Administrators",0,11
2025-09,2322 Cartographers and Surveyors,0,5
2025-09,1325 Research and Development Managers,0,1
2025-09,2252 ICT Sales Professionals,0,2
2025-09,2336 Mining Engineers,2,4
2025-09,2612 Multimedia Specialists and Web Developers,0,2
2025-09,3223 Structural Steel and Welding Trades Workers,3,9
2025-09,2349 Other Natural and Physical Science Professionals,0,1
2025-09,2326 Urban and Regional Planners,0,5
2025-09,2632 ICT Support and Test Engineers,0,6
2025-09,1331 Construction Managers,2,11
2025-09,2343 Environmental Scientists,0,1
2025-09,3132 Telecommunications Technical Specialists,0,1
2025-09,3312 Carpenters and Joiners,1,16
2025-09,1334 Manufacturers,0,1
2025-09,2725 Social Workers,2,5
2025-09,1413 Hotel and Motel Managers,0,3
2025-09,2249 Other Information and Organisation Professionals,0,3
2025-09,3322 Painting Trades Workers,1,2
2025-09,3423 Electronics Trades Workers,0,3
2025-09,2493 Teachers of English to Speakers of Other Languages,0,1
2025-09,2124 Journalists and Other Writers,0,2
2025-09,3941 Cabinetmakers,0,2
2025-09,2243 Economists,1,0
2025-09,6121 Real Estate Sales Agents,0,1
2025-09,3311 Bricklayers and Stonemasons,0,9
2025-09,"2726 Welfare, Recreation and Community Arts Workers",0,7
2025-09,"2323 Fashion, Industrial and Jewellery Designers",0,1
2025-09,1342 Health and Welfare Services Managers,0,3
2025-09,2539 Other Medical Practitioners,1,0
2025-09,3111 Agricultural Technicians,0,4
2025-09,2724 Social Professionals,0,1
2025-09,4114 Enrolled and Mothercraft Nurses,0,25
2025-09,3411 Electricians,8,15
2025-09,2525 Physiotherapists,1,1
2025-09,2253 Public Relations Professionals,0,1
2025-09,3131 ICT Support Technicians,0,1
2025-09,3911 Hairdressers,0,1
2025-09,3222 Sheetmetal Trades Workers,0,1
2025-09,2513 Occupational and Environmental Health Professionals,0,5
2025-09,2527 Speech Professionals and Audiologists,0,2
2025-09,3129 Other Building and Engineering Technicians,0,1
2025-09,2519 Other Health Diagnostic and Promotion Professionals,0,2
2025-09,3421 Airconditioning and Refrigeration Mechanics,1,0
2025-09,2346 Medical Laboratory Scientists,1,4
2025-09,2415 Special Education Teachers,1,0
2025-09,1493 Conference and Event Organisers,0,3
2025-09,2723 Psychologists,2,0
2025-09,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2025-09,4111 Ambulance Officers and Paramedics,0,2
2025-09,3341 Plumbers,1,12
2025-09,2232 ICT Trainers,0,1
2025-09,2721 Counsellors,0,1
2025-09,4113 Diversional Therapists,0,2
2025-09,3332 Plasterers,0,1
2025-09,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,1
2025-09,2522 Complementary Health Therapists,0,1
2025-09,2523 Dental Practitioners,0,1
2025-09,3211 Automotive Electricians,0,1
2025-09,3234 Toolmakers and Engineering Patternmakers,0,1
2024-12,2613 Software and Applications Programmers,52,90
2024-12,3212 Motor Mechanics,9,26
2024-12,2332 Civil Engineering Professionals,40,96
2024-12,2411 Early Childhood (Pre-primary School) Teachers,30,32
2024-12,2611 ICT Business and Systems Analysts,43,77
2024-12,2211 Accountants,40,110
2024-12,2344 Geologists Geophysicists and Hydrogeologists,1,5
2024-12,"2621 Database and Systems Administrators, and ICT Security Specialists",14,25
2024-12,4117 Welfare Support Workers,0,36
2024-12,"2212 Auditors, Company Secretaries and Corporate Treasurers",12,20
2024-12,2345 Life Scientists,8,5
2024-12,"2335 Industrial, Mechanical and Production Engineers",19,48
2024-12,2339 Other Engineering Professionals,14,38
2024-12,2341 Agricultural and Forestry Scientists,1,7
2024-12,2544 Registered Nurses,52,86
2024-12,3513 Chefs,64,134
2024-12,2334 Electronics Engineers,2,11
2024-12,3232 Metal Fitters and Machinists,0,11
2024-12,3114 Science Technicians,0,7
2024-12,"2324 Graphic and Web Designers, and Illustrators",0,4
2024-12,2631 Computer Network Professionals,15,32
2024-12,4116 Massage Therapists,0,9
2024-12,"2342 Chemists, and Food and Wine Scientists",4,6
2024-12,2713 Solicitors,2,4
2024-12,1311 Advertising and Sales Managers,0,4
2024-12,1322 Finance Managers,0,7
2024-12,"3121 Architectural, Building and Surveying Technicians",0,32
2024-12,2331 Chemical and Materials Engineers,8,8
2024-12,2251 Advertising and Marketing Professionals,0,49
2024-12,3123 Electrical Engineering Draftspersons and Technicians,0,3
2024-12,2231 Human Resource Professionals,0,9
2024-12,3514 Cooks,0,19
2024-12,2333 Electrical Engineers,12,28
2024-12,2223 Financial Investment Advisers and Managers,0,9
2024-12,2321 Architects and Landscape Architects,7,4
2024-12,3112 Medical Technicians,0,24
2024-12,2531 General Practitioners and Resident Medical officers,7,23
2024-12,1323 Human Resource Managers,0,3
2024-12,3113 Primary Products Inspectors,0,1
2024-12,1335 Production Managers,0,7
2024-12,2515 Pharmacists,0,23
2024-12,1351 ICT Managers,0,16
2024-12,2247 Management and Organisation Analysts,5,9
2024-12,2347 Veterinarians,3,1
2024-12,2414 Secondary School Teachers,15,17
2024-12,1341 Child Care Centre Managers,0,1
2024-12,3125 Mechanical Engineering Draftspersons and Technicians,0,2
2024-12,2412 Primary School Teachers,0,24
2024-12,"2241 Actuaries, Mathematicians and Statisticians",6,3
2024-12,2421 University Lecturers and Tutors,5,10
2024-12,1411 Cafe and Restaurant Managers,0,31
2024-12,2633 Telecommunications Engineering Professionals,5,4
2024-12,3511 Bakers and Pastrycooks,0,9
2024-12,1332 Engineering Managers,1,3
2024-12,"1499 Other Hospitality, Retail and Service Managers",0,1
2024-12,3122 Civil Engineering Draftspersons and Technicians,9,21
2024-12,1399 Other Specialist Managers,0,7
2024-12,"5111 Contract, Program and Project Administrators",0,16
2024-12,2322 Cartographers and Surveyors,3,5
2024-12,1325 Research and Development Managers,0,11
2024-12,2252 ICT Sales Professionals,0,6
2024-12,2612 Multimedia Specialists and Web Developers,0,4
2024-12,3223 Structural Steel and Welding Trades Workers,2,6
2024-12,2349 Other Natural and Physical Science Professionals,1,1
2024-12,1321 Corporate Services Managers,0,1
2024-12,2326 Urban and Regional Planners,0,10
2024-12,2632 ICT Support and Test Engineers,0,19
2024-12,1331 Construction Managers,2,11
2024-12,3613 Veterinary Nurses,0,1
2024-12,2343 Environmental Scientists,4,7
2024-12,3132 Telecommunications Technical Specialists,0,5
2024-12,3312 Carpenters and Joiners,9,14
2024-12,1334 Manufacturers,0,3
2024-12,2725 Social Workers,2,13
2024-12,1413 Hotel and Motel Managers,0,16
2024-12,2249 Other Information and Organisation Professionals,0,13
2024-12,3322 Painting Trades Workers,1,5
2024-12,3423 Electronics Trades Workers,0,4
2024-12,2521 Chiropractors and Osteopaths,0,1
2024-12,2493 Teachers of English to Speakers of Other Languages,0,2
2024-12,2124 Journalists and Other Writers,0,4
2024-12,1212 Crop Farmers,0,10
2024-12,3941 Cabinetmakers,0,2
2024-12,2243 Economists,2,0
2024-12,6121 Real Estate Sales Agents,0,1
2024-12,"2726 Welfare, Recreation and Community Arts Workers",0,9
2024-12,"2323 Fashion, Industrial and Jewellery Designers",0,1
2024-12,1336 Supply and Distribution Managers,0,1
2024-12,1342 Health and Welfare Services Managers,0,7
2024-12,"2123 Film, Television, Radio and Stage Directors",0,1
2024-12,3231 Aircraft Maintenance Engineers,0,2
2024-12,1492 Call or Contact Centre and Customer Service Managers,0,1
2024-12,2539 Other Medical Practitioners,4,1
2024-12,1419 Other Accommodation and Hospitality Managers,0,2
2024-12,3111 Agricultural Technicians,0,2
2024-12,2724 Social Professionals,0,2
2024-12,4114 Enrolled and Mothercraft Nurses,0,36
2024-12,3411 Electricians,4,13
2024-12,2525 Physiotherapists,9,14
2024-12,1494 Transport Services Managers,0,2
2024-12,2253 Public Relations Professionals,0,2
2024-12,2512 Medical Imaging Professionals,2,1
2024-12,3131 ICT Support Technicians,0,11
2024-12,"4523 Sports Coaches, Instructors and Officials",0,1
2024-12,2513 Occupational and Environmental Health Professionals,0,9
2024-12,3923 Printers,0,1
2024-12,2527 Speech Professionals and Audiologists,1,4
2024-12,1213 Livestock Farmers,0,2
2024-12,"2242 Archivists, Curators and Records Managers",0,1
2024-12,3129 Other Building and Engineering Technicians,0,5
2024-12,2524 Occupational Therapists,6,11
2024-12,2519 Other Health Diagnostic and Promotion Professionals,0,5
2024-12,3421 Airconditioning and Refrigeration Mechanics,0,2
2024-12,4517 Travel Attendants,0,1
2024-12,2346 Medical Laboratory Scientists,0,3
2024-12,1493 Conference and Event Organisers,0,7
2024-12,2712 Judicial and Other Legal Professionals,0,2
2024-12,2723 Psychologists,1,5
2024-12,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2024-12,4111 Ambulance Officers and Paramedics,0,1
2024-12,2113 Photographers,0,1
2024-12,2312 Marine Transport Professionals,0,1
2024-12,2541 Midwives,2,1
2024-12,3341 Plumbers,2,4
2024-12,2511 Dietitians,0,2
2024-12,2311 Air Transport Professionals,0,1
2024-12,2721 Counsellors,0,9
2024-12,4113 Diversional Therapists,0,1
2024-12,2533 Internal Medicine Specialists,1,2
2024-12,3332 Plasterers,1,1
2024-12,3334 Wall and Floor Tilers,0,1
2024-12,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,3
2024-12,2543 Nurse Managers,0,1
2024-12,2523 Dental Practitioners,0,8
2024-12,1343 School Principals,0,1
2024-12,"2121 Artistic Directors, and Media Producers and Presenters",0,1
2024-12,3211 Automotive Electricians,2,2
2024-12,3234 Toolmakers and Engineering Patternmakers,0,2
2024-12,2534 Psychiatrists,1,1
2024-12,2514 Optometrists and Orthoptists,0,1
2024-12,4524 Sportspersons,0,1
2025-02,2613 Software and Applications Programmers,26,50
2025-02,3212 Motor Mechanics,6,17
2025-02,2332 Civil Engineering Professionals,26,57
2025-02,2411 Early Childhood (Pre-primary School) Teachers,41,52
2025-02,2611 ICT Business and Systems Analysts,9,41
2025-02,2211 Accountants,28,100
2025-02,2344 Geologists Geophysicists and Hydrogeologists,0,10
2025-02,"2621 Database and Systems Administrators, and ICT Security Specialists",21,62
2025-02,4117 Welfare Support Workers,0,54
2025-02,"2212 Auditors, Company Secretaries and Corporate Treasurers",3,12
2025-02,2345 Life Scientists,1,5
2025-02,"2335 Industrial, Mechanical and Production Engineers",7,42
2025-02,2339 Other Engineering Professionals,8,34
2025-02,2341 Agricultural and Forestry Scientists,1,8
2025-02,2544 Registered Nurses,73,148
2025-02,3513 Chefs,25,101
2025-02,2334 Electronics Engineers,4,12
2025-02,3232 Metal Fitters and Machinists,2,20
2025-02,3114 Science Technicians,0,5
2025-02,3622 Gardeners,0,1
2025-02,"2324 Graphic and Web Designers, and Illustrators",0,7
2025-02,2631 Computer Network Professionals,5,7
2025-02,4116 Massage Therapists,0,6
2025-02,"2342 Chemists, and Food and Wine Scientists",0,3
2025-02,2713 Solicitors,4,5
2025-02,1311 Advertising and Sales Managers,0,5
2025-02,1322 Finance Managers,0,10
2025-02,"3121 Architectural, Building and Surveying Technicians",0,43
2025-02,2331 Chemical and Materials Engineers,0,4
2025-02,2251 Advertising and Marketing Professionals,0,13
2025-02,2254 Technical Sales Representatives,0,2
2025-02,3123 Electrical Engineering Draftspersons and Technicians,3,1
2025-02,2231 Human Resource Professionals,0,9
2025-02,3514 Cooks,0,38
2025-02,2333 Electrical Engineers,0,25
2025-02,2223 Financial Investment Advisers and Managers,0,7
2025-02,2321 Architects and Landscape Architects,17,21
2025-02,3112 Medical Technicians,0,26
2025-02,2531 General Practitioners and Resident Medical officers,8,14
2025-02,1323 Human Resource Managers,0,5
2025-02,3113 Primary Products Inspectors,0,2
2025-02,1335 Production Managers,0,2
2025-02,2515 Pharmacists,0,194
2025-02,1351 ICT Managers,0,12
2025-02,2247 Management and Organisation Analysts,0,8
2025-02,2347 Veterinarians,1,4
2025-02,2414 Secondary School Teachers,17,36
2025-02,3125 Mechanical Engineering Draftspersons and Technicians,0,4
2025-02,6112 Insurance Agents,0,3
2025-02,2412 Primary School Teachers,0,48
2025-02,"2241 Actuaries, Mathematicians and Statisticians",0,2
2025-02,2421 University Lecturers and Tutors,4,14
2025-02,1411 Cafe and Restaurant Managers,0,55
2025-02,2633 Telecommunications Engineering Professionals,4,6
2025-02,3511 Bakers and Pastrycooks,0,9
2025-02,1332 Engineering Managers,0,3
2025-02,"1499 Other Hospitality, Retail and Service Managers",0,2
2025-02,3122 Civil Engineering Draftspersons and Technicians,14,23
2025-02,1399 Other Specialist Managers,1,4
2025-02,"5111 Contract, Program and Project Administrators",0,20
2025-02,2322 Cartographers and Surveyors,1,1
2025-02,1325 Research and Development Managers,0,4
2025-02,2245 Land Economists and Valuers,0,1
2025-02,2252 ICT Sales Professionals,0,4
2025-02,2336 Mining Engineers,1,3
2025-02,2612 Multimedia Specialists and Web Developers,0,3
2025-02,3223 Structural Steel and Welding Trades Workers,6,9
2025-02,2326 Urban and Regional Planners,0,4
2025-02,2632 ICT Support and Test Engineers,0,13
2025-02,1331 Construction Managers,9,32
2025-02,2343 Environmental Scientists,5,2
2025-02,3132 Telecommunications Technical Specialists,0,3
2025-02,3312 Carpenters and Joiners,10,20
2025-02,1334 Manufacturers,0,1
2025-02,2725 Social Workers,3,19
2025-02,1413 Hotel and Motel Managers,0,20
2025-02,2249 Other Information and Organisation Professionals,0,13
2025-02,3322 Painting Trades Workers,3,4
2025-02,3423 Electronics Trades Workers,0,2
2025-02,2521 Chiropractors and Osteopaths,0,3
2025-02,2493 Teachers of English to Speakers of Other Languages,0,5
2025-02,2124 Journalists and Other Writers,0,3
2025-02,1212 Crop Farmers,0,1
2025-02,3941 Cabinetmakers,3,7
2025-02,2243 Economists,0,1
2025-02,3311 Bricklayers and Stonemasons,1,0
2025-02,"2726 Welfare, Recreation and Community Arts Workers",0,15
2025-02,1336 Supply and Distribution Managers,0,2
2025-02,1342 Health and Welfare Services Managers,0,4
2025-02,1324 Policy and Planning Managers,0,2
2025-02,3231 Aircraft Maintenance Engineers,0,2
2025-02,1492 Call or Contact Centre and Customer Service Managers,0,7
2025-02,2221 Financial Brokers,0,7
2025-02,2539 Other Medical Practitioners,3,2
