occupation,round,lowest_cleared_score,boundary_score,boundary_state,newest_invited,invited_n,pool_n
254413 Registered Nurse (Child and Family Health),2025-08,80.0,80,CLEARED,2025-07-10,2,10
254414 Registered Nurse (Community Health),2025-08,85.0,80,PARTIAL,2025-06-28,8,33
254415 Registered Nurse (Critical Care and Emergency),2025-08,85.0,80,PARTIAL,2025-07-08,51,459
254417 Registered Nurse (Disability and Rehabilitation),2025-08,80.0,80,CLEARED,2025-06-13,2,14
254418 Registered Nurse (Medical),2025-08,85.0,80,PARTIAL,2025-07-12,55,415
254421 Registered Nurse (Medical Practice),2025-08,85.0,80,PARTIAL,2025-04-24,4,27
254422 Registered Nurse (Mental Health),2025-08,85.0,80,PARTIAL,2025-06-11,31,106
254423 Registered Nurse (Perioperative),2025-08,85.0,80,PARTIAL,2025-07-11,19,138
254424 Registered Nurse (Surgical),2025-08,85.0,80,PARTIAL,2025-07-03,26,179
254425 Registered Nurse (Paediatrics),2025-08,85.0,80,PARTIAL,2025-03-26,13,63
254499 Registered Nurses nec,2025-08,85.0,80,PARTIAL,2025-07-07,626,2800
271111 Barrister,2025-08,95.0,95,CLEARED,2025-04-01,1,4
271311 Solicitor,2025-08,95.0,90,PARTIAL,2025-04-18,60,388
272311 Clinical Psychologist,2025-08,85.0,85,CLEARED,2025-04-17,2,6
272399 Psychologists nec,2025-08,90.0,85,PARTIAL,2025-04-30,8,58
272511 Social Worker,2025-08,90.0,85,PARTIAL,2025-06-30,67,506
312211 Civil Engineering Draftsperson,2025-08,95.0,90,PARTIAL,2024-12-30,4,1675
312212 Civil Engineering Technician,2025-08,,90,PARTIAL,2024-11-25,3,585
312311 Electrical Engineering Draftsperson,2025-08,90.0,90,CLEARED,2025-01-16,1,30
312312 Electrical Engineering Technician,2025-08,,90,PARTIAL,2024-07-21,5,126
322313 Welder (First Class),2025-08,90.0,90,CLEARED,2024-08-12,1,118
324111 Panelbeater,2025-08,,90,PARTIAL,2025-01-24,1,3
331111 Bricklayer,2025-08,65.0,65,CLEARED,2025-08-19,48,51
331112 Stonemason,2025-08,65.0,65,CLEARED,2025-06-16,2,2
331211 Carpenter and Joiner,2025-08,65.0,65,CLEARED,2025-06-06,17,15
331212 Carpenter,2025-08,70.0,65,PARTIAL,2025-06-05,386,429
331213 Joiner,2025-08,65.0,65,CLEARED,2025-02-26,4,5
332211 Painting Trades Worker,2025-08,75.0,70,PARTIAL,2025-04-06,96,248
333111 Glazier,2025-08,65.0,65,CLEARED,2025-07-04,8,9
333211 Fibrous Plasterer,2025-08,65.0,65,CLEARED,2024-12-02,2,3
333212 Solid Plasterer,2025-08,65.0,65,CLEARED,2025-05-29,8,11
333411 Wall and Floor Tiler,2025-08,65.0,65,CLEARED,2025-08-08,53,49
334111 Plumber (General),2025-08,65.0,65,CLEARED,2025-08-13,27,24
334112 Airconditioning and Mechanical Services Plumber,2025-08,65.0,65,CLEARED,2025-08-14,22,20
334114 Gasfitter,2025-08,65.0,65,CLEARED,2025-08-15,4,3
334115 Roof Plumber,2025-08,65.0,65,CLEARED,2025-04-23,4,4
341111 Electrician (General),2025-08,65.0,65,CLEARED,2025-08-20,74,70
342313 Electronic Equipment Trades Worker,2025-08,110.0,110,CLEARED,2025-03-18,1,81
399111 Boat Builder and Repairer,2025-08,,90,PARTIAL,2024-12-20,1,8
452316 Tennis Coach,2025-08,95.0,95,CLEARED,2025-02-28,1,7
133111 Construction Project Manager,2025-11,90.0,85,PARTIAL,2025-08-22,78,1084
133211 Engineering Manager,2025-11,90.0,85,PARTIAL,2025-08-18,20,196
134111 Child Care Centre Manager,2025-11,75.0,75,CLEARED,2024-01-03,2,14
134213 Primary Health Organisation Manager,2025-11,90.0,90,CLEARED,2024-09-16,2,30
134214 Welfare Centre Manager,2025-11,85.0,85,CLEARED,2025-05-06,1,2
139911 Arts Administrator or Manager,2025-11,90.0,85,PARTIAL,2024-07-12,5,20
139912 Environmental Manager,2025-11,85.0,85,CLEARED,2025-06-25,11,71
224111 Actuary,2025-11,90.0,85,PARTIAL,2025-07-28,65,123
224113 Statistician,2025-11,90.0,85,PARTIAL,2025-08-15,123,266
224311 Economist,2025-11,90.0,85,PARTIAL,2025-07-31,20,83
224511 Land Economist,2025-11,85.0,85,CLEARED,2025-08-11,9,21
224512 Valuer,2025-11,90.0,85,PARTIAL,2025-07-09,9,51
224711 Management Consultant,2025-11,90.0,85,PARTIAL,2025-08-22,122,304
232111 Architect,2025-11,90.0,85,PARTIAL,2025-08-12,68,505
232112 Landscape Architect,2025-11,90.0,85,PARTIAL,2025-07-03,16,129
232212 Surveyor,2025-11,85.0,85,CLEARED,2025-08-22,12,84
232213 Cartographer,2025-11,90.0,90,CLEARED,2025-01-30,1,8
232214 Other Spatial Scientist,2025-11,90.0,85,PARTIAL,2025-08-10,19,71
233111 Chemical Engineer,2025-11,90.0,85,PARTIAL,2025-08-21,151,573
233112 Materials Engineer,2025-11,90.0,85,PARTIAL,2025-08-11,27,115
233611 Mining Engineer (excluding Petroleum),2025-11,90.0,85,PARTIAL,2025-08-08,23,133
233612 Petroleum Engineer,2025-11,90.0,85,PARTIAL,2025-06-26,16,115
234111 Agricultural Consultant,2025-11,90.0,85,PARTIAL,2025-08-10,35,268
234112 Agricultural Scientist,2025-11,90.0,85,PARTIAL,2025-07-15,31,122
234113 Forester,2025-11,,85,PARTIAL,2024-12-20,2,8
234211 Chemist,2025-11,90.0,85,PARTIAL,2025-07-23,58,243
234212 Food Technologist,2025-11,90.0,85,PARTIAL,2025-07-14,62,273
234312 Environmental Consultant,2025-11,95.0,85,PARTIAL,2025-08-22,71,171
234313 Environmental Research Scientist,2025-11,90.0,85,PARTIAL,2025-08-14,22,57
234399 Environmental Scientists nec,2025-11,85.0,85,CLEARED,2024-10-21,4,7
234412 Geophysicist,2025-11,90.0,85,PARTIAL,2024-09-05,3,25
234413 Hydrogeologist,2025-11,90.0,90,CLEARED,2025-01-06,1,13
234511 Life Scientist (General),2025-11,90.0,85,PARTIAL,2025-08-21,42,116
234513 Biochemist,2025-11,85.0,85,CLEARED,2025-08-23,5,43
234514 Biotechnologist,2025-11,90.0,85,PARTIAL,2025-08-11,56,174
234516 Marine Biologist,2025-11,85.0,85,CLEARED,2025-07-05,8,24
234517 Microbiologist,2025-11,90.0,85,PARTIAL,2025-08-21,18,110
234518 Zoologist,2025-11,85.0,85,CLEARED,2024-08-10,4,8
234599 Life Scientists nec,2025-11,90.0,85,PARTIAL,2025-03-19,20,41
234611 Medical Laboratory Scientist,2025-11,90.0,85,PARTIAL,2025-07-22,19,178
234711 Veterinarian,2025-11,90.0,85,PARTIAL,2025-07-17,53,105
234912 Metallurgist,2025-11,85.0,85,CLEARED,2025-02-02,5,47
234914 Physicist,2025-11,85.0,85,CLEARED,2025-07-11,15,47
234999 Natural and Physical Science Professionals nec,2025-11,85.0,85,CLEARED,2025-03-06,4,9
241111 Early Childhood (Pre-primary School) Teacher,2025-11,90.0,85,PARTIAL,2025-08-31,247,3778
241411 Secondary School Teacher,2025-11,80.0,75,PARTIAL,2025-03-27,280,756
241511 Special Needs Teacher,2025-11,,75,PARTIAL,2024-08-05,2,6
241599 Special Education Teachers nec,2025-11,75.0,75,CLEARED,2024-03-08,2,5
251211 Medical Diagnostic Radiographer,2025-11,80.0,75,PARTIAL,2025-03-13,27,83
251212 Medical Radiation Therapist,2025-11,90.0,90,CLEARED,2025-10-05,2,9
251214 Sonographer,2025-11,75.0,75,CLEARED,2024-11-03,21,26
251411 Optometrist,2025-11,80.0,75,PARTIAL,2024-02-29,2,10
252111 Chiropractor,2025-11,85.0,85,CLEARED,2025-07-29,1,24
252411 Occupational Therapist,2025-11,80.0,75,PARTIAL,2025-04-02,71,193
252511 Physiotherapist,2025-11,80.0,75,PARTIAL,2025-03-26,116,289
252611 Podiatrist,2025-11,80.0,75,PARTIAL,2025-02-27,4,12
252711 Audiologist,2025-11,80.0,75,PARTIAL,2025-04-02,15,60
252712 Speech Pathologist,2025-11,80.0,75,PARTIAL,2025-03-20,15,46
253111 General Practitioner,2025-11,80.0,75,PARTIAL,2025-04-10,140,250
253311 Specialist Physician (General Medicine),2025-11,80.0,80,CLEARED,2025-07-24,3,9
253312 Cardiologist,2025-11,80.0,80,CLEARED,2025-09-16,2,3
253314 Medical Oncologist,2025-11,80.0,80,CLEARED,2025-09-27,1,1
253317 Intensive Care Specialist,2025-11,80.0,80,CLEARED,2025-02-17,2,3
253318 Neurologist,2025-11,80.0,80,CLEARED,2024-09-02,1,2
253321 Paediatrician,2025-11,80.0,80,CLEARED,2025-09-18,1,2
253324 Thoracic Medicine Specialist,2025-11,80.0,80,CLEARED,2025-07-14,1,2
253411 Psychiatrist,2025-11,80.0,75,PARTIAL,2025-03-04,4,4
253511 Surgeon (General),2025-11,80.0,80,CLEARED,2025-09-14,1,2
253514 Orthopaedic Surgeon,2025-11,85.0,85,CLEARED,2025-02-22,1,2
253521 Vascular Surgeon,2025-11,,75,PARTIAL,2024-02-05,1,0
253912 Emergency Medicine Specialist,2025-11,80.0,75,PARTIAL,2025-01-09,10,21
253913 Obstetrician and Gynaecologist,2025-11,,75,PARTIAL,2024-11-19,1,7
253917 Diagnostic and Interventional Radiologist,2025-11,85.0,85,CLEARED,2025-10-20,2,4
253999 Medical Practitioners nec,2025-11,80.0,75,PARTIAL,2025-04-07,107,196
254111 Midwife,2025-11,80.0,75,PARTIAL,2024-09-03,15,39
254412 Registered Nurse (Aged Care),2025-11,80.0,75,PARTIAL,2025-04-09,158,543
254413 Registered Nurse (Child and Family Health),2025-11,75.0,75,CLEARED,2024-07-04,3,6
254414 Registered Nurse (Community Health),2025-11,80.0,75,PARTIAL,2024-03-20,8,36
254415 Registered Nurse (Critical Care and Emergency),2025-11,80.0,75,PARTIAL,2025-04-03,80,538
254417 Registered Nurse (Disability and Rehabilitation),2025-11,80.0,75,PARTIAL,2025-01-28,6,20
254418 Registered Nurse (Medical),2025-11,80.0,75,PARTIAL,2025-04-10,87,491
254421 Registered Nurse (Medical Practice),2025-11,80.0,75,PARTIAL,2025-02-19,9,35
254422 Registered Nurse (Mental Health),2025-11,80.0,75,PARTIAL,2025-03-28,41,120
254423 Registered Nurse (Perioperative),2025-11,80.0,75,PARTIAL,2025-04-07,47,151
254424 Registered Nurse (Surgical),2025-11,80.0,75,PARTIAL,2025-02-20,48,218
254425 Registered Nurse (Paediatrics),2025-11,80.0,75,PARTIAL,2024-12-23,14,65
254499 Registered Nurses nec,2025-11,80.0,75,PARTIAL,2025-04-09,876,2776
261211 Multimedia Specialist,2025-11,95.0,90,PARTIAL,2024-12-25,34,209
263311 Telecommunications Engineer,2025-11,95.0,90,PARTIAL,2024-11-29,24,556
263312 Telecommunications Network Engineer,2025-11,95.0,90,PARTIAL,2024-12-22,5,146
271111 Barrister,2025-11,90.0,90,CLEARED,2025-10-14,2,7
271311 Solicitor,2025-11,90.0,85,PARTIAL,2025-08-21,163,405
272311 Clinical Psychologist,2025-11,80.0,80,CLEARED,2024-12-09,4,7
272313 Organisational Psychologist,2025-11,80.0,80,CLEARED,2025-04-29,1,3
272399 Psychologists nec,2025-11,80.0,75,PARTIAL,2025-03-23,36,63
272511 Social Worker,2025-11,80.0,75,PARTIAL,2025-03-14,284,607
312211 Civil Engineering Draftsperson,2025-11,90.0,85,PARTIAL,2025-08-14,109,2089
312212 Civil Engineering Technician,2025-11,90.0,85,PARTIAL,2025-08-17,64,818
312311 Electrical Engineering Draftsperson,2025-11,85.0,85,CLEARED,2025-03-11,5,33
312312 Electrical Engineering Technician,2025-11,90.0,85,PARTIAL,2025-08-22,24,146
313212 Telecommunications Field Engineer,2025-11,,95,PARTIAL,2025-06-24,1,63
313213 Telecommunications Network Planner,2025-11,,90,PARTIAL,2025-01-03,2,208
313214 Telecommunications Technical Officer or Technologist,2025-11,95.0,95,CLEARED,2025-01-12,1,78
321111 Automotive Electrician,2025-11,,85,PARTIAL,2024-04-05,1,15
322311 Metal Fabricator,2025-11,85.0,85,CLEARED,2025-06-05,2,47
322313 Welder (First Class),2025-11,90.0,85,PARTIAL,2025-02-13,5,158
323211 Fitter (General),2025-11,,85,PARTIAL,2025-02-10,2,72
331111 Bricklayer,2025-11,65.0,65,CLEARED,2025-11-07,42,54
331112 Stonemason,2025-11,75.0,75,CLEARED,2024-08-08,1,1
331211 Carpenter and Joiner,2025-11,65.0,65,CLEARED,2025-09-10,13,12
331212 Carpenter,2025-11,65.0,65,CLEARED,2025-11-04,318,337
331213 Joiner,2025-11,70.0,65,PARTIAL,2025-02-06,2,4
332211 Painting Trades Worker,2025-11,75.0,70,PARTIAL,2025-07-04,90,285
333111 Glazier,2025-11,65.0,65,CLEARED,2025-10-14,6,6
333212 Solid Plasterer,2025-11,65.0,65,CLEARED,2025-09-03,2,7
333411 Wall and Floor Tiler,2025-11,65.0,65,CLEARED,2025-10-30,38,41
334111 Plumber (General),2025-11,65.0,65,CLEARED,2025-10-13,26,27
334112 Airconditioning and Mechanical Services Plumber,2025-11,65.0,65,CLEARED,2025-09-28,15,15
334114 Gasfitter,2025-11,65.0,65,CLEARED,2025-08-15,1,1
334115 Roof Plumber,2025-11,70.0,70,CLEARED,2025-09-30,3,3
341111 Electrician (General),2025-11,65.0,65,CLEARED,2025-11-05,56,61
342313 Electronic Equipment Trades Worker,2025-11,110.0,85,PARTIAL,2025-05-04,7,102
342314 Electronic Instrument Trades Worker (General),2025-11,,85,PARTIAL,2024-02-07,1,23
342315 Electronic Instrument Trades Worker (Special Class),2025-11,,85,PARTIAL,2024-07-29,1,16
399111 Boat Builder and Repairer,2025-11,90.0,90,CLEARED,2025-01-14,1,7
452316 Tennis Coach,2025-11,85.0,85,CLEARED,2024-12-14,2,5
133111 Construction Project Manager,2026-06,85.0,80,PARTIAL,2026-03-15,281,1325
133211 Engineering Manager,2026-06,85.0,80,PARTIAL,2026-02-05,34,223
134111 Child Care Centre Manager,2026-06,80.0,80,CLEARED,2025-07-04,2,12
134213 Primary Health Organisation Manager,2026-06,85.0,80,PARTIAL,2025-08-29,5,40
134214 Welfare Centre Manager,2026-06,85.0,85,CLEARED,2025-05-06,1,3
139911 Arts Administrator or Manager,2026-06,80.0,80,CLEARED,2025-05-27,11,23
139912 Environmental Manager,2026-06,85.0,80,PARTIAL,2026-03-02,17,81
211112 Dancer or Choreographer,2026-06,80.0,80,CLEARED,2025-11-13,4,7
211213 Musician (Instrumental),2026-06,90.0,90,CLEARED,2026-02-25,3,5
224111 Actuary,2026-06,95.0,90,PARTIAL,2026-02-08,15,108
224113 Statistician,2026-06,95.0,90,PARTIAL,2026-05-07,94,374
224311 Economist,2026-06,85.0,80,PARTIAL,2026-03-23,49,100
224511 Land Economist,2026-06,85.0,80,PARTIAL,2025-05-26,12,21
224512 Valuer,2026-06,85.0,80,PARTIAL,2026-01-08,23,50
224711 Management Consultant,2026-06,85.0,80,PARTIAL,2026-03-21,179,348
232111 Architect,2026-06,90.0,85,PARTIAL,2025-11-25,62,579
232112 Landscape Architect,2026-06,90.0,85,PARTIAL,2025-11-28,14,147
232212 Surveyor,2026-06,80.0,80,CLEARED,2025-09-18,17,82
232213 Cartographer,2026-06,85.0,85,CLEARED,2025-08-20,1,6
232214 Other Spatial Scientist,2026-06,85.0,80,PARTIAL,2026-03-18,25,68
233411 Electronics Engineer,2026-06,100.0,95,PARTIAL,2025-06-02,9,1238
233611 Mining Engineer (excluding Petroleum),2026-06,85.0,80,PARTIAL,2026-02-26,49,175
233612 Petroleum Engineer,2026-06,85.0,80,PARTIAL,2026-03-16,48,142
234111 Agricultural Consultant,2026-06,85.0,80,PARTIAL,2026-03-13,69,354
234112 Agricultural Scientist,2026-06,85.0,80,PARTIAL,2026-03-03,58,141
234113 Forester,2026-06,80.0,80,CLEARED,2025-07-21,2,14
234211 Chemist,2026-06,90.0,85,PARTIAL,2025-09-22,28,316
234212 Food Technologist,2026-06,90.0,85,PARTIAL,2025-09-21,46,350
234312 Environmental Consultant,2026-06,85.0,80,PARTIAL,2026-03-25,78,180
234313 Environmental Research Scientist,2026-06,85.0,80,PARTIAL,2026-01-31,27,70
234399 Environmental Scientists nec,2026-06,85.0,80,PARTIAL,2026-02-06,10,16
234412 Geophysicist,2026-06,80.0,80,CLEARED,2025-10-28,7,19
234413 Hydrogeologist,2026-06,80.0,80,CLEARED,2026-03-23,4,16
234511 Life Scientist (General),2026-06,,95,PARTIAL,2026-02-24,8,126
234514 Biotechnologist,2026-06,95.0,95,CLEARED,2026-03-14,5,197
234516 Marine Biologist,2026-06,100.0,100,CLEARED,2026-04-18,2,26
234517 Microbiologist,2026-06,95.0,95,CLEARED,2025-08-21,3,137
234599 Life Scientists nec,2026-06,95.0,95,CLEARED,2025-11-28,4,45
234611 Medical Laboratory Scientist,2026-06,85.0,80,PARTIAL,2026-03-27,72,284
234711 Veterinarian,2026-06,85.0,80,PARTIAL,2026-02-27,64,106
234912 Metallurgist,2026-06,80.0,80,CLEARED,2025-12-25,10,49
234914 Physicist,2026-06,80.0,80,CLEARED,2025-10-08,23,50
234999 Natural and Physical Science Professionals nec,2026-06,85.0,85,CLEARED,2024-08-31,2,6
241411 Secondary School Teacher,2026-06,80.0,75,PARTIAL,2025-06-24,308,1093
241511 Special Needs Teacher,2026-06,80.0,75,PARTIAL,2025-06-13,3,14
241599 Special Education Teachers nec,2026-06,85.0,85,CLEARED,2025-09-30,1,7
251211 Medical Diagnostic Radiographer,2026-06,80.0,80,CLEARED,2026-05-28,29,92
251212 Medical Radiation Therapist,2026-06,,80,PARTIAL,2026-06-01,2,12
251214 Sonographer,2026-06,85.0,85,CLEARED,2025-12-21,1,9
251411 Optometrist,2026-06,80.0,80,CLEARED,2026-05-19,6,18
252111 Chiropractor,2026-06,85.0,80,PARTIAL,2026-02-20,12,76
252112 Osteopath,2026-06,80.0,80,CLEARED,2026-01-06,3,6
252411 Occupational Therapist,2026-06,80.0,75,PARTIAL,2025-04-19,56,215
252511 Physiotherapist,2026-06,80.0,75,PARTIAL,2025-04-23,99,304
252611 Podiatrist,2026-06,80.0,75,PARTIAL,2025-03-18,6,16
252711 Audiologist,2026-06,80.0,75,PARTIAL,2025-02-20,19,77
252712 Speech Pathologist,2026-06,80.0,80,CLEARED,2026-05-29,57,103
253111 General Practitioner,2026-06,80.0,75,PARTIAL,2025-04-15,182,379
253311 Specialist Physician (General Medicine),2026-06,80.0,80,CLEARED,2025-11-16,2,10
253312 Cardiologist,2026-06,80.0,80,CLEARED,2026-01-10,1,3
253316 Gastroenterologist,2026-06,85.0,85,CLEARED,2025-06-03,1,3
253317 Intensive Care Specialist,2026-06,80.0,80,CLEARED,2026-05-28,1,3
253321 Paediatrician,2026-06,80.0,80,CLEARED,2026-03-29,2,7
253324 Thoracic Medicine Specialist,2026-06,95.0,95,CLEARED,2026-03-02,1,2
253399 Specialist Physicians nec,2026-06,80.0,80,CLEARED,2026-03-19,1,2
253411 Psychiatrist,2026-06,85.0,85,CLEARED,2026-05-15,2,5
253514 Orthopaedic Surgeon,2026-06,85.0,85,CLEARED,2026-01-29,1,2
253518 Urologist,2026-06,,100,PARTIAL,2026-06-03,1,1
253912 Emergency Medicine Specialist,2026-06,80.0,80,CLEARED,2026-03-25,10,25
253914 Ophthalmologist,2026-06,80.0,80,CLEARED,2026-03-28,1,1
253999 Medical Practitioners nec,2026-06,80.0,75,PARTIAL,2025-03-04,133,276
254111 Midwife,2026-06,80.0,80,CLEARED,2026-05-01,14,42
254412 Registered Nurse (Aged Care),2026-06,80.0,75,PARTIAL,2025-04-04,162,733
254413 Registered Nurse (Child and Family Health),2026-06,80.0,80,CLEARED,2026-05-19,3,6
254414 Registered Nurse (Community Health),2026-06,80.0,75,PARTIAL,2025-04-18,7,40
254415 Registered Nurse (Critical Care and Emergency),2026-06,80.0,75,PARTIAL,2025-04-24,78,694
254416 Registered Nurse (Developmental Disability),2026-06,80.0,80,CLEARED,2026-03-17,2,5
254417 Registered Nurse (Disability and Rehabilitation),2026-06,80.0,80,CLEARED,2026-06-03,6,40
254418 Registered Nurse (Medical),2026-06,80.0,75,PARTIAL,2025-04-20,92,639
254421 Registered Nurse (Medical Practice),2026-06,80.0,75,PARTIAL,2024-11-11,11,50
254422 Registered Nurse (Mental Health),2026-06,80.0,75,PARTIAL,2025-04-25,41,141
254423 Registered Nurse (Perioperative),2026-06,80.0,75,PARTIAL,2025-04-02,31,190
254424 Registered Nurse (Surgical),2026-06,80.0,75,PARTIAL,2025-01-05,33,279
254425 Registered Nurse (Paediatrics),2026-06,80.0,80,CLEARED,2026-05-29,15,87
254499 Registered Nurses nec,2026-06,80.0,75,PARTIAL,2025-04-23,912,3571
261211 Multimedia Specialist,2026-06,100.0,95,PARTIAL,2026-01-30,20,255
263311 Telecommunications Engineer,2026-06,100.0,95,PARTIAL,2025-11-28,11,611
263312 Telecommunications Network Engineer,2026-06,,95,PARTIAL,2025-08-12,2,161
271111 Barrister,2026-06,80.0,80,CLEARED,2026-02-18,2,5
271311 Solicitor,2026-06,85.0,80,PARTIAL,2026-03-27,240,450
272311 Clinical Psychologist,2026-06,80.0,80,CLEARED,2025-11-20,4,8
272313 Organisational Psychologist,2026-06,80.0,80,CLEARED,2025-04-29,1,2
272399 Psychologists nec,2026-06,80.0,75,PARTIAL,2025-04-03,46,89
272511 Social Worker,2026-06,80.0,75,PARTIAL,2025-07-09,277,773
312311 Electrical Engineering Draftsperson,2026-06,85.0,80,PARTIAL,2026-03-10,4,41
312312 Electrical Engineering Technician,2026-06,85.0,80,PARTIAL,2026-02-05,74,207
321111 Automotive Electrician,2026-06,80.0,80,CLEARED,2026-02-27,5,29
322311 Metal Fabricator,2026-06,85.0,80,PARTIAL,2025-11-06,7,73
322313 Welder (First Class),2026-06,85.0,80,PARTIAL,2026-01-22,50,242
323211 Fitter (General),2026-06,80.0,80,CLEARED,2025-09-18,8,81
324111 Panelbeater,2026-06,80.0,80,CLEARED,2025-11-04,3,11
331111 Bricklayer,2026-06,70.0,65,PARTIAL,2026-04-22,59,75
331112 Stonemason,2026-06,,65,PARTIAL,2025-11-13,3,3
331211 Carpenter and Joiner,2026-06,65.0,65,CLEARED,2026-04-01,31,35
331212 Carpenter,2026-06,70.0,65,PARTIAL,2026-04-21,350,456
331213 Joiner,2026-06,65.0,65,CLEARED,2026-04-18,3,3
333111 Glazier,2026-06,75.0,65,PARTIAL,2026-01-24,3,5
333211 Fibrous Plasterer,2026-06,70.0,70,CLEARED,2026-05-13,3,3
333212 Solid Plasterer,2026-06,70.0,65,PARTIAL,2026-04-23,8,10
333411 Wall and Floor Tiler,2026-06,70.0,65,PARTIAL,2026-04-21,45,55
334111 Plumber (General),2026-06,70.0,65,PARTIAL,2026-04-20,18,18
334112 Airconditioning and Mechanical Services Plumber,2026-06,70.0,65,PARTIAL,2026-02-10,10,14
334113 Drainer,2026-06,65.0,65,CLEARED,2026-03-25,2,2
334114 Gasfitter,2026-06,70.0,70,CLEARED,2025-12-12,1,1
334115 Roof Plumber,2026-06,65.0,65,CLEARED,2026-04-20,3,3
341111 Electrician (General),2026-06,70.0,65,PARTIAL,2026-04-15,50,68
341113 Lift Mechanic,2026-06,80.0,80,CLEARED,2025-11-12,1,6
342111 Airconditioning and Refrigeration Mechanic,2026-06,80.0,80,CLEARED,2024-09-16,1,20
342313 Electronic Equipment Trades Worker,2026-06,80.0,80,CLEARED,2026-02-23,13,121
342314 Electronic Instrument Trades Worker (General),2026-06,85.0,80,PARTIAL,2025-03-05,2,29
342315 Electronic Instrument Trades Worker (Special Class),2026-06,80.0,80,CLEARED,2025-12-03,3,27
394111 Cabinetmaker,2026-06,85.0,80,PARTIAL,2026-02-02,4,56
399111 Boat Builder and Repairer,2026-06,80.0,80,CLEARED,2024-08-05,3,7
452316 Tennis Coach,2026-06,85.0,85,CLEARED,2025-11-09,3,10
