AsAt,OccGroup,Score,n,maxsub,minsub
05/2026,2334 Electronics Engineers,95,32,46173.55491157407,45461.46676064815
05/2026,2334 Electronics Engineers,90,90,46150.84865586806,45448.461402974535
05/2026,2334 Electronics Engineers,85,171,46173.62998336805,45456.88080494213
05/2026,2334 Electronics Engineers,55,27,46147.68673302083,45548.182129085646
05/2026,2334 Electronics Engineers,60,72,46156.70290575232,45538.70817508102
05/2026,2334 Electronics Engineers,50,14,46081.63925420139,45484.802666435186
05/2026,2334 Electronics Engineers,100,5,45988.54292137732,45590.53901126157
05/2026,2334 Electronics Engineers,105,1,45885.41609806713,45885.41609806713
05/2026,2334 Electronics Engineers,45,5,45847.726243206016,45553.65431871528
05/2026,2334 Electronics Engineers,25,1,45967.730278090276,45967.730278090276
05/2026,3232 Metal Fitters and Machinists,65,34,46173.79446670139,45552.71256724537
05/2026,3232 Metal Fitters and Machinists,75,20,46159.82995428241,45446.408082291666
05/2026,3232 Metal Fitters and Machinists,70,26,46140.83122959491,45518.57820474537
05/2026,3232 Metal Fitters and Machinists,80,6,46155.801179166665,45586.774872141206
05/2026,3232 Metal Fitters and Machinists,85,4,46167.92357083333,45918.5292875
05/2026,3232 Metal Fitters and Machinists,55,5,45971.82771099537,45570.58091423611
05/2026,3232 Metal Fitters and Machinists,60,10,46167.2197772338,45552.60175119213
05/2026,3232 Metal Fitters and Machinists,50,2,45930.6869996875,45548.9662494213
05/2026,3232 Metal Fitters and Machinists,40,2,46070.7915627662,45873.66949212963
05/2026,3232 Metal Fitters and Machinists,45,2,45875.66405162037,45645.13128263889
05/2026,3232 Metal Fitters and Machinists,35,1,45904.36619170139,45904.36619170139
05/2026,2631 Computer Network Professionals,65,222,46171.861180671294,45460.71340644676
05/2026,2631 Computer Network Professionals,75,398,46171.8261496875,45448.46698267361
05/2026,2631 Computer Network Professionals,70,260,46173.678311655094,45447.83629980324
05/2026,2631 Computer Network Professionals,80,308,46173.019378784724,45444.62350119213
05/2026,2631 Computer Network Professionals,95,133,46171.95919193287,45443.47190633102
05/2026,2631 Computer Network Professionals,90,278,46173.804391550926,45448.574241469905
05/2026,2631 Computer Network Professionals,85,271,46154.63985740741,45443.21297673611
05/2026,2631 Computer Network Professionals,55,34,46079.922198113425,45446.89940289352
05/2026,2631 Computer Network Professionals,60,54,46163.605480555554,45454.55099609954
05/2026,2631 Computer Network Professionals,50,8,46079.83580891204,45561.72595980324
05/2026,2631 Computer Network Professionals,100,70,46125.456645405095,45455.88677951389
05/2026,2631 Computer Network Professionals,105,1,45717.1333628125,45717.1333628125
05/2026,2631 Computer Network Professionals,40,1,45552.13451230324,45552.13451230324
05/2026,2631 Computer Network Professionals,45,1,45785.72973391204,45785.72973391204
05/2026,2631 Computer Network Professionals,30,1,45946.531965625,45946.531965625
05/2026,"2342 Chemists, and Food and Wine Scientists",65,117,46173.69693232639,45450.721507256945
05/2026,"2342 Chemists, and Food and Wine Scientists",75,140,46172.02730216435,45464.1228068287
05/2026,"2342 Chemists, and Food and Wine Scientists",70,117,46170.751638657406,45456.445626886576
05/2026,"2342 Chemists, and Food and Wine Scientists",80,109,46173.80273440972,45456.562561956016
05/2026,"2342 Chemists, and Food and Wine Scientists",95,9,46173.008365891204,45550.01933252315
05/2026,"2342 Chemists, and Food and Wine Scientists",90,51,46171.85302792824,45458.70454965278
05/2026,"2342 Chemists, and Food and Wine Scientists",85,62,46173.70783703704,45485.628744710644
05/2026,"2342 Chemists, and Food and Wine Scientists",55,16,46173.04639444444,45585.93845046296
05/2026,"2342 Chemists, and Food and Wine Scientists",60,33,46155.82190601852,45452.72351597222
05/2026,"2342 Chemists, and Food and Wine Scientists",50,5,45980.68899884259,45698.054444444446
05/2026,"2342 Chemists, and Food and Wine Scientists",100,4,46155.625950497684,45893.465197337966
05/2026,"2342 Chemists, and Food and Wine Scientists",105,2,46085.906838229166,45908.6392815162
05/2026,"2342 Chemists, and Food and Wine Scientists",45,1,46124.76088148148,46124.76088148148
05/2026,2713 Solicitors,65,39,46161.45079649305,45542.50981940972
05/2026,2713 Solicitors,75,72,46171.96118642361,45475.87296241898
05/2026,2713 Solicitors,70,63,46172.50085914352,45523.579063275465
05/2026,2713 Solicitors,80,103,46167.66143811343,45448.574322650464
05/2026,2713 Solicitors,95,3,46005.930158483796,45807.50641307871
05/2026,2713 Solicitors,90,50,46161.74873831018,45477.971711805556
05/2026,2713 Solicitors,85,98,46171.99238931713,45443.92988498842
05/2026,2713 Solicitors,55,3,46058.88278726852,45842.15574609954
05/2026,2713 Solicitors,60,17,46157.67217604167,45574.85400798611
05/2026,2713 Solicitors,50,1,45570.23593244213,45570.23593244213
05/2026,2713 Solicitors,45,1,45974.79804444444,45974.79804444444
05/2026,2331 Chemical and Materials Engineers,65,104,46173.4981621875,45465.700690625
05/2026,2331 Chemical and Materials Engineers,75,155,46172.94702225694,45468.78426238426
05/2026,2331 Chemical and Materials Engineers,70,140,46172.8264090625,45447.86340555556
05/2026,2331 Chemical and Materials Engineers,80,142,46173.57313642361,45448.746378587966
05/2026,2331 Chemical and Materials Engineers,95,12,46159.814482291666,45890.57591936343
05/2026,2331 Chemical and Materials Engineers,90,50,46173.29829313657,45462.57029116898
05/2026,2331 Chemical and Materials Engineers,85,89,46173.86125798611,45506.20576524305
05/2026,2331 Chemical and Materials Engineers,55,13,46027.269454050926,45496.45668159722
05/2026,2331 Chemical and Materials Engineers,60,32,46170.664600081014,45449.7649994213
05/2026,2331 Chemical and Materials Engineers,50,4,46076.98463417824,45814.015420254625
05/2026,2331 Chemical and Materials Engineers,100,2,46114.9352130787,46008.863471840275
05/2026,2331 Chemical and Materials Engineers,40,1,45892.695323148146,45892.695323148146
05/2026,2331 Chemical and Materials Engineers,45,1,46055.80352615741,46055.80352615741
05/2026,3123 Electrical Engineering Draftspersons and Technicians,65,50,46155.927963159724,45512.8552684375
05/2026,3123 Electrical Engineering Draftspersons and Technicians,75,49,46170.77814679398,45446.63784085648
05/2026,3123 Electrical Engineering Draftspersons and Technicians,70,44,46173.47382832176,45453.67621288195
05/2026,3123 Electrical Engineering Draftspersons and Technicians,80,22,46169.65067565972,45450.00440362268
05/2026,3123 Electrical Engineering Draftspersons and Technicians,90,26,46076.85593333333,45499.71472103009
05/2026,3123 Electrical Engineering Draftspersons and Technicians,85,35,46161.86115783565,45524.92621655093
05/2026,3123 Electrical Engineering Draftspersons and Technicians,55,5,46079.74255552083,45497.93674722222
05/2026,3123 Electrical Engineering Draftspersons and Technicians,60,16,46044.45976288195,45560.55260451389
05/2026,3123 Electrical Engineering Draftspersons and Technicians,40,1,45974.842356712965,45974.842356712965
05/2026,2333 Electrical Engineers,65,308,46172.86681450231,45446.615223263885
05/2026,2333 Electrical Engineers,75,380,46173.62045732639,45452.54539950231
05/2026,2333 Electrical Engineers,70,352,46173.77981099537,45446.53599471065
05/2026,2333 Electrical Engineers,80,311,46173.89074475694,45445.76800135417
05/2026,2333 Electrical Engineers,95,53,46171.62788244213,45447.73655262731
05/2026,2333 Electrical Engineers,90,141,46172.187598344906,45446.87853769676
05/2026,2333 Electrical Engineers,85,263,46172.55055671296,45454.622050150465
05/2026,2333 Electrical Engineers,55,43,46160.70691570602,45461.635612962964
05/2026,2333 Electrical Engineers,60,104,46169.63891527778,45461.569672418984
05/2026,2333 Electrical Engineers,50,8,46137.56669236111,45576.4882628125
05/2026,2333 Electrical Engineers,100,12,46079.48971724537,45524.79544505787
05/2026,2333 Electrical Engineers,105,1,45843.66417754629,45843.66417754629
05/2026,2333 Electrical Engineers,45,11,46108.673881712966,45519.97704834491
05/2026,2321 Architects and Landscape Architects,65,103,46166.76055277778,45458.654433599535
05/2026,2321 Architects and Landscape Architects,75,175,46165.82259556713,45446.67660355324
05/2026,2321 Architects and Landscape Architects,70,145,46172.73835327546,45475.423786886575
05/2026,2321 Architects and Landscape Architects,80,113,46163.720895983795,45448.47226616898
05/2026,2321 Architects and Landscape Architects,95,4,46059.72910748843,45903.59164105324
05/2026,2321 Architects and Landscape Architects,90,32,46171.67462372685,45645.02404016204
05/2026,2321 Architects and Landscape Architects,85,113,46173.77298877315,45464.477317592595
05/2026,2321 Architects and Landscape Architects,55,8,46082.28445975694,45606.448346840276
05/2026,2321 Architects and Landscape Architects,60,33,46168.9827622338,45537.25189533565
05/2026,2531 General Practitioners and Resident Medical officers,65,35,46172.38150859954,45544.92223318287
05/2026,2531 General Practitioners and Resident Medical officers,75,93,46168.5539849537,45540.501378125
05/2026,2531 General Practitioners and Resident Medical officers,70,66,46171.76051828704,45512.88371770833
05/2026,2531 General Practitioners and Resident Medical officers,80,93,46173.443290891206,45606.49193290509
05/2026,2531 General Practitioners and Resident Medical officers,95,2,46086.25720836806,46038.855083449074
05/2026,2531 General Practitioners and Resident Medical officers,90,13,46134.802109606484,45608.5480962963
05/2026,2531 General Practitioners and Resident Medical officers,85,59,46173.9489716088,45641.676374270835
05/2026,2531 General Practitioners and Resident Medical officers,55,8,46146.484401469905,45528.0105880787
05/2026,2531 General Practitioners and Resident Medical officers,60,7,46033.823933182866,45463.971851932874
05/2026,2531 General Practitioners and Resident Medical officers,50,3,46130.42083425926,45636.7699900463
05/2026,2247 Management and Organisation Analysts,65,27,46165.516873229164,45474.625508599536
05/2026,2247 Management and Organisation Analysts,75,76,46171.80852534722,45449.94520925926
05/2026,2247 Management and Organisation Analysts,70,46,46173.5033133449,45454.896695717594
05/2026,2247 Management and Organisation Analysts,80,70,46169.52046894676,45447.74584351852
05/2026,2247 Management and Organisation Analysts,95,3,46171.94498209491,46111.93008480324
05/2026,2247 Management and Organisation Analysts,90,40,46167.67239649306,45704.5463840625
05/2026,2247 Management and Organisation Analysts,85,70,46165.62736921296,45450.53235462963
05/2026,2247 Management and Organisation Analysts,55,1,45986.05753715278,45986.05753715278
05/2026,2247 Management and Organisation Analysts,60,13,46113.06865991898,45639.31985443287
05/2026,2247 Management and Organisation Analysts,50,1,45851.95322361111,45851.95322361111
05/2026,2247 Management and Organisation Analysts,45,1,46075.120726423615,46075.120726423615
05/2026,2347 Veterinarians,65,9,46154.598129398146,45601.46138399305
05/2026,2347 Veterinarians,75,23,46154.70493703704,45468.052009340274
05/2026,2347 Veterinarians,70,8,46172.90272947917,45545.66037399306
05/2026,2347 Veterinarians,80,19,46155.04089903935,45642.63144614583
05/2026,2347 Veterinarians,95,4,46071.96730127315,45751.843139965276
05/2026,2347 Veterinarians,90,15,46143.543560879625,45727.69418730324
05/2026,2347 Veterinarians,85,26,46152.50956542824,45448.59435625
05/2026,2347 Veterinarians,55,1,45929.49714366898,45929.49714366898
05/2026,2347 Veterinarians,100,1,45924.803899502316,45924.803899502316
05/2026,2414 Secondary School Teachers,65,210,46173.6591755787,45467.62280590278
05/2026,2414 Secondary School Teachers,75,273,46171.8476959838,45478.71996400463
05/2026,2414 Secondary School Teachers,70,287,46173.50394498843,45448.24360706018
05/2026,2414 Secondary School Teachers,80,165,46171.84034054398,45450.555434375
05/2026,2414 Secondary School Teachers,95,1,46074.86906469907,46074.86906469907
05/2026,2414 Secondary School Teachers,90,16,46122.67831940972,45708.819078622684
05/2026,2414 Secondary School Teachers,85,81,46166.61220783565,45534.475327314816
05/2026,2414 Secondary School Teachers,55,14,46161.70666565972,45604.306555243056
05/2026,2414 Secondary School Teachers,60,38,46167.41411041666,45526.858609525465
05/2026,2414 Secondary School Teachers,50,4,46107.53107700231,45601.64418506945
05/2026,2414 Secondary School Teachers,100,1,45903.45545390046,45903.45545390046
05/2026,2414 Secondary School Teachers,40,1,45905.79551423611,45905.79551423611
05/2026,2414 Secondary School Teachers,45,2,46119.705528819446,46070.955935034726
05/2026,1341 Child Care Centre Managers,65,2,45944.759761724534,45547.635732372684
05/2026,1341 Child Care Centre Managers,70,6,45960.913000775465,45611.68506704861
05/2026,1341 Child Care Centre Managers,80,2,45842.65833275463,45546.53739297454
05/2026,1341 Child Care Centre Managers,60,2,46085.76607318287,45488.58068591435
05/2026,"2241 Actuaries, Mathematicians and Statisticians",65,35,46173.66201119213,45502.98554302083
05/2026,"2241 Actuaries, Mathematicians and Statisticians",75,81,46167.20829760417,45499.691318020836
05/2026,"2241 Actuaries, Mathematicians and Statisticians",70,51,46169.05064973379,45497.94797037037
05/2026,"2241 Actuaries, Mathematicians and Statisticians",80,72,46172.97650613426,45505.78355613426
05/2026,"2241 Actuaries, Mathematicians and Statisticians",95,25,46155.843866469906,45533.42164082176
05/2026,"2241 Actuaries, Mathematicians and Statisticians",90,85,46155.41536403935,45509.08328290509
05/2026,"2241 Actuaries, Mathematicians and Statisticians",85,108,46172.770292824076,45458.8625991088
05/2026,"2241 Actuaries, Mathematicians and Statisticians",55,4,45986.98335787037,45506.57724170139
05/2026,"2241 Actuaries, Mathematicians and Statisticians",60,13,46108.68728619213,45535.73363796296
05/2026,"2241 Actuaries, Mathematicians and Statisticians",50,1,46134.99496820602,46134.99496820602
05/2026,"2241 Actuaries, Mathematicians and Statisticians",100,3,46145.526647025465,46013.90649320602
05/2026,"2241 Actuaries, Mathematicians and Statisticians",105,3,46062.04537792824,46013.070576122685
05/2026,"2241 Actuaries, Mathematicians and Statisticians",45,1,45833.515822534726,45833.515822534726
05/2026,3331 Glaziers,65,3,46134.82664869213,45936.52199837963
05/2026,3331 Glaziers,75,1,46000.77976855324,46000.77976855324
05/2026,3331 Glaziers,60,1,45782.53001041667,45782.53001041667
05/2026,2421 University Lecturers and Tutors,65,208,46173.95087195602,45448.732145138885
05/2026,2421 University Lecturers and Tutors,75,185,46173.78134054398,45443.66057418982
05/2026,2421 University Lecturers and Tutors,70,180,46173.626844756946,45449.89187341435
05/2026,2421 University Lecturers and Tutors,80,165,46173.76092777778,45443.69406716435
05/2026,2421 University Lecturers and Tutors,95,43,46173.80200023148,45617.79330127315
05/2026,2421 University Lecturers and Tutors,90,97,46160.77130497685,45456.53142480324
05/2026,2421 University Lecturers and Tutors,85,116,46167.545256446756,45456.839501504626
05/2026,2421 University Lecturers and Tutors,55,21,46127.64480891204,45513.764570949075
05/2026,2421 University Lecturers and Tutors,60,59,46167.91716848379,45462.83023607639
05/2026,2421 University Lecturers and Tutors,50,9,46139.57124880787,45549.72600605324
05/2026,2421 University Lecturers and Tutors,100,21,46150.44590559028,45899.663047106485
05/2026,2421 University Lecturers and Tutors,105,10,46113.39967766203,45724.79045355324
05/2026,2421 University Lecturers and Tutors,45,1,45643.95742508102,45643.95742508102
05/2026,2633 Telecommunications Engineering Professionals,65,116,46154.698819363424,45454.66622048611
05/2026,2633 Telecommunications Engineering Professionals,75,196,46172.94911388889,45448.881454016206
05/2026,2633 Telecommunications Engineering Professionals,70,99,46164.627539699075,45479.882527546295
05/2026,2633 Telecommunications Engineering Professionals,80,120,46162.845088773145,45443.303983101854
05/2026,2633 Telecommunications Engineering Professionals,95,19,46169.36622369213,45506.39539039352
05/2026,2633 Telecommunications Engineering Professionals,90,59,46139.541817627316,45554.566294131946
05/2026,2633 Telecommunications Engineering Professionals,85,102,46160.922179050925,45451.968903622685
05/2026,2633 Telecommunications Engineering Professionals,55,18,46118.42488530093,45537.13048487269
05/2026,2633 Telecommunications Engineering Professionals,60,35,46161.63370258102,45544.83792677084
05/2026,2633 Telecommunications Engineering Professionals,50,3,45617.56927800926,45475.890671064815
05/2026,2633 Telecommunications Engineering Professionals,100,2,46076.97509447917,45783.82340949074
05/2026,2633 Telecommunications Engineering Professionals,45,3,45758.512514201386,45541.51372538194
05/2026,1332 Engineering Managers,65,56,46161.92374204861,45473.89325501157
05/2026,1332 Engineering Managers,75,49,46162.72538452546,45474.81882758102
05/2026,1332 Engineering Managers,70,51,46107.60066964121,45466.308899537034
05/2026,1332 Engineering Managers,80,14,46135.78872037037,45525.20294050926
05/2026,1332 Engineering Managers,95,1,45974.06031049768,45974.06031049768
05/2026,1332 Engineering Managers,90,2,45794.71313260417,45778.68795443287
05/2026,1332 Engineering Managers,85,15,46173.69314170139,45623.873866932874
05/2026,1332 Engineering Managers,55,17,45977.696330983796,45580.97142577546
05/2026,1332 Engineering Managers,60,13,46047.77885119213,45550.78317283565
05/2026,1332 Engineering Managers,50,1,45675.90780347222,45675.90780347222
05/2026,1332 Engineering Managers,40,1,45700.34612002315,45700.34612002315
05/2026,1332 Engineering Managers,45,3,45913.734878090276,45572.9827497338
05/2026,3122 Civil Engineering Draftspersons and Technicians,65,784,46173.913758483795,45444.91872534722
05/2026,3122 Civil Engineering Draftspersons and Technicians,75,766,46173.01661315972,45443.428547256946
05/2026,3122 Civil Engineering Draftspersons and Technicians,70,853,46173.739062037035,45443.71731489583
05/2026,3122 Civil Engineering Draftspersons and Technicians,80,493,46171.827127233795,45443.20131875
05/2026,3122 Civil Engineering Draftspersons and Technicians,95,16,46157.96348626158,45661.78127349537
05/2026,3122 Civil Engineering Draftspersons and Technicians,90,86,46172.79395003472,45510.91058753472
05/2026,3122 Civil Engineering Draftspersons and Technicians,85,306,46173.89320613426,45508.736143368056
05/2026,3122 Civil Engineering Draftspersons and Technicians,55,107,46158.25532824074,45463.583981400465
05/2026,3122 Civil Engineering Draftspersons and Technicians,60,215,46172.74506832176,45452.67995679398
05/2026,3122 Civil Engineering Draftspersons and Technicians,50,30,46165.74218900463,45540.72799313658
05/2026,3122 Civil Engineering Draftspersons and Technicians,105,1,46111.48038287037,46111.48038287037
05/2026,3122 Civil Engineering Draftspersons and Technicians,40,5,46112.56390385417,45567.95518229167
05/2026,3122 Civil Engineering Draftspersons and Technicians,45,15,46119.69509108796,45463.51718912037
05/2026,1399 Other Specialist Managers,65,21,46095.70946508102,45552.837120254626
05/2026,1399 Other Specialist Managers,75,27,46159.76648391204,45548.8121659375
05/2026,1399 Other Specialist Managers,70,19,46136.6366852662,45576.72964128472
05/2026,1399 Other Specialist Managers,80,11,46161.78110277778,45487.732476157405
05/2026,1399 Other Specialist Managers,90,7,46138.458637118056,45583.445278935185
05/2026,1399 Other Specialist Managers,85,8,46029.551136423615,45485.64535092593
05/2026,1399 Other Specialist Managers,55,5,45953.44194236111,45655.952883715276
05/2026,1399 Other Specialist Managers,60,5,46080.03236628472,45487.90029690972
05/2026,1399 Other Specialist Managers,50,1,46173.891418865736,46173.891418865736
05/2026,2322 Cartographers and Surveyors,65,34,46170.719837384255,45461.79361709491
05/2026,2322 Cartographers and Surveyors,75,38,46145.811483564816,45499.85193862268
05/2026,2322 Cartographers and Surveyors,70,27,46150.22320123843,45443.57778622685
05/2026,2322 Cartographers and Surveyors,80,16,46167.99501600694,45548.63478966435
05/2026,2322 Cartographers and Surveyors,95,1,46139.48419710648,46139.48419710648
05/2026,2322 Cartographers and Surveyors,90,4,46173.89696878472,45658.78342045139
05/2026,2322 Cartographers and Surveyors,85,24,46159.71902754629,45504.819357291664
05/2026,2322 Cartographers and Surveyors,55,6,46141.75106913195,45622.04241415509
05/2026,2322 Cartographers and Surveyors,60,6,46139.824473113425,45670.92794259259
05/2026,3233 Precision Metal Trades Workers,75,1,45941.60144950231,45941.60144950231
05/2026,3233 Precision Metal Trades Workers,70,2,45954.4167303588,45702.56928329861
05/2026,3233 Precision Metal Trades Workers,55,1,45773.05278753472,45773.05278753472
05/2026,2245 Land Economists and Valuers,65,7,46115.278381828706,45587.40961805556
05/2026,2245 Land Economists and Valuers,75,15,46097.43576797454,45533.0185528125
05/2026,2245 Land Economists and Valuers,70,8,46078.056324502315,45461.91165142361
05/2026,2245 Land Economists and Valuers,80,23,46171.568714699075,45449.40788105324
05/2026,2245 Land Economists and Valuers,90,3,46051.818469212965,45454.70665304398
05/2026,2245 Land Economists and Valuers,85,12,46101.407794363426,45518.442634837964
05/2026,2245 Land Economists and Valuers,60,2,45807.99723533565,45593.74610471065
05/2026,2245 Land Economists and Valuers,30,1,45972.71963576389,45972.71963576389
05/2026,2336 Mining Engineers,65,56,46172.585583912034,45449.97686739583
05/2026,2336 Mining Engineers,75,61,46173.94464513889,45524.92393920139
05/2026,2336 Mining Engineers,70,64,46171.642038923615,45461.774291284724
05/2026,2336 Mining Engineers,80,44,46170.655215011575,45444.693210185185
05/2026,2336 Mining Engineers,95,4,46171.72582476852,45890.6885690625
05/2026,2336 Mining Engineers,90,7,46171.95147453704,45554.89769505787
05/2026,2336 Mining Engineers,85,49,46168.85137766204,45526.38581230324
05/2026,2336 Mining Engineers,55,9,46105.94601767361,45573.95497523148
05/2026,2336 Mining Engineers,60,14,46156.08593472222,45519.86162175926
05/2026,2336 Mining Engineers,50,5,46142.19039001157,45538.291265775464
05/2026,2336 Mining Engineers,105,1,46114.58909302083,46114.58909302083
05/2026,2336 Mining Engineers,40,1,45540.584617245375,45540.584617245375
05/2026,2336 Mining Engineers,45,2,45945.010905243056,45895.07182341435
05/2026,2612 Multimedia Specialists and Web Developers,65,15,46163.57251670139,45541.72961180555
05/2026,2612 Multimedia Specialists and Web Developers,75,36,46145.53989074074,45562.501347337966
05/2026,2612 Multimedia Specialists and Web Developers,70,29,46171.649091203704,45554.87373144676
05/2026,2612 Multimedia Specialists and Web Developers,80,30,46144.803014930556,45487.61836261574
05/2026,2612 Multimedia Specialists and Web Developers,95,24,46169.51623792824,45602.61631258102
05/2026,2612 Multimedia Specialists and Web Developers,90,64,46172.62265104167,45481.723530787036
05/2026,2612 Multimedia Specialists and Web Developers,85,44,46146.507597800926,45502.84638417824
05/2026,2612 Multimedia Specialists and Web Developers,55,2,45959.47423394676,45705.81485
05/2026,2612 Multimedia Specialists and Web Developers,60,1,45790.41675891203,45790.41675891203
05/2026,2612 Multimedia Specialists and Web Developers,50,2,45721.73119155093,45706.65726836806
05/2026,2612 Multimedia Specialists and Web Developers,110,1,46119.99519259259,46119.99519259259
05/2026,2612 Multimedia Specialists and Web Developers,100,6,46169.37195486111,45915.596932291664
05/2026,2612 Multimedia Specialists and Web Developers,105,1,46066.43469927083,46066.43469927083
05/2026,3223 Structural Steel and Welding Trades Workers,65,79,46163.70958306713,45555.71819841435
05/2026,3223 Structural Steel and Welding Trades Workers,75,65,46172.54462450231,45448.50033545139
05/2026,3223 Structural Steel and Welding Trades Workers,70,75,46167.44556755787,45464.426962997684
05/2026,3223 Structural Steel and Welding Trades Workers,80,44,46167.700077430556,45498.55574618056
05/2026,3223 Structural Steel and Welding Trades Workers,90,6,46057.75998665509,45946.32543163194
05/2026,3223 Structural Steel and Welding Trades Workers,85,9,46149.77082546296,45608.68929001158
05/2026,3223 Structural Steel and Welding Trades Workers,55,7,46173.65809016203,45992.572076620374
05/2026,3223 Structural Steel and Welding Trades Workers,60,24,46134.74758715278,45540.790915081016
05/2026,3223 Structural Steel and Welding Trades Workers,50,3,46097.85134556713,45672.72162013889
05/2026,3223 Structural Steel and Welding Trades Workers,45,3,45972.103173842595,45670.93737392361
05/2026,2349 Other Natural and Physical Science Professionals,65,26,46172.8029178588,45549.946846990744
05/2026,2349 Other Natural and Physical Science Professionals,75,20,46131.34260347222,45518.76130471065
05/2026,2349 Other Natural and Physical Science Professionals,70,18,46149.75838353009,45447.82522164352
05/2026,2349 Other Natural and Physical Science Professionals,80,11,46016.203214733796,45561.84724560185
05/2026,2349 Other Natural and Physical Science Professionals,95,3,46074.040122025464,45992.423142858795
05/2026,2349 Other Natural and Physical Science Professionals,90,4,46172.70009699074,45843.796313113424
05/2026,2349 Other Natural and Physical Science Professionals,85,10,46173.32005648148,45495.007598530094
05/2026,2349 Other Natural and Physical Science Professionals,55,4,45906.62836863426,45692.91659537037
05/2026,2349 Other Natural and Physical Science Professionals,60,6,45974.181365428245,45599.98215887732
05/2026,2349 Other Natural and Physical Science Professionals,100,4,46149.37945497685,46067.28023202546
05/2026,2349 Other Natural and Physical Science Professionals,105,2,46149.389280324074,46127.604276122685
05/2026,1331 Construction Managers,65,289,46173.006000775466,45462.00007109954
05/2026,1331 Construction Managers,75,320,46168.93513665509,45451.38620864583
05/2026,1331 Construction Managers,70,287,46173.90799475694,45452.573269479166
05/2026,1331 Construction Managers,80,165,46166.753830127316,45467.97878101852
05/2026,1331 Construction Managers,95,5,46082.35280424768,45974.07046296296
05/2026,1331 Construction Managers,90,34,46155.85815393519,45618.46567538194
05/2026,1331 Construction Managers,85,93,46150.72179880787,45574.39512650463
05/2026,1331 Construction Managers,55,46,46135.71308052083,45533.18160474537
05/2026,1331 Construction Managers,60,63,46171.98541064815,45476.55433449074
05/2026,1331 Construction Managers,50,13,46153.11347280093,45586.08761909722
05/2026,1331 Construction Managers,40,3,45937.18964251157,45552.94338966435
05/2026,1331 Construction Managers,45,7,46062.71951311343,45788.83908599537
05/2026,2343 Environmental Scientists,65,39,46172.63086438658,45456.51310671296
05/2026,2343 Environmental Scientists,75,50,46171.71160729167,45451.87953773148
05/2026,2343 Environmental Scientists,70,40,46158.55579197917,45475.73116550926
05/2026,2343 Environmental Scientists,80,42,46170.18755787037,45456.43813371527
05/2026,2343 Environmental Scientists,95,3,46033.80641693287,45833.775559525464
05/2026,2343 Environmental Scientists,90,29,46171.700269988425,45541.71989386574
05/2026,2343 Environmental Scientists,85,44,46155.51123001157,45532.60347253472
05/2026,2343 Environmental Scientists,55,3,45887.731202662035,45719.90314702546
05/2026,2343 Environmental Scientists,60,10,46161.070596875,45554.921972881944
05/2026,2343 Environmental Scientists,100,3,46126.461296180554,45960.63665717593
05/2026,2343 Environmental Scientists,105,2,46028.398275960644,46012.64514424768
05/2026,2343 Environmental Scientists,45,1,45553.93614996527,45553.93614996527
05/2026,2711 Barristers,75,2,46024.46173923611,45741.88312804398
05/2026,2711 Barristers,70,1,45613.69087604167,45613.69087604167
05/2026,2711 Barristers,80,1,46071.47944174769,46071.47944174769
05/2026,2711 Barristers,85,1,46071.47071721065,46071.47071721065
05/2026,3132 Telecommunications Technical Specialists,65,84,46160.8146315625,45446.86339371528
05/2026,3132 Telecommunications Technical Specialists,75,94,46172.622042013885,45461.638199733796
05/2026,3132 Telecommunications Technical Specialists,70,96,46134.36209552083,45446.545330092595
05/2026,3132 Telecommunications Technical Specialists,80,50,46172.5435511574,45484.602845138885
05/2026,3132 Telecommunications Technical Specialists,90,24,46160.07611987268,45740.72098341435
05/2026,3132 Telecommunications Technical Specialists,85,30,46167.44503179398,45526.7293934375
05/2026,3132 Telecommunications Technical Specialists,55,14,46148.580778275464,45537.66997418982
05/2026,3132 Telecommunications Technical Specialists,60,32,46171.73215096065,45520.737132835646
05/2026,3132 Telecommunications Technical Specialists,50,12,46172.82042534722,45699.66378206018
05/2026,3132 Telecommunications Technical Specialists,40,2,45699.83581767361,45699.61541863426
05/2026,3132 Telecommunications Technical Specialists,45,2,46140.68603275463,46028.60428237269
05/2026,3132 Telecommunications Technical Specialists,35,1,46125.82763125,46125.82763125
05/2026,3312 Carpenters and Joiners,65,193,46173.844572685186,45505.59261709491
05/2026,3312 Carpenters and Joiners,75,63,46172.67124814815,45862.590695833336
05/2026,3312 Carpenters and Joiners,70,129,46172.778172453705,45609.63716377315
05/2026,3312 Carpenters and Joiners,80,18,46171.68558842593,45552.80714853009
05/2026,3312 Carpenters and Joiners,90,2,46143.761750694444,46001.70488275463
05/2026,3312 Carpenters and Joiners,85,5,46156.71211605324,45974.312135451386
05/2026,3312 Carpenters and Joiners,55,16,46167.58906099537,45543.78046026621
05/2026,3312 Carpenters and Joiners,60,52,46172.79309918982,45520.526333483795
05/2026,3312 Carpenters and Joiners,50,11,46171.32809398148,45560.94934290509
05/2026,3312 Carpenters and Joiners,100,1,46149.928314351855,46149.928314351855
05/2026,3312 Carpenters and Joiners,40,1,45923.56071496528,45923.56071496528
05/2026,3312 Carpenters and Joiners,45,2,46161.72020069444,45637.40096755787
05/2026,3312 Carpenters and Joiners,30,1,46135.59687746528,46135.59687746528
05/2026,2725 Social Workers,65,105,46173.83552337963,45489.71344814815
