Occupation,Score,n
234912 Metallurgist,60,8
234912 Metallurgist,50,4
234912 Metallurgist,105,1
234912 Metallurgist,40,1
232214 Other Spatial Scientist,65,18
232214 Other Spatial Scientist,75,26
232214 Other Spatial Scientist,70,27
232214 Other Spatial Scientist,80,17
232214 Other Spatial Scientist,90,3
232214 Other Spatial Scientist,85,17
232214 Other Spatial Scientist,55,5
232214 Other Spatial Scientist,60,15
232214 Other Spatial Scientist,50,3
133111 Construction Project Manager,65,509
133111 Construction Project Manager,75,531
133111 Construction Project Manager,70,536
133111 Construction Project Manager,80,276
133111 Construction Project Manager,95,13
133111 Construction Project Manager,90,32
133111 Construction Project Manager,85,90
133111 Construction Project Manager,55,96
133111 Construction Project Manager,60,153
133111 Construction Project Manager,50,21
133111 Construction Project Manager,100,1
133111 Construction Project Manager,40,8
133111 Construction Project Manager,45,12
133111 Construction Project Manager,35,2
253111 General Practitioner,65,93
253111 General Practitioner,75,220
253111 General Practitioner,70,173
253111 General Practitioner,80,128
253111 General Practitioner,95,2
253111 General Practitioner,90,18
253111 General Practitioner,85,58
253111 General Practitioner,55,14
253111 General Practitioner,60,46
253111 General Practitioner,50,4
253111 General Practitioner,40,1
253111 General Practitioner,45,1
253111 General Practitioner,125,1
234313 Environmental Research Scientist,65,18
234313 Environmental Research Scientist,75,24
234313 Environmental Research Scientist,70,31
234313 Environmental Research Scientist,80,16
234313 Environmental Research Scientist,95,3
234313 Environmental Research Scientist,90,9
234313 Environmental Research Scientist,85,18
234313 Environmental Research Scientist,55,6
234313 Environmental Research Scientist,60,11
234313 Environmental Research Scientist,100,1
234313 Environmental Research Scientist,45,1
233911 Aeronautical Engineer,65,50
233911 Aeronautical Engineer,75,63
233911 Aeronautical Engineer,70,56
233911 Aeronautical Engineer,80,77
233911 Aeronautical Engineer,95,8
233911 Aeronautical Engineer,90,25
233911 Aeronautical Engineer,85,60
233911 Aeronautical Engineer,55,10
233911 Aeronautical Engineer,60,29
233911 Aeronautical Engineer,50,16
233911 Aeronautical Engineer,100,2
233911 Aeronautical Engineer,105,3
233911 Aeronautical Engineer,45,2
233911 Aeronautical Engineer,30,1
234112 Agricultural Scientist,65,48
234112 Agricultural Scientist,75,45
234112 Agricultural Scientist,70,58
234112 Agricultural Scientist,80,42
234112 Agricultural Scientist,95,9
234112 Agricultural Scientist,90,13
234112 Agricultural Scientist,85,22
234112 Agricultural Scientist,55,6
234112 Agricultural Scientist,60,13
234112 Agricultural Scientist,50,7
234112 Agricultural Scientist,100,4
234112 Agricultural Scientist,45,1
234113 Forester,65,25
234113 Forester,75,15
234113 Forester,70,13
234113 Forester,80,2
234113 Forester,85,3
234113 Forester,55,2
234113 Forester,60,5
234113 Forester,50,1
271111 Barrister,65,1
271111 Barrister,75,1
271111 Barrister,70,1
271111 Barrister,80,4
271111 Barrister,85,1
271111 Barrister,55,1
313213 Telecommunications Network Planner,65,105
313213 Telecommunications Network Planner,75,65
313213 Telecommunications Network Planner,70,95
313213 Telecommunications Network Planner,80,43
313213 Telecommunications Network Planner,90,11
313213 Telecommunications Network Planner,85,22
313213 Telecommunications Network Planner,55,37
313213 Telecommunications Network Planner,60,64
313213 Telecommunications Network Planner,50,23
313213 Telecommunications Network Planner,40,3
313213 Telecommunications Network Planner,45,8
313213 Telecommunications Network Planner,35,1
331212 Carpenter,65,490
331212 Carpenter,75,74
331212 Carpenter,70,200
331212 Carpenter,80,23
331212 Carpenter,90,4
331212 Carpenter,85,5
331212 Carpenter,55,113
331212 Carpenter,60,234
331212 Carpenter,50,24
331212 Carpenter,100,1
331212 Carpenter,40,3
331212 Carpenter,45,10
331212 Carpenter,30,1
272511 Social Worker,65,250
272511 Social Worker,75,416
272511 Social Worker,70,437
272511 Social Worker,80,158
272511 Social Worker,90,7
272511 Social Worker,85,56
272511 Social Worker,55,27
272511 Social Worker,60,46
272511 Social Worker,50,7
272511 Social Worker,40,1
272511 Social Worker,45,3
332211 Painting Trades Worker,65,423
332211 Painting Trades Worker,75,186
332211 Painting Trades Worker,70,341
332211 Painting Trades Worker,80,90
332211 Painting Trades Worker,90,5
332211 Painting Trades Worker,85,22
332211 Painting Trades Worker,55,71
332211 Painting Trades Worker,60,173
332211 Painting Trades Worker,50,25
332211 Painting Trades Worker,40,5
332211 Painting Trades Worker,45,6
332211 Painting Trades Worker,35,1
342313 Electronic Equipment Trades Worker,65,59
342313 Electronic Equipment Trades Worker,75,34
342313 Electronic Equipment Trades Worker,70,49
342313 Electronic Equipment Trades Worker,80,13
342313 Electronic Equipment Trades Worker,90,1
342313 Electronic Equipment Trades Worker,85,2
342313 Electronic Equipment Trades Worker,55,39
342313 Electronic Equipment Trades Worker,60,19
342313 Electronic Equipment Trades Worker,50,2
342313 Electronic Equipment Trades Worker,45,4
233612 Petroleum Engineer,65,51
233612 Petroleum Engineer,75,54
233612 Petroleum Engineer,70,58
233612 Petroleum Engineer,80,46
233612 Petroleum Engineer,95,1
233612 Petroleum Engineer,90,6
233612 Petroleum Engineer,85,14
233612 Petroleum Engineer,55,17
233612 Petroleum Engineer,60,19
233612 Petroleum Engineer,50,7
233612 Petroleum Engineer,40,1
233612 Petroleum Engineer,45,2
252111 Chiropractor,65,9
252111 Chiropractor,75,78
252111 Chiropractor,70,16
252111 Chiropractor,80,13
252111 Chiropractor,85,5
252111 Chiropractor,60,3
252111 Chiropractor,50,2
313212 Telecommunications Field Engineer,65,29
313212 Telecommunications Field Engineer,75,29
313212 Telecommunications Field Engineer,70,33
313212 Telecommunications Field Engineer,80,17
313212 Telecommunications Field Engineer,90,13
313212 Telecommunications Field Engineer,85,10
313212 Telecommunications Field Engineer,55,8
313212 Telecommunications Field Engineer,60,13
313212 Telecommunications Field Engineer,50,1
313212 Telecommunications Field Engineer,40,1
233915 Environmental Engineer,65,62
233915 Environmental Engineer,75,73
233915 Environmental Engineer,70,55
233915 Environmental Engineer,80,77
233915 Environmental Engineer,95,17
233915 Environmental Engineer,90,40
233915 Environmental Engineer,85,62
233915 Environmental Engineer,55,19
233915 Environmental Engineer,60,23
233915 Environmental Engineer,50,2
233915 Environmental Engineer,100,1
233915 Environmental Engineer,45,1
394111 Cabinetmaker,65,44
394111 Cabinetmaker,75,23
394111 Cabinetmaker,70,45
394111 Cabinetmaker,80,7
394111 Cabinetmaker,85,5
394111 Cabinetmaker,55,5
394111 Cabinetmaker,60,13
394111 Cabinetmaker,50,8
394111 Cabinetmaker,45,2
254415 Registered Nurse (Critical Care and Emergency),65,490
254415 Registered Nurse (Critical Care and Emergency),75,335
254415 Registered Nurse (Critical Care and Emergency),70,368
254415 Registered Nurse (Critical Care and Emergency),80,82
254415 Registered Nurse (Critical Care and Emergency),95,2
254415 Registered Nurse (Critical Care and Emergency),90,2
254415 Registered Nurse (Critical Care and Emergency),85,22
254415 Registered Nurse (Critical Care and Emergency),55,127
254415 Registered Nurse (Critical Care and Emergency),60,141
254415 Registered Nurse (Critical Care and Emergency),50,34
254415 Registered Nurse (Critical Care and Emergency),40,6
254415 Registered Nurse (Critical Care and Emergency),45,16
254415 Registered Nurse (Critical Care and Emergency),35,3
224311 Economist,65,40
224311 Economist,75,31
224311 Economist,70,32
224311 Economist,80,40
224311 Economist,90,9
224311 Economist,85,18
224311 Economist,55,6
224311 Economist,60,13
224311 Economist,100,1
224311 Economist,105,1
224311 Economist,45,1
234514 Biotechnologist,65,53
234514 Biotechnologist,75,97
234514 Biotechnologist,70,67
234514 Biotechnologist,80,75
234514 Biotechnologist,95,11
234514 Biotechnologist,90,67
234514 Biotechnologist,85,72
234514 Biotechnologist,55,13
234514 Biotechnologist,60,22
234514 Biotechnologist,50,2
234514 Biotechnologist,100,4
234514 Biotechnologist,45,2
331111 Bricklayer,65,72
331111 Bricklayer,75,18
331111 Bricklayer,70,31
331111 Bricklayer,80,3
331111 Bricklayer,85,1
331111 Bricklayer,55,25
331111 Bricklayer,60,35
331111 Bricklayer,50,16
331111 Bricklayer,40,1
331111 Bricklayer,45,3
139912 Environmental Manager,65,28
139912 Environmental Manager,75,43
139912 Environmental Manager,70,35
139912 Environmental Manager,80,14
139912 Environmental Manager,90,2
139912 Environmental Manager,85,8
139912 Environmental Manager,55,8
139912 Environmental Manager,60,23
139912 Environmental Manager,50,4
139912 Environmental Manager,40,1
139912 Environmental Manager,45,1
233511 Industrial Engineer,65,150
233511 Industrial Engineer,75,121
233511 Industrial Engineer,70,120
233511 Industrial Engineer,80,94
233511 Industrial Engineer,95,18
233511 Industrial Engineer,90,48
233511 Industrial Engineer,85,79
233511 Industrial Engineer,55,23
233511 Industrial Engineer,60,41
233511 Industrial Engineer,50,9
233511 Industrial Engineer,100,1
233511 Industrial Engineer,40,2
233511 Industrial Engineer,45,4
139911 Arts Administrator or Manager,65,7
139911 Arts Administrator or Manager,75,5
139911 Arts Administrator or Manager,70,7
139911 Arts Administrator or Manager,80,3
139911 Arts Administrator or Manager,90,1
139911 Arts Administrator or Manager,85,2
139911 Arts Administrator or Manager,55,11
139911 Arts Administrator or Manager,60,2
254412 Registered Nurse (Aged Care),65,351
254412 Registered Nurse (Aged Care),75,564
254412 Registered Nurse (Aged Care),70,494
254412 Registered Nurse (Aged Care),80,177
254412 Registered Nurse (Aged Care),90,3
254412 Registered Nurse (Aged Care),85,37
254412 Registered Nurse (Aged Care),55,40
254412 Registered Nurse (Aged Care),60,99
254412 Registered Nurse (Aged Care),50,16
254412 Registered Nurse (Aged Care),110,1
254412 Registered Nurse (Aged Care),105,1
254412 Registered Nurse (Aged Care),40,2
254412 Registered Nurse (Aged Care),45,10
254412 Registered Nurse (Aged Care),35,1
253999 Medical Practitioners nec,65,84
253999 Medical Practitioners nec,75,162
253999 Medical Practitioners nec,70,120
253999 Medical Practitioners nec,80,98
253999 Medical Practitioners nec,90,19
253999 Medical Practitioners nec,85,57
253999 Medical Practitioners nec,55,8
253999 Medical Practitioners nec,60,24
253999 Medical Practitioners nec,50,3
234412 Geophysicist,65,11
234412 Geophysicist,75,12
234412 Geophysicist,70,7
234412 Geophysicist,80,6
234412 Geophysicist,90,5
234412 Geophysicist,85,3
234412 Geophysicist,55,4
234412 Geophysicist,60,4
224113 Statistician,65,73
224113 Statistician,75,117
224113 Statistician,70,71
224113 Statistician,80,112
224113 Statistician,95,27
224113 Statistician,90,93
224113 Statistician,85,129
224113 Statistician,55,10
224113 Statistician,60,27
224113 Statistician,50,1
224113 Statistician,100,5
224113 Statistician,105,3
224113 Statistician,45,2
341111 Electrician (General),65,98
341111 Electrician (General),75,15
341111 Electrician (General),70,37
341111 Electrician (General),80,5
341111 Electrician (General),85,1
341111 Electrician (General),55,34
341111 Electrician (General),60,62
341111 Electrician (General),50,41
341111 Electrician (General),40,1
341111 Electrician (General),45,7
341111 Electrician (General),35,2
252511 Physiotherapist,65,113
252511 Physiotherapist,75,183
252511 Physiotherapist,70,168
252511 Physiotherapist,80,77
252511 Physiotherapist,95,2
252511 Physiotherapist,90,6
252511 Physiotherapist,85,33
252511 Physiotherapist,55,26
252511 Physiotherapist,60,21
252511 Physiotherapist,50,7
252511 Physiotherapist,40,2
252511 Physiotherapist,45,2
251211 Medical Diagnostic Radiographer,65,28
251211 Medical Diagnostic Radiographer,75,62
251211 Medical Diagnostic Radiographer,70,51
251211 Medical Diagnostic Radiographer,80,12
251211 Medical Diagnostic Radiographer,90,1
251211 Medical Diagnostic Radiographer,85,4
251211 Medical Diagnostic Radiographer,55,4
251211 Medical Diagnostic Radiographer,60,4
232213 Cartographer,75,1
232213 Cartographer,70,3
232213 Cartographer,85,1
232213 Cartographer,55,1
232213 Cartographer,60,2
342315 Electronic Instrument Trades Worker (Special Class),65,20
342315 Electronic Instrument Trades Worker (Special Class),75,13
342315 Electronic Instrument Trades Worker (Special Class),70,12
342315 Electronic Instrument Trades Worker (Special Class),80,3
342315 Electronic Instrument Trades Worker (Special Class),55,1
342315 Electronic Instrument Trades Worker (Special Class),60,5
342315 Electronic Instrument Trades Worker (Special Class),50,1
312212 Civil Engineering Technician,65,433
312212 Civil Engineering Technician,75,417
312212 Civil Engineering Technician,70,429
312212 Civil Engineering Technician,80,288
312212 Civil Engineering Technician,95,14
312212 Civil Engineering Technician,90,92
312212 Civil Engineering Technician,85,190
312212 Civil Engineering Technician,55,118
312212 Civil Engineering Technician,60,165
312212 Civil Engineering Technician,50,43
312212 Civil Engineering Technician,100,1
312212 Civil Engineering Technician,105,1
312212 Civil Engineering Technician,40,5
312212 Civil Engineering Technician,45,16
312212 Civil Engineering Technician,35,1
253912 Emergency Medicine Specialist,65,7
253912 Emergency Medicine Specialist,75,12
253912 Emergency Medicine Specialist,70,9
253912 Emergency Medicine Specialist,80,8
253912 Emergency Medicine Specialist,90,3
253912 Emergency Medicine Specialist,85,2
253912 Emergency Medicine Specialist,55,2
253912 Emergency Medicine Specialist,60,1
234312 Environmental Consultant,65,87
234312 Environmental Consultant,75,89
234312 Environmental Consultant,70,95
234312 Environmental Consultant,80,53
234312 Environmental Consultant,95,1
234312 Environmental Consultant,90,16
234312 Environmental Consultant,85,46
234312 Environmental Consultant,55,6
234312 Environmental Consultant,60,27
234312 Environmental Consultant,50,3
234312 Environmental Consultant,100,1
234312 Environmental Consultant,40,2
234312 Environmental Consultant,45,1
234517 Microbiologist,65,70
234517 Microbiologist,75,63
234517 Microbiologist,70,70
234517 Microbiologist,80,26
234517 Microbiologist,95,7
234517 Microbiologist,90,17
234517 Microbiologist,85,34
234517 Microbiologist,55,24
234517 Microbiologist,60,26
234517 Microbiologist,50,2
234517 Microbiologist,100,1
234517 Microbiologist,45,8
322211 Sheetmetal Trades Worker,65,4
322211 Sheetmetal Trades Worker,75,3
322211 Sheetmetal Trades Worker,70,2
322211 Sheetmetal Trades Worker,80,2
322211 Sheetmetal Trades Worker,85,1
322211 Sheetmetal Trades Worker,60,1
232112 Landscape Architect,65,44
232112 Landscape Architect,75,51
232112 Landscape Architect,70,56
232112 Landscape Architect,80,37
232112 Landscape Architect,90,5
232112 Landscape Architect,85,25
232112 Landscape Architect,55,4
232112 Landscape Architect,60,19
232112 Landscape Architect,50,2
252712 Speech Pathologist,65,22
252712 Speech Pathologist,75,47
252712 Speech Pathologist,70,33
252712 Speech Pathologist,80,23
252712 Speech Pathologist,90,2
252712 Speech Pathologist,85,13
252712 Speech Pathologist,55,3
252712 Speech Pathologist,60,7
252712 Speech Pathologist,50,3
322311 Metal Fabricator,65,71
322311 Metal Fabricator,75,36
322311 Metal Fabricator,70,58
322311 Metal Fabricator,80,18
322311 Metal Fabricator,90,1
322311 Metal Fabricator,55,17
322311 Metal Fabricator,60,31
322311 Metal Fabricator,50,12
322311 Metal Fabricator,40,3
322311 Metal Fabricator,45,7
234999 Natural and Physical Science Professionals nec,65,4
234999 Natural and Physical Science Professionals nec,75,5
234999 Natural and Physical Science Professionals nec,70,1
234999 Natural and Physical Science Professionals nec,80,1
234999 Natural and Physical Science Professionals nec,95,1
234999 Natural and Physical Science Professionals nec,90,1
234999 Natural and Physical Science Professionals nec,85,6
234999 Natural and Physical Science Professionals nec,60,1
234914 Physicist,65,14
234914 Physicist,75,15
234914 Physicist,70,11
234914 Physicist,80,10
234914 Physicist,95,2
234914 Physicist,90,2
234914 Physicist,85,10
234914 Physicist,55,2
234914 Physicist,60,2
234914 Physicist,100,3
234914 Physicist,105,1
233112 Materials Engineer,65,51
233112 Materials Engineer,75,44
233112 Materials Engineer,70,39
233112 Materials Engineer,80,62
233112 Materials Engineer,95,7
233112 Materials Engineer,90,21
233112 Materials Engineer,85,42
233112 Materials Engineer,55,5
233112 Materials Engineer,60,18
233112 Materials Engineer,50,4
233112 Materials Engineer,100,2
233112 Materials Engineer,45,2
252411 Occupational Therapist,65,82
252411 Occupational Therapist,75,174
252411 Occupational Therapist,70,153
252411 Occupational Therapist,80,45
252411 Occupational Therapist,95,1
252411 Occupational Therapist,90,2
252411 Occupational Therapist,85,15
252411 Occupational Therapist,55,13
252411 Occupational Therapist,60,20
252411 Occupational Therapist,50,5
252411 Occupational Therapist,40,1
252411 Occupational Therapist,45,2
252411 Occupational Therapist,115,3
342111 Airconditioning and Refrigeration Mechanic,65,18
342111 Airconditioning and Refrigeration Mechanic,75,5
342111 Airconditioning and Refrigeration Mechanic,70,11
342111 Airconditioning and Refrigeration Mechanic,80,1
342111 Airconditioning and Refrigeration Mechanic,55,6
342111 Airconditioning and Refrigeration Mechanic,60,6
342111 Airconditioning and Refrigeration Mechanic,50,3
342111 Airconditioning and Refrigeration Mechanic,45,1
342111 Airconditioning and Refrigeration Mechanic,35,1
234513 Biochemist,65,19
234513 Biochemist,75,24
234513 Biochemist,70,17
234513 Biochemist,80,10
234513 Biochemist,95,8
234513 Biochemist,90,5
234513 Biochemist,85,13
234513 Biochemist,55,3
234513 Biochemist,60,7
234513 Biochemist,50,1
234513 Biochemist,100,2
234513 Biochemist,105,1
234611 Medical Laboratory Scientist,65,99
234611 Medical Laboratory Scientist,75,199
234611 Medical Laboratory Scientist,70,140
234611 Medical Laboratory Scientist,80,93
234611 Medical Laboratory Scientist,95,1
234611 Medical Laboratory Scientist,90,11
234611 Medical Laboratory Scientist,85,31
234611 Medical Laboratory Scientist,55,7
234611 Medical Laboratory Scientist,60,20
234611 Medical Laboratory Scientist,50,1
234611 Medical Laboratory Scientist,100,1
234611 Medical Laboratory Scientist,45,3
241511 Special Needs Teacher,65,25
241511 Special Needs Teacher,75,17
241511 Special Needs Teacher,70,16
241511 Special Needs Teacher,80,6
241511 Special Needs Teacher,55,2
241511 Special Needs Teacher,60,2
241511 Special Needs Teacher,30,1
254425 Registered Nurse (Paediatrics),65,54
254425 Registered Nurse (Paediatrics),75,47
254425 Registered Nurse (Paediatrics),70,50
254425 Registered Nurse (Paediatrics),80,13
254425 Registered Nurse (Paediatrics),90,1
254425 Registered Nurse (Paediatrics),85,13
254425 Registered Nurse (Paediatrics),55,13
254425 Registered Nurse (Paediatrics),60,19
254425 Registered Nurse (Paediatrics),50,5
234399 Environmental Scientists nec,65,4
234399 Environmental Scientists nec,75,4
234399 Environmental Scientists nec,70,1
234399 Environmental Scientists nec,80,6
234399 Environmental Scientists nec,90,1
234399 Environmental Scientists nec,85,3
234399 Environmental Scientists nec,60,1
272399 Psychologists nec,65,35
272399 Psychologists nec,75,39
272399 Psychologists nec,70,47
272399 Psychologists nec,80,22
272399 Psychologists nec,90,2
272399 Psychologists nec,85,10
272399 Psychologists nec,55,6
272399 Psychologists nec,60,13
272399 Psychologists nec,50,6
272399 Psychologists nec,105,1
323214 Metal Machinist (First Class),65,15
323214 Metal Machinist (First Class),75,10
323214 Metal Machinist (First Class),70,6
323214 Metal Machinist (First Class),80,1
323214 Metal Machinist (First Class),55,6
323214 Metal Machinist (First Class),60,6
323214 Metal Machinist (First Class),50,4
323214 Metal Machinist (First Class),40,1
323214 Metal Machinist (First Class),45,1
251912 Orthotist or Prosthetist,65,3
251912 Orthotist or Prosthetist,75,5
251912 Orthotist or Prosthetist,70,4
251912 Orthotist or Prosthetist,80,1
251912 Orthotist or Prosthetist,55,1
331211 Carpenter and Joiner,65,23
331211 Carpenter and Joiner,75,8
331211 Carpenter and Joiner,70,18
331211 Carpenter and Joiner,80,3
331211 Carpenter and Joiner,85,1
331211 Carpenter and Joiner,55,7
331211 Carpenter and Joiner,60,6
331211 Carpenter and Joiner,50,5
254111 Midwife,65,23
254111 Midwife,75,29
254111 Midwife,70,32
254111 Midwife,80,13
254111 Midwife,90,1
254111 Midwife,85,1
254111 Midwife,60,7
254111 Midwife,50,1
254111 Midwife,40,1
254111 Midwife,45,1
233916 Naval Architect,65,11
233916 Naval Architect,75,6
233916 Naval Architect,70,10
233916 Naval Architect,80,7
233916 Naval Architect,90,4
233916 Naval Architect,85,2
233916 Naval Architect,55,1
233916 Naval Architect,60,1
233916 Naval Architect,45,1
252112 Osteopath,65,2
252112 Osteopath,75,2
252112 Osteopath,70,7
252112 Osteopath,80,1
252112 Osteopath,55,1
252112 Osteopath,60,2
234911 Conservator,75,1
234911 Conservator,50,1
342314 Electronic Instrument Trades Worker (General),65,31
342314 Electronic Instrument Trades Worker (General),75,16
342314 Electronic Instrument Trades Worker (General),70,23
342314 Electronic Instrument Trades Worker (General),80,4
342314 Electronic Instrument Trades Worker (General),85,2
342314 Electronic Instrument Trades Worker (General),55,7
342314 Electronic Instrument Trades Worker (General),60,18
342314 Electronic Instrument Trades Worker (General),50,3
342314 Electronic Instrument Trades Worker (General),45,1
334111 Plumber (General),65,12
334111 Plumber (General),75,2
334111 Plumber (General),70,4
334111 Plumber (General),80,5
334111 Plumber (General),85,1
334111 Plumber (General),55,6
334111 Plumber (General),60,12
334111 Plumber (General),50,3
334111 Plumber (General),40,2
334111 Plumber (General),45,3
234413 Hydrogeologist,65,9
234413 Hydrogeologist,75,11
234413 Hydrogeologist,70,12
234413 Hydrogeologist,80,4
234413 Hydrogeologist,90,1
234413 Hydrogeologist,55,4
234413 Hydrogeologist,60,8
254421 Registered Nurse (Medical Practice),65,32
254421 Registered Nurse (Medical Practice),75,32
254421 Registered Nurse (Medical Practice),70,39
254421 Registered Nurse (Medical Practice),80,7
254421 Registered Nurse (Medical Practice),85,2
254421 Registered Nurse (Medical Practice),55,4
254421 Registered Nurse (Medical Practice),60,5
254421 Registered Nurse (Medical Practice),50,3
254421 Registered Nurse (Medical Practice),45,1
254424 Registered Nurse (Surgical),65,179
254424 Registered Nurse (Surgical),75,158
254424 Registered Nurse (Surgical),70,191
254424 Registered Nurse (Surgical),80,45
254424 Registered Nurse (Surgical),85,14
254424 Registered Nurse (Surgical),55,48
254424 Registered Nurse (Surgical),60,59
254424 Registered Nurse (Surgical),50,8
254424 Registered Nurse (Surgical),40,1
254424 Registered Nurse (Surgical),45,3
324111 Panelbeater,65,9
324111 Panelbeater,70,3
324111 Panelbeater,80,1
324111 Panelbeater,85,1
324111 Panelbeater,55,2
324111 Panelbeater,60,1
324111 Panelbeater,45,1
224511 Land Economist,65,4
224511 Land Economist,75,7
224511 Land Economist,70,3
224511 Land Economist,80,5
224511 Land Economist,90,1
224511 Land Economist,85,1
224511 Land Economist,60,3
224511 Land Economist,45,1
452316 Tennis Coach,65,3
452316 Tennis Coach,75,5
452316 Tennis Coach,70,3
452316 Tennis Coach,80,2
452316 Tennis Coach,85,2
452316 Tennis Coach,55,1
452316 Tennis Coach,60,2
399111 Boat Builder and Repairer,65,7
399111 Boat Builder and Repairer,75,6
399111 Boat Builder and Repairer,70,6
399111 Boat Builder and Repairer,55,1
399111 Boat Builder and Repairer,60,2
253312 Cardiologist,65,2
253312 Cardiologist,75,1
253312 Cardiologist,70,1
253312 Cardiologist,60,3
333212 Solid Plasterer,65,24
333212 Solid Plasterer,75,7
333212 Solid Plasterer,70,11
333212 Solid Plasterer,55,4
333212 Solid Plasterer,60,7
333212 Solid Plasterer,50,1
333411 Wall and Floor Tiler,65,75
333411 Wall and Floor Tiler,75,13
333411 Wall and Floor Tiler,70,35
333411 Wall and Floor Tiler,80,3
333411 Wall and Floor Tiler,85,3
333411 Wall and Floor Tiler,55,15
333411 Wall and Floor Tiler,60,40
333411 Wall and Floor Tiler,50,3
313211 Radiocommunications Technician,70,2
313211 Radiocommunications Technician,80,1
313211 Radiocommunications Technician,85,1
254414 Registered Nurse (Community Health),65,22
254414 Registered Nurse (Community Health),75,33
254414 Registered Nurse (Community Health),70,25
254414 Registered Nurse (Community Health),80,6
254414 Registered Nurse (Community Health),85,5
254414 Registered Nurse (Community Health),55,5
254414 Registered Nurse (Community Health),60,8
254414 Registered Nurse (Community Health),50,2
254414 Registered Nurse (Community Health),40,4
254414 Registered Nurse (Community Health),45,1
254414 Registered Nurse (Community Health),35,1
254413 Registered Nurse (Child and Family Health),65,12
254413 Registered Nurse (Child and Family Health),75,5
254413 Registered Nurse (Child and Family Health),70,4
254413 Registered Nurse (Child and Family Health),80,1
254413 Registered Nurse (Child and Family Health),90,2
254413 Registered Nurse (Child and Family Health),55,1
254413 Registered Nurse (Child and Family Health),60,3
254413 Registered Nurse (Child and Family Health),50,1
254413 Registered Nurse (Child and Family Health),100,1
252711 Audiologist,65,39
252711 Audiologist,75,21
252711 Audiologist,70,32
252711 Audiologist,80,8
252711 Audiologist,85,3
252711 Audiologist,55,8
252711 Audiologist,60,11
252711 Audiologist,50,1
252711 Audiologist,100,1
252711 Audiologist,45,1
313214 Telecommunications Technical Officer or Technologist,65,35
313214 Telecommunications Technical Officer or Technologist,75,43
313214 Telecommunications Technical Officer or Technologist,70,32
313214 Telecommunications Technical Officer or Technologist,80,22
313214 Telecommunications Technical Officer or Technologist,90,8
313214 Telecommunications Technical Officer or Technologist,85,14
313214 Telecommunications Technical Officer or Technologist,55,10
313214 Telecommunications Technical Officer or Technologist,60,18
313214 Telecommunications Technical Officer or Technologist,50,9
134213 Primary Health Organisation Manager,65,24
134213 Primary Health Organisation Manager,75,7
134213 Primary Health Organisation Manager,70,17
134213 Primary Health Organisation Manager,80,7
134213 Primary Health Organisation Manager,55,6
134213 Primary Health Organisation Manager,60,13
134213 Primary Health Organisation Manager,50,7
253321 Paediatrician,65,3
253321 Paediatrician,75,2
253321 Paediatrician,70,2
253321 Paediatrician,80,2
253321 Paediatrician,85,1
253321 Paediatrician,55,1
253321 Paediatrician,60,2
253321 Paediatrician,50,1
253317 Intensive Care Specialist,65,1
253317 Intensive Care Specialist,75,1
253317 Intensive Care Specialist,80,1
253317 Intensive Care Specialist,55,1
253317 Intensive Care Specialist,60,2
253917 Diagnostic and Interventional Radiologist,65,4
253917 Diagnostic and Interventional Radiologist,75,1
253917 Diagnostic and Interventional Radiologist,70,3
253917 Diagnostic and Interventional Radiologist,80,1
253917 Diagnostic and Interventional Radiologist,85,1
253917 Diagnostic and Interventional Radiologist,55,1
331213 Joiner,65,2
331213 Joiner,70,4
331213 Joiner,55,1
331213 Joiner,60,1
331213 Joiner,50,1
331213 Joiner,45,1
234913 Meteorologist,65,12
234913 Meteorologist,75,1
234913 Meteorologist,70,7
234913 Meteorologist,85,1
234913 Meteorologist,50,1
341112 Electrician (Special Class),65,1
341112 Electrician (Special Class),55,1
341112 Electrician (Special Class),60,1
341112 Electrician (Special Class),20,1
272313 Organisational Psychologist,65,2
211212 Music Director,70,1
211212 Music Director,50,1
211213 Musician (Instrumental),65,5
211213 Musician (Instrumental),75,1
211213 Musician (Instrumental),70,2
211213 Musician (Instrumental),85,2
211213 Musician (Instrumental),55,1
211213 Musician (Instrumental),60,1
211213 Musician (Instrumental),45,1
234518 Zoologist,65,3
234518 Zoologist,70,2
234518 Zoologist,80,2
234518 Zoologist,95,3
234518 Zoologist,90,4
234518 Zoologist,85,9
234518 Zoologist,60,1
321111 Automotive Electrician,65,28
321111 Automotive Electrician,75,7
321111 Automotive Electrician,70,18
321111 Automotive Electrician,80,6
321111 Automotive Electrician,95,1
321111 Automotive Electrician,55,5
321111 Automotive Electrician,60,13
321111 Automotive Electrician,50,15
321111 Automotive Electrician,40,3
321111 Automotive Electrician,45,4
399112 Shipwright,65,1
399112 Shipwright,80,1
253411 Psychiatrist,65,3
253411 Psychiatrist,75,5
253411 Psychiatrist,70,7
253411 Psychiatrist,80,2
253411 Psychiatrist,85,2
253411 Psychiatrist,55,1
253411 Psychiatrist,60,3
323213 Fitter-Welder,65,1
323213 Fitter-Welder,70,1
323213 Fitter-Welder,80,2
323213 Fitter-Welder,60,1
253918 Radiation Oncologist,70,1
251411 Optometrist,65,3
251411 Optometrist,75,14
251411 Optometrist,70,9
251411 Optometrist,80,6
251411 Optometrist,95,1
251411 Optometrist,85,5
251411 Optometrist,60,1
251411 Optometrist,50,1
253399 Specialist Physicians nec,65,3
253399 Specialist Physicians nec,70,3
253399 Specialist Physicians nec,95,1
