OccGroup,Score,Eng,n
2713 Solicitors,75,0,6
2713 Solicitors,75,20,41
2713 Solicitors,75,10,127
2713 Solicitors,70,0,18
2713 Solicitors,70,20,17
2713 Solicitors,70,10,85
2713 Solicitors,80,20,61
2713 Solicitors,80,10,56
2713 Solicitors,95,20,3
2713 Solicitors,90,20,26
2713 Solicitors,85,20,68
2713 Solicitors,85,10,9
2713 Solicitors,55,0,12
2713 Solicitors,60,0,24
2713 Solicitors,60,10,5
2713 Solicitors,50,0,2
2713 Solicitors,100,20,1
2713 Solicitors,45,0,1
2713 Solicitors,45,10,1
2331 Chemical and Materials Engineers,65,0,110
2331 Chemical and Materials Engineers,65,20,17
2331 Chemical and Materials Engineers,65,10,146
2331 Chemical and Materials Engineers,75,0,26
2331 Chemical and Materials Engineers,75,20,105
2331 Chemical and Materials Engineers,75,10,197
2331 Chemical and Materials Engineers,70,0,39
2331 Chemical and Materials Engineers,70,20,32
2331 Chemical and Materials Engineers,70,10,246
2331 Chemical and Materials Engineers,80,0,12
2331 Chemical and Materials Engineers,80,20,207
2331 Chemical and Materials Engineers,80,10,121
2331 Chemical and Materials Engineers,95,20,32
2331 Chemical and Materials Engineers,95,10,4
2331 Chemical and Materials Engineers,90,0,2
2331 Chemical and Materials Engineers,90,20,98
2331 Chemical and Materials Engineers,90,10,19
2331 Chemical and Materials Engineers,85,0,6
2331 Chemical and Materials Engineers,85,20,154
2331 Chemical and Materials Engineers,85,10,47
2331 Chemical and Materials Engineers,55,0,37
2331 Chemical and Materials Engineers,55,20,2
2331 Chemical and Materials Engineers,55,10,17
2331 Chemical and Materials Engineers,60,0,54
2331 Chemical and Materials Engineers,60,20,3
2331 Chemical and Materials Engineers,60,10,35
2331 Chemical and Materials Engineers,50,0,21
2331 Chemical and Materials Engineers,50,10,1
2331 Chemical and Materials Engineers,100,20,8
2331 Chemical and Materials Engineers,105,20,1
2331 Chemical and Materials Engineers,40,0,1
2331 Chemical and Materials Engineers,45,0,8
2331 Chemical and Materials Engineers,45,10,1
2331 Chemical and Materials Engineers,30,0,1
3123 Electrical Engineering Draftspersons and Technicians,65,0,48
3123 Electrical Engineering Draftspersons and Technicians,65,20,2
3123 Electrical Engineering Draftspersons and Technicians,65,10,44
3123 Electrical Engineering Draftspersons and Technicians,75,0,3
3123 Electrical Engineering Draftspersons and Technicians,75,20,19
3123 Electrical Engineering Draftspersons and Technicians,75,10,45
3123 Electrical Engineering Draftspersons and Technicians,70,0,15
3123 Electrical Engineering Draftspersons and Technicians,70,20,8
3123 Electrical Engineering Draftspersons and Technicians,70,10,72
3123 Electrical Engineering Draftspersons and Technicians,80,0,2
3123 Electrical Engineering Draftspersons and Technicians,80,20,15
3123 Electrical Engineering Draftspersons and Technicians,80,10,8
3123 Electrical Engineering Draftspersons and Technicians,90,20,2
3123 Electrical Engineering Draftspersons and Technicians,90,10,22
3123 Electrical Engineering Draftspersons and Technicians,85,20,11
3123 Electrical Engineering Draftspersons and Technicians,85,10,26
3123 Electrical Engineering Draftspersons and Technicians,55,0,22
3123 Electrical Engineering Draftspersons and Technicians,55,10,5
3123 Electrical Engineering Draftspersons and Technicians,60,0,24
3123 Electrical Engineering Draftspersons and Technicians,60,10,15
3123 Electrical Engineering Draftspersons and Technicians,50,0,11
3123 Electrical Engineering Draftspersons and Technicians,40,0,1
3123 Electrical Engineering Draftspersons and Technicians,45,0,1
2333 Electrical Engineers,65,0,303
2333 Electrical Engineers,65,20,14
2333 Electrical Engineers,65,10,406
2333 Electrical Engineers,75,0,37
2333 Electrical Engineers,75,20,164
2333 Electrical Engineers,75,10,546
2333 Electrical Engineers,70,0,121
2333 Electrical Engineers,70,20,54
2333 Electrical Engineers,70,10,573
2333 Electrical Engineers,80,0,20
2333 Electrical Engineers,80,20,306
2333 Electrical Engineers,80,10,308
2333 Electrical Engineers,95,20,95
2333 Electrical Engineers,95,10,7
2333 Electrical Engineers,90,20,257
2333 Electrical Engineers,90,10,40
2333 Electrical Engineers,85,0,2
2333 Electrical Engineers,85,20,354
2333 Electrical Engineers,85,10,103
2333 Electrical Engineers,55,0,167
2333 Electrical Engineers,55,20,1
2333 Electrical Engineers,55,10,46
2333 Electrical Engineers,60,0,211
2333 Electrical Engineers,60,20,5
2333 Electrical Engineers,60,10,98
2333 Electrical Engineers,50,0,72
2333 Electrical Engineers,50,10,2
2333 Electrical Engineers,100,20,24
2333 Electrical Engineers,105,20,3
2333 Electrical Engineers,40,0,7
2333 Electrical Engineers,45,0,19
2333 Electrical Engineers,45,10,1
2333 Electrical Engineers,120,20,1
2333 Electrical Engineers,35,0,1
2321 Architects and Landscape Architects,65,0,130
2321 Architects and Landscape Architects,65,20,1
2321 Architects and Landscape Architects,65,10,72
2321 Architects and Landscape Architects,75,0,14
2321 Architects and Landscape Architects,75,20,33
2321 Architects and Landscape Architects,75,10,264
2321 Architects and Landscape Architects,70,0,60
2321 Architects and Landscape Architects,70,20,9
2321 Architects and Landscape Architects,70,10,213
2321 Architects and Landscape Architects,80,20,123
2321 Architects and Landscape Architects,80,10,137
2321 Architects and Landscape Architects,95,20,2
2321 Architects and Landscape Architects,95,10,1
2321 Architects and Landscape Architects,90,20,30
2321 Architects and Landscape Architects,90,10,3
2321 Architects and Landscape Architects,85,20,139
2321 Architects and Landscape Architects,85,10,31
2321 Architects and Landscape Architects,55,0,25
2321 Architects and Landscape Architects,55,10,1
2321 Architects and Landscape Architects,60,0,68
2321 Architects and Landscape Architects,60,20,1
2321 Architects and Landscape Architects,60,10,16
2321 Architects and Landscape Architects,50,0,4
2321 Architects and Landscape Architects,45,0,2
2321 Architects and Landscape Architects,45,10,1
2531 General Practitioners and Resident Medical officers,65,0,24
2531 General Practitioners and Resident Medical officers,65,20,9
2531 General Practitioners and Resident Medical officers,65,10,60
2531 General Practitioners and Resident Medical officers,75,0,6
2531 General Practitioners and Resident Medical officers,75,20,56
2531 General Practitioners and Resident Medical officers,75,10,158
2531 General Practitioners and Resident Medical officers,70,0,16
2531 General Practitioners and Resident Medical officers,70,20,18
2531 General Practitioners and Resident Medical officers,70,10,139
2531 General Practitioners and Resident Medical officers,80,0,1
2531 General Practitioners and Resident Medical officers,80,20,96
2531 General Practitioners and Resident Medical officers,80,10,31
2531 General Practitioners and Resident Medical officers,95,20,1
2531 General Practitioners and Resident Medical officers,95,10,1
2531 General Practitioners and Resident Medical officers,90,20,17
2531 General Practitioners and Resident Medical officers,90,10,1
2531 General Practitioners and Resident Medical officers,85,0,1
2531 General Practitioners and Resident Medical officers,85,20,53
2531 General Practitioners and Resident Medical officers,85,10,4
2531 General Practitioners and Resident Medical officers,55,0,11
2531 General Practitioners and Resident Medical officers,55,20,1
2531 General Practitioners and Resident Medical officers,55,10,2
2531 General Practitioners and Resident Medical officers,60,0,31
2531 General Practitioners and Resident Medical officers,60,10,15
2531 General Practitioners and Resident Medical officers,50,0,2
2531 General Practitioners and Resident Medical officers,50,10,2
2531 General Practitioners and Resident Medical officers,40,0,1
2531 General Practitioners and Resident Medical officers,45,0,1
2531 General Practitioners and Resident Medical officers,125,20,1
2247 Management and Organisation Analysts,65,0,17
2247 Management and Organisation Analysts,65,20,8
2247 Management and Organisation Analysts,65,10,65
2247 Management and Organisation Analysts,75,0,4
2247 Management and Organisation Analysts,75,20,64
2247 Management and Organisation Analysts,75,10,68
2247 Management and Organisation Analysts,70,0,7
2247 Management and Organisation Analysts,70,20,29
2247 Management and Organisation Analysts,70,10,59
2247 Management and Organisation Analysts,80,0,1
2247 Management and Organisation Analysts,80,20,77
2247 Management and Organisation Analysts,80,10,22
2247 Management and Organisation Analysts,95,20,10
2247 Management and Organisation Analysts,90,20,35
2247 Management and Organisation Analysts,90,10,1
2247 Management and Organisation Analysts,85,20,57
2247 Management and Organisation Analysts,85,10,7
2247 Management and Organisation Analysts,55,0,8
2247 Management and Organisation Analysts,55,10,5
2247 Management and Organisation Analysts,60,0,10
2247 Management and Organisation Analysts,60,20,2
2247 Management and Organisation Analysts,60,10,13
2247 Management and Organisation Analysts,50,0,3
2247 Management and Organisation Analysts,105,20,1
2247 Management and Organisation Analysts,45,0,3
2347 Veterinarians,65,0,11
2347 Veterinarians,65,20,1
2347 Veterinarians,65,10,10
2347 Veterinarians,75,0,3
2347 Veterinarians,75,20,18
2347 Veterinarians,75,10,34
2347 Veterinarians,70,0,12
2347 Veterinarians,70,20,4
2347 Veterinarians,70,10,14
2347 Veterinarians,80,20,15
2347 Veterinarians,80,10,15
2347 Veterinarians,95,20,1
2347 Veterinarians,90,20,13
2347 Veterinarians,85,20,25
2347 Veterinarians,85,10,7
2347 Veterinarians,55,0,4
2347 Veterinarians,55,10,3
2347 Veterinarians,60,0,5
2347 Veterinarians,60,10,3
2414 Secondary School Teachers,65,0,86
2414 Secondary School Teachers,65,20,50
2414 Secondary School Teachers,65,10,481
2414 Secondary School Teachers,75,0,5
2414 Secondary School Teachers,75,20,250
2414 Secondary School Teachers,75,10,404
2414 Secondary School Teachers,70,0,29
2414 Secondary School Teachers,70,20,127
2414 Secondary School Teachers,70,10,510
2414 Secondary School Teachers,80,20,186
2414 Secondary School Teachers,80,10,71
2414 Secondary School Teachers,95,20,3
2414 Secondary School Teachers,90,20,23
2414 Secondary School Teachers,85,20,64
2414 Secondary School Teachers,85,10,6
2414 Secondary School Teachers,55,0,46
2414 Secondary School Teachers,55,20,10
2414 Secondary School Teachers,55,10,35
2414 Secondary School Teachers,60,0,75
2414 Secondary School Teachers,60,20,14
2414 Secondary School Teachers,60,10,129
2414 Secondary School Teachers,50,0,12
2414 Secondary School Teachers,50,10,21
2414 Secondary School Teachers,100,20,1
2414 Secondary School Teachers,40,0,1
2414 Secondary School Teachers,40,10,2
2414 Secondary School Teachers,45,0,6
2414 Secondary School Teachers,45,10,3
1341 Child Care Centre Managers,65,0,7
1341 Child Care Centre Managers,65,10,4
1341 Child Care Centre Managers,75,0,2
1341 Child Care Centre Managers,75,10,4
1341 Child Care Centre Managers,70,0,5
1341 Child Care Centre Managers,70,10,4
1341 Child Care Centre Managers,95,10,1
1341 Child Care Centre Managers,85,10,1
1341 Child Care Centre Managers,55,0,2
1341 Child Care Centre Managers,60,0,5
1341 Child Care Centre Managers,60,10,2
1341 Child Care Centre Managers,50,0,7
1341 Child Care Centre Managers,50,10,1
"2241 Actuaries, Mathematicians and Statisticians",65,0,32
"2241 Actuaries, Mathematicians and Statisticians",65,20,4
"2241 Actuaries, Mathematicians and Statisticians",65,10,47
"2241 Actuaries, Mathematicians and Statisticians",75,0,10
"2241 Actuaries, Mathematicians and Statisticians",75,20,33
"2241 Actuaries, Mathematicians and Statisticians",75,10,119
"2241 Actuaries, Mathematicians and Statisticians",70,0,16
"2241 Actuaries, Mathematicians and Statisticians",70,20,25
"2241 Actuaries, Mathematicians and Statisticians",70,10,62
"2241 Actuaries, Mathematicians and Statisticians",80,0,2
"2241 Actuaries, Mathematicians and Statisticians",80,20,83
"2241 Actuaries, Mathematicians and Statisticians",80,10,82
"2241 Actuaries, Mathematicians and Statisticians",95,20,30
"2241 Actuaries, Mathematicians and Statisticians",95,10,1
"2241 Actuaries, Mathematicians and Statisticians",90,20,109
"2241 Actuaries, Mathematicians and Statisticians",90,10,6
"2241 Actuaries, Mathematicians and Statisticians",85,0,1
"2241 Actuaries, Mathematicians and Statisticians",85,20,142
"2241 Actuaries, Mathematicians and Statisticians",85,10,27
"2241 Actuaries, Mathematicians and Statisticians",55,0,7
"2241 Actuaries, Mathematicians and Statisticians",55,10,4
"2241 Actuaries, Mathematicians and Statisticians",60,0,24
"2241 Actuaries, Mathematicians and Statisticians",60,10,10
"2241 Actuaries, Mathematicians and Statisticians",50,0,1
"2241 Actuaries, Mathematicians and Statisticians",100,20,5
"2241 Actuaries, Mathematicians and Statisticians",105,20,3
"2241 Actuaries, Mathematicians and Statisticians",45,0,2
"2241 Actuaries, Mathematicians and Statisticians",45,10,1
3331 Glaziers,65,0,3
3331 Glaziers,65,10,2
3331 Glaziers,75,20,6
3331 Glaziers,75,10,2
3331 Glaziers,70,20,1
3331 Glaziers,80,20,1
3331 Glaziers,55,0,1
3331 Glaziers,60,10,1
2421 University Lecturers and Tutors,65,0,129
2421 University Lecturers and Tutors,65,20,25
2421 University Lecturers and Tutors,65,10,277
2421 University Lecturers and Tutors,75,0,51
2421 University Lecturers and Tutors,75,20,113
2421 University Lecturers and Tutors,75,10,218
2421 University Lecturers and Tutors,70,0,89
2421 University Lecturers and Tutors,70,20,77
2421 University Lecturers and Tutors,70,10,270
2421 University Lecturers and Tutors,80,0,42
2421 University Lecturers and Tutors,80,20,132
2421 University Lecturers and Tutors,80,10,113
2421 University Lecturers and Tutors,95,20,65
2421 University Lecturers and Tutors,95,10,35
2421 University Lecturers and Tutors,90,0,3
2421 University Lecturers and Tutors,90,20,125
2421 University Lecturers and Tutors,90,10,84
2421 University Lecturers and Tutors,85,0,26
2421 University Lecturers and Tutors,85,20,114
2421 University Lecturers and Tutors,85,10,113
2421 University Lecturers and Tutors,55,0,39
2421 University Lecturers and Tutors,55,20,1
2421 University Lecturers and Tutors,55,10,34
2421 University Lecturers and Tutors,60,0,66
2421 University Lecturers and Tutors,60,20,1
2421 University Lecturers and Tutors,60,10,109
2421 University Lecturers and Tutors,50,0,27
2421 University Lecturers and Tutors,50,10,10
2421 University Lecturers and Tutors,110,20,1
2421 University Lecturers and Tutors,100,20,44
2421 University Lecturers and Tutors,100,10,7
2421 University Lecturers and Tutors,105,20,11
2421 University Lecturers and Tutors,105,10,1
2421 University Lecturers and Tutors,40,0,2
2421 University Lecturers and Tutors,45,0,5
2421 University Lecturers and Tutors,45,10,1
2633 Telecommunications Engineering Professionals,65,0,69
2633 Telecommunications Engineering Professionals,65,20,17
2633 Telecommunications Engineering Professionals,65,10,132
2633 Telecommunications Engineering Professionals,75,0,12
2633 Telecommunications Engineering Professionals,75,20,131
2633 Telecommunications Engineering Professionals,75,10,147
2633 Telecommunications Engineering Professionals,70,0,22
2633 Telecommunications Engineering Professionals,70,20,17
2633 Telecommunications Engineering Professionals,70,10,165
2633 Telecommunications Engineering Professionals,80,0,7
2633 Telecommunications Engineering Professionals,80,20,126
2633 Telecommunications Engineering Professionals,80,10,82
2633 Telecommunications Engineering Professionals,95,20,28
2633 Telecommunications Engineering Professionals,95,10,1
2633 Telecommunications Engineering Professionals,90,20,94
2633 Telecommunications Engineering Professionals,90,10,15
2633 Telecommunications Engineering Professionals,85,20,136
2633 Telecommunications Engineering Professionals,85,10,46
2633 Telecommunications Engineering Professionals,55,0,52
2633 Telecommunications Engineering Professionals,55,10,18
2633 Telecommunications Engineering Professionals,60,0,64
2633 Telecommunications Engineering Professionals,60,10,54
2633 Telecommunications Engineering Professionals,50,0,13
2633 Telecommunications Engineering Professionals,50,10,11
2633 Telecommunications Engineering Professionals,100,20,4
2633 Telecommunications Engineering Professionals,100,10,1
2633 Telecommunications Engineering Professionals,40,0,4
2633 Telecommunications Engineering Professionals,40,10,1
2633 Telecommunications Engineering Professionals,45,0,8
2633 Telecommunications Engineering Professionals,35,0,1
1332 Engineering Managers,65,0,14
1332 Engineering Managers,65,20,7
1332 Engineering Managers,65,10,54
1332 Engineering Managers,75,0,1
1332 Engineering Managers,75,20,14
1332 Engineering Managers,75,10,41
1332 Engineering Managers,70,0,4
1332 Engineering Managers,70,20,11
1332 Engineering Managers,70,10,54
1332 Engineering Managers,80,20,17
1332 Engineering Managers,80,10,4
1332 Engineering Managers,90,20,1
1332 Engineering Managers,85,20,5
1332 Engineering Managers,85,10,1
1332 Engineering Managers,55,0,12
1332 Engineering Managers,55,10,18
1332 Engineering Managers,60,0,9
1332 Engineering Managers,60,20,1
1332 Engineering Managers,60,10,16
1332 Engineering Managers,50,0,1
1332 Engineering Managers,50,10,1
1332 Engineering Managers,40,0,2
1332 Engineering Managers,45,0,4
3122 Civil Engineering Draftspersons and Technicians,65,0,557
3122 Civil Engineering Draftspersons and Technicians,65,20,59
3122 Civil Engineering Draftspersons and Technicians,65,10,970
3122 Civil Engineering Draftspersons and Technicians,75,0,18
3122 Civil Engineering Draftspersons and Technicians,75,20,414
3122 Civil Engineering Draftspersons and Technicians,75,10,982
3122 Civil Engineering Draftspersons and Technicians,70,0,141
3122 Civil Engineering Draftspersons and Technicians,70,20,209
3122 Civil Engineering Draftspersons and Technicians,70,10,1382
3122 Civil Engineering Draftspersons and Technicians,80,0,6
3122 Civil Engineering Draftspersons and Technicians,80,20,615
3122 Civil Engineering Draftspersons and Technicians,80,10,276
3122 Civil Engineering Draftspersons and Technicians,95,20,25
3122 Civil Engineering Draftspersons and Technicians,95,10,1
3122 Civil Engineering Draftspersons and Technicians,90,0,2
3122 Civil Engineering Draftspersons and Technicians,90,20,149
3122 Civil Engineering Draftspersons and Technicians,90,10,19
3122 Civil Engineering Draftspersons and Technicians,85,0,1
3122 Civil Engineering Draftspersons and Technicians,85,20,550
3122 Civil Engineering Draftspersons and Technicians,85,10,90
3122 Civil Engineering Draftspersons and Technicians,55,0,315
3122 Civil Engineering Draftspersons and Technicians,55,20,3
3122 Civil Engineering Draftspersons and Technicians,55,10,74
3122 Civil Engineering Draftspersons and Technicians,60,0,410
3122 Civil Engineering Draftspersons and Technicians,60,20,4
3122 Civil Engineering Draftspersons and Technicians,60,10,295
3122 Civil Engineering Draftspersons and Technicians,50,0,154
3122 Civil Engineering Draftspersons and Technicians,50,20,1
3122 Civil Engineering Draftspersons and Technicians,50,10,14
3122 Civil Engineering Draftspersons and Technicians,100,20,2
3122 Civil Engineering Draftspersons and Technicians,105,20,1
3122 Civil Engineering Draftspersons and Technicians,40,0,28
3122 Civil Engineering Draftspersons and Technicians,45,0,39
3122 Civil Engineering Draftspersons and Technicians,45,10,5
3122 Civil Engineering Draftspersons and Technicians,25,0,1
3122 Civil Engineering Draftspersons and Technicians,35,0,5
1399 Other Specialist Managers,65,0,12
1399 Other Specialist Managers,65,20,2
1399 Other Specialist Managers,65,10,21
1399 Other Specialist Managers,75,0,1
1399 Other Specialist Managers,75,20,17
1399 Other Specialist Managers,75,10,30
1399 Other Specialist Managers,70,0,7
1399 Other Specialist Managers,70,20,5
1399 Other Specialist Managers,70,10,30
1399 Other Specialist Managers,80,20,13
1399 Other Specialist Managers,80,10,4
1399 Other Specialist Managers,90,20,3
1399 Other Specialist Managers,85,20,7
1399 Other Specialist Managers,85,10,3
1399 Other Specialist Managers,55,0,9
1399 Other Specialist Managers,55,10,10
1399 Other Specialist Managers,60,0,12
1399 Other Specialist Managers,60,10,13
1399 Other Specialist Managers,50,0,3
1399 Other Specialist Managers,50,10,1
1399 Other Specialist Managers,40,0,1
1399 Other Specialist Managers,45,0,1
2322 Cartographers and Surveyors,65,0,32
2322 Cartographers and Surveyors,65,20,1
2322 Cartographers and Surveyors,65,10,44
2322 Cartographers and Surveyors,75,0,4
2322 Cartographers and Surveyors,75,20,7
2322 Cartographers and Surveyors,75,10,40
2322 Cartographers and Surveyors,70,0,22
2322 Cartographers and Surveyors,70,20,7
2322 Cartographers and Surveyors,70,10,40
2322 Cartographers and Surveyors,80,0,3
2322 Cartographers and Surveyors,80,20,9
2322 Cartographers and Surveyors,80,10,11
2322 Cartographers and Surveyors,90,20,3
2322 Cartographers and Surveyors,90,10,2
2322 Cartographers and Surveyors,85,20,14
2322 Cartographers and Surveyors,85,10,11
2322 Cartographers and Surveyors,55,0,12
2322 Cartographers and Surveyors,55,10,8
2322 Cartographers and Surveyors,60,0,31
2322 Cartographers and Surveyors,60,10,13
2322 Cartographers and Surveyors,50,0,3
2322 Cartographers and Surveyors,50,10,1
2322 Cartographers and Surveyors,40,0,1
3233 Precision Metal Trades Workers,65,0,2
3233 Precision Metal Trades Workers,65,10,1
3233 Precision Metal Trades Workers,75,10,2
3233 Precision Metal Trades Workers,70,0,1
3233 Precision Metal Trades Workers,70,10,2
3233 Precision Metal Trades Workers,55,0,2
3233 Precision Metal Trades Workers,60,0,1
3233 Precision Metal Trades Workers,45,0,1
2245 Land Economists and Valuers,65,0,7
2245 Land Economists and Valuers,65,10,13
2245 Land Economists and Valuers,75,0,3
2245 Land Economists and Valuers,75,20,3
2245 Land Economists and Valuers,75,10,29
2245 Land Economists and Valuers,70,0,4
2245 Land Economists and Valuers,70,20,2
2245 Land Economists and Valuers,70,10,9
2245 Land Economists and Valuers,80,20,8
2245 Land Economists and Valuers,80,10,8
2245 Land Economists and Valuers,90,20,1
2245 Land Economists and Valuers,85,20,4
2245 Land Economists and Valuers,85,10,1
2245 Land Economists and Valuers,55,10,2
2245 Land Economists and Valuers,60,0,3
2245 Land Economists and Valuers,60,10,1
2245 Land Economists and Valuers,50,0,1
2245 Land Economists and Valuers,40,0,1
2245 Land Economists and Valuers,45,0,1
2245 Land Economists and Valuers,30,0,1
2336 Mining Engineers,65,0,101
2336 Mining Engineers,65,20,2
2336 Mining Engineers,65,10,90
2336 Mining Engineers,75,0,11
2336 Mining Engineers,75,20,21
2336 Mining Engineers,75,10,119
2336 Mining Engineers,70,0,38
2336 Mining Engineers,70,20,22
2336 Mining Engineers,70,10,98
2336 Mining Engineers,80,0,3
2336 Mining Engineers,80,20,37
2336 Mining Engineers,80,10,56
2336 Mining Engineers,95,20,4
2336 Mining Engineers,90,20,11
2336 Mining Engineers,90,10,3
2336 Mining Engineers,85,0,1
2336 Mining Engineers,85,20,17
2336 Mining Engineers,85,10,21
2336 Mining Engineers,55,0,31
2336 Mining Engineers,55,10,3
2336 Mining Engineers,60,0,25
2336 Mining Engineers,60,20,1
2336 Mining Engineers,60,10,28
2336 Mining Engineers,50,0,18
2336 Mining Engineers,50,10,1
2336 Mining Engineers,40,0,1
2336 Mining Engineers,45,0,5
2336 Mining Engineers,45,10,1
2612 Multimedia Specialists and Web Developers,65,0,16
2612 Multimedia Specialists and Web Developers,65,20,2
2612 Multimedia Specialists and Web Developers,65,10,27
2612 Multimedia Specialists and Web Developers,75,0,6
2612 Multimedia Specialists and Web Developers,75,20,9
2612 Multimedia Specialists and Web Developers,75,10,45
2612 Multimedia Specialists and Web Developers,70,0,22
2612 Multimedia Specialists and Web Developers,70,20,6
2612 Multimedia Specialists and Web Developers,70,10,40
2612 Multimedia Specialists and Web Developers,80,0,2
2612 Multimedia Specialists and Web Developers,80,20,12
2612 Multimedia Specialists and Web Developers,80,10,38
2612 Multimedia Specialists and Web Developers,95,20,43
2612 Multimedia Specialists and Web Developers,95,10,1
2612 Multimedia Specialists and Web Developers,90,20,111
2612 Multimedia Specialists and Web Developers,90,10,5
2612 Multimedia Specialists and Web Developers,85,20,61
2612 Multimedia Specialists and Web Developers,85,10,14
2612 Multimedia Specialists and Web Developers,55,0,5
2612 Multimedia Specialists and Web Developers,55,10,1
2612 Multimedia Specialists and Web Developers,60,0,6
2612 Multimedia Specialists and Web Developers,60,10,4
2612 Multimedia Specialists and Web Developers,50,0,11
2612 Multimedia Specialists and Web Developers,50,10,1
2612 Multimedia Specialists and Web Developers,100,20,8
2612 Multimedia Specialists and Web Developers,40,0,1
3223 Structural Steel and Welding Trades Workers,65,0,121
3223 Structural Steel and Welding Trades Workers,65,10,88
3223 Structural Steel and Welding Trades Workers,75,0,10
3223 Structural Steel and Welding Trades Workers,75,20,22
3223 Structural Steel and Welding Trades Workers,75,10,101
3223 Structural Steel and Welding Trades Workers,70,0,34
3223 Structural Steel and Welding Trades Workers,70,20,10
3223 Structural Steel and Welding Trades Workers,70,10,121
3223 Structural Steel and Welding Trades Workers,80,0,1
3223 Structural Steel and Welding Trades Workers,80,20,30
3223 Structural Steel and Welding Trades Workers,80,10,45
3223 Structural Steel and Welding Trades Workers,90,20,7
3223 Structural Steel and Welding Trades Workers,85,20,5
3223 Structural Steel and Welding Trades Workers,85,10,5
3223 Structural Steel and Welding Trades Workers,55,0,37
3223 Structural Steel and Welding Trades Workers,55,10,5
3223 Structural Steel and Welding Trades Workers,60,0,56
3223 Structural Steel and Welding Trades Workers,60,20,2
3223 Structural Steel and Welding Trades Workers,60,10,28
3223 Structural Steel and Welding Trades Workers,50,0,15
3223 Structural Steel and Welding Trades Workers,50,10,2
3223 Structural Steel and Welding Trades Workers,40,0,3
3223 Structural Steel and Welding Trades Workers,45,0,10
3223 Structural Steel and Welding Trades Workers,30,0,2
2349 Other Natural and Physical Science Professionals,65,0,24
2349 Other Natural and Physical Science Professionals,65,20,1
2349 Other Natural and Physical Science Professionals,65,10,38
2349 Other Natural and Physical Science Professionals,75,0,7
2349 Other Natural and Physical Science Professionals,75,20,14
2349 Other Natural and Physical Science Professionals,75,10,31
2349 Other Natural and Physical Science Professionals,70,0,2
2349 Other Natural and Physical Science Professionals,70,20,3
2349 Other Natural and Physical Science Professionals,70,10,43
2349 Other Natural and Physical Science Professionals,80,0,4
2349 Other Natural and Physical Science Professionals,80,20,10
2349 Other Natural and Physical Science Professionals,80,10,4
2349 Other Natural and Physical Science Professionals,95,20,1
2349 Other Natural and Physical Science Professionals,95,10,2
2349 Other Natural and Physical Science Professionals,90,20,1
2349 Other Natural and Physical Science Professionals,90,10,2
2349 Other Natural and Physical Science Professionals,85,0,1
2349 Other Natural and Physical Science Professionals,85,20,12
2349 Other Natural and Physical Science Professionals,85,10,7
2349 Other Natural and Physical Science Professionals,55,0,3
2349 Other Natural and Physical Science Professionals,55,10,3
2349 Other Natural and Physical Science Professionals,60,0,5
2349 Other Natural and Physical Science Professionals,60,10,6
2349 Other Natural and Physical Science Professionals,50,0,5
2349 Other Natural and Physical Science Professionals,50,20,1
2349 Other Natural and Physical Science Professionals,100,20,3
2349 Other Natural and Physical Science Professionals,105,20,2
2349 Other Natural and Physical Science Professionals,40,0,1
1331 Construction Managers,65,0,183
1331 Construction Managers,65,20,26
1331 Construction Managers,65,10,300
1331 Construction Managers,75,0,11
1331 Construction Managers,75,20,135
1331 Construction Managers,75,10,385
1331 Construction Managers,70,0,62
1331 Construction Managers,70,20,58
1331 Construction Managers,70,10,416
1331 Construction Managers,80,0,2
1331 Construction Managers,80,20,148
1331 Construction Managers,80,10,126
1331 Construction Managers,95,20,13
1331 Construction Managers,90,20,30
1331 Construction Managers,90,10,2
1331 Construction Managers,85,20,69
1331 Construction Managers,85,10,21
1331 Construction Managers,55,0,65
1331 Construction Managers,55,10,31
1331 Construction Managers,60,0,98
1331 Construction Managers,60,20,2
1331 Construction Managers,60,10,53
1331 Construction Managers,50,0,21
1331 Construction Managers,100,20,1
1331 Construction Managers,40,0,8
1331 Construction Managers,45,0,11
1331 Construction Managers,45,10,1
1331 Construction Managers,35,0,2
2343 Environmental Scientists,65,0,48
2343 Environmental Scientists,65,20,3
2343 Environmental Scientists,65,10,59
2343 Environmental Scientists,75,0,11
2343 Environmental Scientists,75,20,22
2343 Environmental Scientists,75,10,84
2343 Environmental Scientists,70,0,19
2343 Environmental Scientists,70,20,24
2343 Environmental Scientists,70,10,84
2343 Environmental Scientists,80,0,6
2343 Environmental Scientists,80,20,41
2343 Environmental Scientists,80,10,28
2343 Environmental Scientists,95,20,4
2343 Environmental Scientists,90,0,1
2343 Environmental Scientists,90,20,19
2343 Environmental Scientists,90,10,6
2343 Environmental Scientists,85,0,2
2343 Environmental Scientists,85,20,46
2343 Environmental Scientists,85,10,19
2343 Environmental Scientists,55,0,8
2343 Environmental Scientists,55,10,4
2343 Environmental Scientists,60,0,22
2343 Environmental Scientists,60,20,2
2343 Environmental Scientists,60,10,15
2343 Environmental Scientists,50,0,3
2343 Environmental Scientists,100,20,2
2343 Environmental Scientists,40,0,2
2343 Environmental Scientists,45,0,2
2711 Barristers,65,10,1
2711 Barristers,75,10,1
2711 Barristers,70,10,1
2711 Barristers,80,20,2
2711 Barristers,80,10,2
2711 Barristers,85,20,1
2711 Barristers,55,0,1
